Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ahmednagar,Ahmednagar,Coriander(Leaves),8,24,16,01-01-2024
2,Ahmednagar,Ahmednagar,Coriander(Leaves),400,600,500,13-02-2024
3,Ahmednagar,Ahmednagar,Coriander(Leaves),400,800,600,11-02-2024
4,Ahmednagar,Ahmednagar,Coriander(Leaves),400,1800,1100,01-08-2024
5,Ahmednagar,Ahmednagar,Coriander(Leaves),400,2000,1200,29-03-2024
6,Ahmednagar,Ahmednagar,Coriander(Leaves),500,1000,750,02-03-2024
7,Ahmednagar,Ahmednagar,Coriander(Leaves),500,1000,750,10-02-2024
8,Ahmednagar,Ahmednagar,Coriander(Leaves),500,1000,750,22-04-2024
9,Ahmednagar,Ahmednagar,Coriander(Leaves),500,1500,1000,15-04-2024
10,Ahmednagar,Ahmednagar,Coriander(Leaves),500,1500,1000,23-04-2024
11,Ahmednagar,Ahmednagar,Coriander(Leaves),500,1500,1000,26-04-2024
12,Ahmednagar,Ahmednagar,Coriander(Leaves),500,2000,1250,25-04-2024
13,Ahmednagar,Ahmednagar,Coriander(Leaves),500,2200,1350,15-12-2024
14,Ahmednagar,Ahmednagar,Coriander(Leaves),600,1000,800,14-03-2024
15,Ahmednagar,Ahmednagar,Coriander(Leaves),600,1800,1200,21-12-2024
16,Ahmednagar,Ahmednagar,Coriander(Leaves),600,1800,1200,28-12-2024
17,Ahmednagar,Ahmednagar,Coriander(Leaves),600,2100,1350,20-12-2024
18,Ahmednagar,Ahmednagar,Coriander(Leaves),600,2100,1350,20-07-2024
19,Ahmednagar,Ahmednagar,Coriander(Leaves),600,2400,1500,14-12-2024
20,Ahmednagar,Ahmednagar,Coriander(Leaves),600,3600,2100,09-08-2024
21,Ahmednagar,Ahmednagar,Coriander(Leaves),600,4500,2550,12-07-2024
22,Ahmednagar,Ahmednagar,Coriander(Leaves),800,1600,1200,19-02-2024
23,Ahmednagar,Ahmednagar,Coriander(Leaves),800,3000,1900,31-03-2024
24,Ahmednagar,Ahmednagar,Coriander(Leaves),900,1500,1200,07-03-2024
25,Ahmednagar,Ahmednagar,Coriander(Leaves),900,1600,1250,13-07-2024
26,Ahmednagar,Ahmednagar,Coriander(Leaves),900,1650,1275,29-07-2024
27,Ahmednagar,Ahmednagar,Coriander(Leaves),900,1700,1300,24-11-2024
28,Ahmednagar,Ahmednagar,Coriander(Leaves),900,1800,1350,04-08-2024
29,Ahmednagar,Ahmednagar,Coriander(Leaves),900,1800,1350,05-02-2024
30,Ahmednagar,Ahmednagar,Coriander(Leaves),900,1800,1350,05-03-2024
31,Ahmednagar,Ahmednagar,Coriander(Leaves),900,1800,1350,19-03-2024
32,Ahmednagar,Ahmednagar,Coriander(Leaves),900,1800,1350,25-02-2024
33,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2100,1500,02-08-2024
34,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2100,1500,08-03-2024
35,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2100,1500,09-01-2024
36,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2100,1500,26-02-2024
37,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2100,1500,30-12-2024
38,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2400,1650,19-12-2024
39,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2400,1650,26-12-2024
40,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2400,1650,26-07-2024
41,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2400,1650,28-09-2024
42,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2400,1650,29-12-2024
43,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2700,1800,22-12-2024
44,Ahmednagar,Ahmednagar,Coriander(Leaves),900,2700,1800,26-11-2024
45,Ahmednagar,Ahmednagar,Coriander(Leaves),900,3600,2250,10-08-2024
46,Ahmednagar,Ahmednagar,Coriander(Leaves),900,3600,2250,24-09-2024
47,Ahmednagar,Ahmednagar,Coriander(Leaves),900,4500,2700,17-08-2024
48,Ahmednagar,Ahmednagar,Coriander(Leaves),900,6000,3450,13-08-2024
49,Ahmednagar,Ahmednagar,Coriander(Leaves),1000,1500,1250,04-05-2024
50,Ahmednagar,Ahmednagar,Coriander(Leaves),1000,1600,1300,05-05-2024
51,Ahmednagar,Ahmednagar,Coriander(Leaves),1000,2000,1500,10-05-2024
52,Ahmednagar,Ahmednagar,Coriander(Leaves),1000,2000,1500,11-05-2024
53,Ahmednagar,Ahmednagar,Coriander(Leaves),1000,2100,1550,28-03-2024
54,Ahmednagar,Ahmednagar,Coriander(Leaves),1000,3000,2000,20-09-2024
55,Ahmednagar,Ahmednagar,Coriander(Leaves),1000,3000,2000,21-09-2024
56,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,1400,1300,30-03-2024
57,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,1800,1500,01-04-2024
58,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,1800,1500,16-03-2024
59,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,2100,1650,04-02-2024
60,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,2100,1650,09-03-2024
61,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,2700,1950,15-01-2024
62,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,3000,2100,23-12-2024
63,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,3300,2250,22-07-2024
64,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,3600,2400,30-07-2024
65,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,3600,2500,06-08-2024
66,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,4500,2850,20-08-2024
67,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,4800,3000,09-07-2024
68,Ahmednagar,Ahmednagar,Coriander(Leaves),1200,6000,3600,27-10-2024
69,Ahmednagar,Ahmednagar,Coriander(Leaves),1500,1800,1650,11-03-2024
70,Ahmednagar,Ahmednagar,Coriander(Leaves),1500,2100,1800,22-03-2024
71,Ahmednagar,Ahmednagar,Coriander(Leaves),1500,2400,1950,07-04-2024
