Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Barnala,Barnala,Coriander(Leaves),1000,1200,1100,05-03-2024
2,Barnala,Barnala,Coriander(Leaves),1000,1500,1250,01-04-2024
3,Barnala,Barnala,Coriander(Leaves),1000,1500,1250,01-03-2024
4,Barnala,Barnala,Coriander(Leaves),1000,1500,1250,02-03-2024
5,Barnala,Barnala,Coriander(Leaves),1000,1500,1250,04-04-2024
6,Barnala,Barnala,Coriander(Leaves),1000,1500,1250,08-03-2024
7,Barnala,Barnala,Coriander(Leaves),1000,1500,1250,11-04-2024
8,Barnala,Barnala,Coriander(Leaves),1000,1500,1250,13-03-2024
9,Barnala,Barnala,Coriander(Leaves),1000,1500,1250,15-03-2024
10,Barnala,Barnala,Coriander(Leaves),1000,1500,1250,20-03-2024
11,Barnala,Barnala,Coriander(Leaves),1000,1500,1250,31-03-2024
12,Barnala,Barnala,Coriander(Leaves),1000,2000,1500,04-03-2024
13,Barnala,Barnala,Coriander(Leaves),1000,2000,1500,12-03-2024
14,Barnala,Barnala,Coriander(Leaves),1200,1500,1350,06-04-2024
15,Barnala,Barnala,Coriander(Leaves),1200,1500,1350,07-03-2024
16,Barnala,Barnala,Coriander(Leaves),1200,1500,1350,12-04-2024
17,Barnala,Barnala,Coriander(Leaves),1200,1500,1350,27-02-2024
18,Barnala,Barnala,Coriander(Leaves),1200,1500,1350,27-03-2024
19,Barnala,Barnala,Coriander(Leaves),1200,1850,1500,21-03-2024
20,Barnala,Barnala,Coriander(Leaves),1200,2000,1600,09-04-2024
21,Barnala,Barnala,Coriander(Leaves),1200,2500,1850,17-04-2024
22,Barnala,Barnala,Coriander(Leaves),1300,2000,1650,03-04-2024
23,Barnala,Barnala,Coriander(Leaves),1500,1500,1500,10-04-2024
24,Barnala,Barnala,Coriander(Leaves),1500,1500,1500,11-06-2024
25,Barnala,Barnala,Coriander(Leaves),1500,1500,1500,19-03-2024
26,Barnala,Barnala,Coriander(Leaves),1500,1500,1500,29-03-2024
27,Barnala,Barnala,Coriander(Leaves),1500,1800,1650,15-04-2024
28,Barnala,Barnala,Coriander(Leaves),1500,1800,1650,28-03-2024
29,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,06-12-2024
30,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,06-03-2024
31,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,08-04-2024
32,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,09-03-2024
33,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,10-12-2024
34,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,11-03-2024
35,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,14-03-2024
36,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,18-03-2024
37,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,22-03-2024
38,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,22-11-2024
39,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,23-02-2024
40,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,23-03-2024
41,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,23-11-2024
42,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,25-03-2024
43,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,26-03-2024
44,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,26-11-2024
45,Barnala,Barnala,Coriander(Leaves),1500,2000,1750,27-11-2024
46,Barnala,Barnala,Coriander(Leaves),1500,2500,2000,13-04-2024
47,Barnala,Barnala,Coriander(Leaves),1500,2500,2000,23-04-2024
48,Barnala,Barnala,Coriander(Leaves),1500,3000,2250,09-01-2024
49,Barnala,Barnala,Coriander(Leaves),1500,3000,2250,10-01-2024
50,Barnala,Barnala,Coriander(Leaves),1500,3000,2250,11-01-2024
51,Barnala,Barnala,Coriander(Leaves),1500,3000,2250,13-01-2024
52,Barnala,Barnala,Coriander(Leaves),1600,2000,1800,29-02-2024
53,Barnala,Barnala,Coriander(Leaves),1800,2000,1900,09-12-2024
54,Barnala,Barnala,Coriander(Leaves),1800,2000,1900,11-12-2024
55,Barnala,Barnala,Coriander(Leaves),1800,2000,1900,16-04-2024
56,Barnala,Barnala,Coriander(Leaves),1800,2000,1900,24-12-2024
57,Barnala,Barnala,Coriander(Leaves),2000,2000,2000,12-12-2024
58,Barnala,Barnala,Coriander(Leaves),2000,2000,2000,19-04-2024
59,Barnala,Barnala,Coriander(Leaves),2000,2000,2000,22-04-2024
60,Barnala,Barnala,Coriander(Leaves),2000,2000,2000,25-11-2024
61,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,01-05-2024
62,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,02-12-2024
63,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,07-12-2024
64,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,13-12-2024
65,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,14-12-2024
66,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,24-04-2024
67,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,25-12-2024
68,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,26-12-2024
69,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,27-12-2024
70,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,28-12-2024
71,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,28-02-2024
72,Barnala,Barnala,Coriander(Leaves),2000,2500,2250,29-11-2024
73,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,03-05-2024
74,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,09-02-2024
75,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,10-02-2024
76,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,11-11-2024
77,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,13-11-2024
78,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,16-01-2024
79,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,19-12-2024
80,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,20-02-2024
81,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,22-02-2024
82,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,27-04-2024
83,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,30-04-2024
84,Barnala,Barnala,Coriander(Leaves),2000,3000,2500,30-11-2024
