Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Durg,Durg,Coriander(Leaves),1200,1400,1200,20-01-2024
2,Durg,Durg,Coriander(Leaves),1500,1600,1500,07-04-2024
3,Durg,Durg,Coriander(Leaves),1600,2000,2000,27-03-2024
4,Durg,Durg,Coriander(Leaves),2000,2500,2000,16-02-2024
5,Durg,Durg,Coriander(Leaves),2000,2500,2500,10-02-2024
6,Durg,Durg,Coriander(Leaves),2000,2500,2500,11-02-2024
7,Durg,Durg,Coriander(Leaves),2000,2500,2500,17-02-2024
8,Durg,Durg,Coriander(Leaves),2500,2600,2500,09-02-2024
9,Durg,Durg,Coriander(Leaves),2500,3000,2500,06-02-2024
10,Durg,Durg,Coriander(Leaves),2500,3000,2500,08-02-2024
11,Durg,Durg,Coriander(Leaves),2500,3000,2500,15-02-2024
12,Durg,Durg,Coriander(Leaves),2500,3000,3000,03-03-2024
13,Durg,Durg,Coriander(Leaves),2500,3000,3000,17-03-2024
14,Durg,Durg,Coriander(Leaves),2500,3000,3000,18-02-2024
15,Durg,Durg,Coriander(Leaves),2500,3000,3000,21-02-2024
16,Durg,Durg,Coriander(Leaves),2500,3000,3000,22-02-2024
17,Durg,Durg,Coriander(Leaves),2500,3000,3000,22-03-2024
18,Durg,Durg,Coriander(Leaves),2500,3000,3000,24-02-2024
19,Durg,Durg,Coriander(Leaves),2600,3000,3000,07-02-2024
20,Durg,Durg,Coriander(Leaves),2800,3000,3000,20-02-2024
21,Durg,Durg,Coriander(Leaves),2800,3000,3000,23-02-2024
22,Durg,Durg,Coriander(Leaves),2800,3000,3000,23-03-2024
23,Durg,Durg,Coriander(Leaves),3000,3200,3000,02-02-2024
24,Durg,Durg,Coriander(Leaves),3000,3200,3000,18-01-2024
25,Durg,Durg,Coriander(Leaves),3000,3200,3000,21-03-2024
26,Durg,Durg,Coriander(Leaves),3000,3200,3200,17-05-2024
27,Durg,Durg,Coriander(Leaves),3000,3500,3000,01-02-2024
28,Durg,Durg,Coriander(Leaves),3000,3500,3000,02-05-2024
29,Durg,Durg,Coriander(Leaves),3000,3500,3000,04-02-2024
30,Durg,Durg,Coriander(Leaves),3000,3500,3000,08-03-2024
31,Durg,Durg,Coriander(Leaves),3000,3500,3000,09-01-2024
32,Durg,Durg,Coriander(Leaves),3000,3500,3000,11-01-2024
33,Durg,Durg,Coriander(Leaves),3000,3500,3000,15-05-2024
34,Durg,Durg,Coriander(Leaves),3000,3500,3000,17-01-2024
35,Durg,Durg,Coriander(Leaves),3000,3500,3500,09-03-2024
36,Durg,Durg,Coriander(Leaves),3000,3500,3500,10-01-2024
37,Durg,Durg,Coriander(Leaves),3000,3500,3500,12-04-2024
38,Durg,Durg,Coriander(Leaves),3000,3500,3500,16-05-2024
39,Durg,Durg,Coriander(Leaves),3000,3500,3500,19-01-2024
40,Durg,Durg,Coriander(Leaves),3000,3500,3500,19-03-2024
41,Durg,Durg,Coriander(Leaves),3000,3500,3500,20-03-2024
42,Durg,Durg,Coriander(Leaves),3000,3500,3500,28-03-2024
43,Durg,Durg,Coriander(Leaves),3000,4000,3000,03-02-2024
44,Durg,Durg,Coriander(Leaves),3000,4000,4000,01-06-2024
45,Durg,Durg,Coriander(Leaves),3000,4000,4000,04-06-2024
46,Durg,Durg,Coriander(Leaves),3000,4000,4000,14-03-2024
47,Durg,Durg,Coriander(Leaves),3000,4000,4000,26-04-2024
48,Durg,Durg,Coriander(Leaves),3000,4000,4000,27-01-2024
49,Durg,Durg,Coriander(Leaves),3000,5000,5000,07-03-2024
50,Durg,Durg,Coriander(Leaves),3500,4000,3500,07-01-2024
51,Durg,Durg,Coriander(Leaves),3500,4000,3500,14-01-2024
52,Durg,Durg,Coriander(Leaves),3500,4000,3500,16-01-2024
53,Durg,Durg,Coriander(Leaves),3500,4000,4000,02-06-2024
54,Durg,Durg,Coriander(Leaves),3500,4000,4000,05-01-2024
55,Durg,Durg,Coriander(Leaves),3500,4000,4000,12-01-2024
56,Durg,Durg,Coriander(Leaves),3500,4000,4000,25-04-2024
57,Durg,Durg,Coriander(Leaves),3500,4000,4000,31-01-2024
58,Durg,Durg,Coriander(Leaves),3600,4000,4000,13-01-2024
59,Durg,Durg,Coriander(Leaves),3800,4000,4000,06-01-2024
60,Durg,Durg,Coriander(Leaves),4000,4200,4000,16-03-2024
61,Durg,Durg,Coriander(Leaves),4000,4200,4000,20-07-2024
62,Durg,Durg,Coriander(Leaves),4000,4200,4000,24-04-2024
63,Durg,Durg,Coriander(Leaves),4000,4200,4000,26-05-2024
64,Durg,Durg,Coriander(Leaves),4000,4200,4200,02-03-2024
65,Durg,Durg,Coriander(Leaves),4000,4200,4200,11-04-2024
66,Durg,Durg,Coriander(Leaves),4000,4500,4000,04-04-2024
67,Durg,Durg,Coriander(Leaves),4000,4500,4000,11-05-2024
68,Durg,Durg,Coriander(Leaves),4000,4500,4000,17-07-2024
69,Durg,Durg,Coriander(Leaves),4000,4500,4000,18-04-2024
70,Durg,Durg,Coriander(Leaves),4000,4500,4000,19-07-2024
71,Durg,Durg,Coriander(Leaves),4000,4500,4000,23-04-2024
72,Durg,Durg,Coriander(Leaves),4000,4500,4000,25-05-2024
73,Durg,Durg,Coriander(Leaves),4000,4500,4500,01-03-2024
74,Durg,Durg,Coriander(Leaves),4000,4500,4500,02-01-2024
75,Durg,Durg,Coriander(Leaves),4000,4500,4500,03-01-2024
76,Durg,Durg,Coriander(Leaves),4000,4500,4500,04-01-2024
77,Durg,Durg,Coriander(Leaves),4000,4500,4500,10-04-2024
78,Durg,Durg,Coriander(Leaves),4000,4500,4500,13-04-2024
79,Durg,Durg,Coriander(Leaves),4000,4500,4500,13-07-2024
80,Durg,Durg,Coriander(Leaves),4000,4500,4500,18-07-2024
81,Durg,Durg,Coriander(Leaves),4000,4500,4500,24-05-2024
82,Durg,Durg,Coriander(Leaves),4000,4500,4500,28-01-2024
83,Durg,Durg,Coriander(Leaves),4000,4500,4500,30-01-2024
84,Durg,Durg,Coriander(Leaves),4000,4500,4500,31-05-2024
85,Durg,Durg,Coriander(Leaves),4000,5000,4000,03-04-2024
86,Durg,Durg,Coriander(Leaves),4000,5000,4000,12-05-2024
87,Durg,Durg,Coriander(Leaves),4000,5000,4000,28-07-2024
