Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jalgaon,Bhusaval,Coriander(Leaves),600,1500,1000,15-02-2024
2,Jalgaon,Bhusaval,Coriander(Leaves),800,1500,1000,24-12-2024
3,Jalgaon,Bhusaval,Coriander(Leaves),900,1500,1200,25-12-2024
4,Jalgaon,Bhusaval,Coriander(Leaves),900,1500,1300,26-12-2024
5,Jalgaon,Bhusaval,Coriander(Leaves),1000,1200,1100,15-09-2024
6,Jalgaon,Bhusaval,Coriander(Leaves),1000,1200,1100,18-09-2024
7,Jalgaon,Bhusaval,Coriander(Leaves),1000,1200,1200,02-01-2024
8,Jalgaon,Bhusaval,Coriander(Leaves),1000,1400,1200,14-09-2024
9,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,01-02-2024
10,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,01-01-2025
11,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,01-03-2024
12,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,02-02-2024
13,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,02-03-2024
14,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,03-02-2024
15,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,04-01-2024
16,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,05-03-2024
17,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,06-02-2024
18,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,06-03-2024
19,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,07-03-2024
20,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,08-02-2024
21,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,08-03-2024
22,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,09-02-2024
23,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,09-03-2024
24,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,10-12-2024
25,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,10-02-2024
26,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,11-02-2024
27,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,13-02-2024
28,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,14-02-2024
29,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,17-02-2024
30,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,19-01-2024
31,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,20-01-2024
32,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,21-01-2024
33,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,22-12-2024
34,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,24-03-2024
35,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,27-12-2024
36,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,27-01-2024
37,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,28-12-2024
38,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,28-02-2024
39,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,29-12-2024
40,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,29-02-2024
41,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,30-01-2024
42,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1200,31-01-2024
43,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1300,03-03-2024
44,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1300,11-12-2024
45,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1300,12-12-2024
46,Jalgaon,Bhusaval,Coriander(Leaves),1000,1500,1300,13-12-2024
