Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Koraput,Koraput,Coriander(Leaves),4000,4400,4200,06-10-2024
2,Koraput,Koraput(Semilguda),Coriander(Leaves),2000,2200,2100,14-04-2024
3,Koraput,Koraput(Semilguda),Coriander(Leaves),2400,2600,2500,01-03-2024
4,Koraput,Koraput(Semilguda),Coriander(Leaves),2400,2600,2500,18-01-2024
5,Koraput,Koraput(Semilguda),Coriander(Leaves),2400,2600,2500,21-10-2024
6,Koraput,Koraput(Semilguda),Coriander(Leaves),2900,3100,3000,11-02-2024
7,Koraput,Koraput(Semilguda),Coriander(Leaves),2900,3100,3000,16-02-2024
8,Koraput,Koraput(Semilguda),Coriander(Leaves),2900,3100,3000,18-03-2024
9,Koraput,Koraput(Semilguda),Coriander(Leaves),3000,3200,3100,22-03-2024
10,Koraput,Koraput(Semilguda),Coriander(Leaves),3000,3400,3200,28-10-2024
11,Koraput,Koraput(Semilguda),Coriander(Leaves),3000,3600,3500,26-03-2024
12,Koraput,Koraput(Semilguda),Coriander(Leaves),3100,3300,3200,13-10-2024
13,Koraput,Koraput(Semilguda),Coriander(Leaves),3200,3400,3300,11-01-2024
14,Koraput,Koraput(Semilguda),Coriander(Leaves),4300,4500,4400,06-10-2024
