Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kurukshetra,Ladwa,Coriander(Leaves),400,800,600,28-12-2024
2,Kurukshetra,Ladwa,Coriander(Leaves),500,500,500,08-12-2024
3,Kurukshetra,Ladwa,Coriander(Leaves),500,500,500,12-12-2024
4,Kurukshetra,Ladwa,Coriander(Leaves),500,500,500,13-12-2024
5,Kurukshetra,Ladwa,Coriander(Leaves),500,500,500,16-12-2024
6,Kurukshetra,Ladwa,Coriander(Leaves),500,500,500,18-12-2024
7,Kurukshetra,Ladwa,Coriander(Leaves),500,500,500,19-12-2024
8,Kurukshetra,Ladwa,Coriander(Leaves),500,500,500,20-12-2024
9,Kurukshetra,Ladwa,Coriander(Leaves),500,500,500,22-12-2024
10,Kurukshetra,Ladwa,Coriander(Leaves),500,500,500,23-12-2024
11,Kurukshetra,Ladwa,Coriander(Leaves),500,500,500,25-12-2024
12,Kurukshetra,Ladwa,Coriander(Leaves),500,600,550,15-04-2024
13,Kurukshetra,Ladwa,Coriander(Leaves),500,800,700,05-04-2024
14,Kurukshetra,Ladwa,Coriander(Leaves),500,800,700,10-05-2024
15,Kurukshetra,Ladwa,Coriander(Leaves),500,800,700,11-03-2024
16,Kurukshetra,Ladwa,Coriander(Leaves),500,800,700,12-04-2024
17,Kurukshetra,Ladwa,Coriander(Leaves),500,1000,700,12-03-2024
18,Kurukshetra,Ladwa,Coriander(Leaves),500,1000,700,21-12-2024
19,Kurukshetra,Ladwa,Coriander(Leaves),500,1000,700,26-12-2024
20,Kurukshetra,Ladwa,Coriander(Leaves),600,700,650,03-04-2024
21,Kurukshetra,Ladwa,Coriander(Leaves),600,700,650,26-03-2024
22,Kurukshetra,Ladwa,Coriander(Leaves),600,700,650,29-03-2024
23,Kurukshetra,Ladwa,Coriander(Leaves),600,800,700,11-04-2024
24,Kurukshetra,Ladwa,Coriander(Leaves),600,1000,800,07-04-2024
25,Kurukshetra,Ladwa,Coriander(Leaves),600,1000,800,20-02-2024
26,Kurukshetra,Ladwa,Coriander(Leaves),700,800,750,09-04-2024
27,Kurukshetra,Ladwa,Coriander(Leaves),700,800,750,10-04-2024
28,Kurukshetra,Ladwa,Coriander(Leaves),700,800,750,13-04-2024
29,Kurukshetra,Ladwa,Coriander(Leaves),700,800,750,30-03-2024
30,Kurukshetra,Ladwa,Coriander(Leaves),700,1000,800,21-04-2024
31,Kurukshetra,Ladwa,Coriander(Leaves),700,1000,800,24-02-2024
32,Kurukshetra,Ladwa,Coriander(Leaves),800,800,800,02-04-2024
33,Kurukshetra,Ladwa,Coriander(Leaves),800,800,800,06-04-2024
34,Kurukshetra,Ladwa,Coriander(Leaves),800,800,800,15-12-2024
35,Kurukshetra,Ladwa,Coriander(Leaves),800,800,800,24-03-2024
36,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,02-05-2024
37,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,07-05-2024
38,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,14-04-2024
39,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,15-03-2024
40,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,16-04-2024
41,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,17-04-2024
42,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,17-03-2024
43,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,18-03-2024
44,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,19-03-2024
45,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,20-04-2024
46,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,20-03-2024
47,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,21-03-2024
48,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,22-03-2024
49,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,23-03-2024
50,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,24-04-2024
51,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,25-03-2024
52,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,28-02-2024
53,Kurukshetra,Ladwa,Coriander(Leaves),800,1000,900,30-04-2024
54,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,01-03-2024
55,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,01-05-2024
56,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,02-06-2024
57,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,03-03-2024
58,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,03-05-2024
59,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,04-05-2024
60,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,05-06-2024
61,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,05-03-2024
62,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,06-05-2024
63,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,07-03-2024
64,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,08-04-2024
65,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,08-05-2024
66,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,09-12-2024
67,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,09-05-2024
68,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,10-12-2024
69,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,12-05-2024
70,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,13-02-2024
71,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,14-05-2024
72,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,15-05-2024
73,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,16-02-2024
74,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,16-05-2024
75,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,17-02-2024
76,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,17-05-2024
77,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,18-02-2024
78,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,18-05-2024
79,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,19-04-2024
80,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,19-05-2024
81,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,20-05-2024
82,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,21-02-2024
83,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,21-05-2024
84,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,22-04-2024
85,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,22-02-2024
86,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,22-05-2024
87,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,23-04-2024
88,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,25-04-2024
89,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,26-04-2024
90,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,26-02-2024
91,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,27-04-2024
92,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,27-02-2024
93,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,28-11-2024
94,Kurukshetra,Ladwa,Coriander(Leaves),1000,1000,1000,29-01-2024
95,Kurukshetra,Ladwa,Coriander(Leaves),1000,1200,1100,02-03-2024
96,Kurukshetra,Ladwa,Coriander(Leaves),1000,1200,1100,16-03-2024
97,Kurukshetra,Ladwa,Coriander(Leaves),1000,1500,1200,13-03-2024
98,Kurukshetra,Ladwa,Coriander(Leaves),1000,1500,1200,14-03-2024
99,Kurukshetra,Ladwa,Coriander(Leaves),1000,1500,1300,16-11-2024
100,Kurukshetra,Ladwa,Coriander(Leaves),1000,2000,1500,18-11-2024
101,Kurukshetra,Ladwa,Coriander(Leaves),1200,1500,1400,09-03-2024
102,Kurukshetra,Ladwa,Coriander(Leaves),1500,1500,1500,01-02-2024
103,Kurukshetra,Ladwa,Coriander(Leaves),1500,1500,1500,02-02-2024
104,Kurukshetra,Ladwa,Coriander(Leaves),1500,1500,1500,03-02-2024
105,Kurukshetra,Ladwa,Coriander(Leaves),1500,1500,1500,03-06-2024
106,Kurukshetra,Ladwa,Coriander(Leaves),1500,1500,1500,14-02-2024
107,Kurukshetra,Ladwa,Coriander(Leaves),1500,1500,1500,27-05-2024
108,Kurukshetra,Ladwa,Coriander(Leaves),1500,2000,1800,12-02-2024
109,Kurukshetra,Ladwa,Coriander(Leaves),1500,2000,1800,24-05-2024
110,Kurukshetra,Ladwa,Coriander(Leaves),2000,2000,2000,04-12-2024
111,Kurukshetra,Ladwa,Coriander(Leaves),2000,2000,2000,05-12-2024
112,Kurukshetra,Ladwa,Coriander(Leaves),2000,3000,2500,25-05-2024
113,Kurukshetra,Ladwa,Coriander(Leaves),2200,2200,2200,03-12-2024
114,Kurukshetra,Ladwa,Coriander(Leaves),2500,2500,2500,20-11-2024
115,Kurukshetra,Ladwa,Coriander(Leaves),3000,3000,3000,03-11-2024
116,Kurukshetra,Ladwa,Coriander(Leaves),3000,3000,3000,11-11-2024
117,Kurukshetra,Ladwa,Coriander(Leaves),3000,3000,3000,12-07-2024
118,Kurukshetra,Ladwa,Coriander(Leaves),3000,3000,3000,21-11-2024
119,Kurukshetra,Ladwa,Coriander(Leaves),3000,3000,3000,26-10-2024
120,Kurukshetra,Ladwa,Coriander(Leaves),3000,3000,3000,28-10-2024
121,Kurukshetra,Ladwa,Coriander(Leaves),3000,4000,3500,04-11-2024
122,Kurukshetra,Ladwa,Coriander(Leaves),3000,4000,3500,05-11-2024
123,Kurukshetra,Ladwa,Coriander(Leaves),3000,4000,3500,20-07-2024
