Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,01-03-2024
2,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,02-02-2024
3,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,02-03-2024
4,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,03-02-2024
5,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,04-02-2024
6,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,04-03-2024
7,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,05-02-2024
8,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,05-03-2024
9,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,06-02-2024
10,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,06-03-2024
11,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,07-02-2024
12,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,07-03-2024
13,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,08-02-2024
14,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,09-02-2024
15,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,14-02-2024
16,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,15-02-2024
17,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,18-02-2024
18,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,19-02-2024
19,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,20-02-2024
20,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,21-02-2024
21,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,22-02-2024
22,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,23-02-2024
23,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,24-02-2024
24,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,25-02-2024
25,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,26-02-2024
26,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,27-02-2024
27,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5850,28-02-2024
28,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5860,08-03-2024
29,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5860,10-02-2024
30,Malappuram,Manjeri,Coriander(Leaves),5800,5900,5860,12-02-2024
31,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,08-10-2024
32,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,09-10-2024
33,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,11-10-2024
34,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,12-10-2024
35,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,13-10-2024
36,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,14-10-2024
37,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,15-10-2024
38,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,16-10-2024
39,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,17-10-2024
40,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,18-10-2024
41,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,19-10-2024
42,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,23-10-2024
43,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,24-10-2024
44,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,25-10-2024
45,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,26-10-2024
46,Malappuram,Manjeri,Coriander(Leaves),5900,6000,5950,27-10-2024
47,Malappuram,Manjeri,Coriander(Leaves),6000,6100,6050,16-12-2024
48,Malappuram,Manjeri,Coriander(Leaves),6000,6100,6050,19-12-2024
49,Malappuram,Manjeri,Coriander(Leaves),6000,6100,6050,20-12-2024
50,Malappuram,Manjeri,Coriander(Leaves),6000,6100,6050,23-12-2024
51,Malappuram,Manjeri,Coriander(Leaves),6000,6100,6050,27-12-2024
52,Malappuram,Manjeri,Coriander(Leaves),6000,6100,6050,28-12-2024
53,Malappuram,Manjeri,Coriander(Leaves),6000,6100,6050,29-12-2024
54,Malappuram,Manjeri,Coriander(Leaves),6000,6100,6050,30-12-2024
55,Malappuram,Manjeri,Coriander(Leaves),6000,6100,6050,31-12-2024
56,Malappuram,Manjeri,Coriander(Leaves),6500,6600,6550,12-03-2024
57,Malappuram,Manjeri,Coriander(Leaves),6500,6600,6550,13-03-2024
58,Malappuram,Manjeri,Coriander(Leaves),6500,6600,6550,14-03-2024
59,Malappuram,Manjeri,Coriander(Leaves),6500,6600,6550,15-03-2024
60,Malappuram,Manjeri,Coriander(Leaves),6500,6600,6550,16-03-2024
61,Malappuram,Manjeri,Coriander(Leaves),6500,6600,6550,18-03-2024
62,Malappuram,Manjeri,Coriander(Leaves),6500,6600,6550,21-03-2024
63,Malappuram,Manjeri,Coriander(Leaves),6500,6600,6550,22-03-2024
64,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,02-05-2024
65,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,03-05-2024
66,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,04-05-2024
67,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,05-05-2024
68,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,06-05-2024
69,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,16-04-2024
70,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,17-04-2024
71,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,18-04-2024
72,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,19-04-2024
73,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,20-04-2024
74,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,21-04-2024
75,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,22-04-2024
76,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,23-04-2024
77,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,24-04-2024
78,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,25-04-2024
79,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,26-04-2024
80,Malappuram,Manjeri,Coriander(Leaves),6900,7000,6950,30-04-2024
81,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,01-02-2024
82,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,01-01-2024
83,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,02-01-2024
84,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,03-01-2024
85,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,04-01-2024
86,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,05-01-2024
87,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,08-01-2024
88,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,09-01-2024
89,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,10-01-2024
90,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,11-01-2024
91,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,16-01-2024
92,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,17-01-2024
93,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,18-01-2024
94,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,19-01-2024
95,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,21-01-2024
96,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,22-01-2024
97,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,23-01-2024
98,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,23-03-2024
99,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,24-01-2024
100,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,24-03-2024
101,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,25-01-2024
102,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,25-03-2024
103,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,26-03-2024
104,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,27-04-2024
105,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,27-01-2024
106,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,28-01-2024
107,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,29-01-2024
108,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,30-01-2024
109,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7050,31-01-2024
110,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7060,12-01-2024
111,Malappuram,Manjeri,Coriander(Leaves),7000,7100,7060,15-01-2024
112,Malappuram,Manjeri,Coriander(Leaves),7300,7400,7350,05-04-2024
113,Malappuram,Manjeri,Coriander(Leaves),7300,7400,7350,06-04-2024
114,Malappuram,Manjeri,Coriander(Leaves),7300,7400,7350,08-04-2024
115,Malappuram,Manjeri,Coriander(Leaves),7300,7400,7350,09-04-2024
116,Malappuram,Manjeri,Coriander(Leaves),7300,7400,7350,12-04-2024
117,Malappuram,Manjeri,Coriander(Leaves),7300,7400,7350,13-04-2024
118,Malappuram,Manjeri,Coriander(Leaves),7300,7400,7350,14-04-2024
119,Malappuram,Manjeri,Coriander(Leaves),7300,7400,7350,29-03-2024
120,Malappuram,Manjeri,Coriander(Leaves),7300,7400,7350,30-03-2024
121,Malappuram,Manjeri,Coriander(Leaves),7300,7400,7350,31-03-2024
122,Malappuram,Manjeri,Coriander(Leaves),7500,7550,7550,22-08-2024
123,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,01-08-2024
124,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,01-11-2024
125,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,02-08-2024
126,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,03-08-2024
127,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,04-11-2024
128,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,05-08-2024
129,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,06-08-2024
130,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,08-08-2024
131,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,09-08-2024
132,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,10-08-2024
133,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,13-08-2024
134,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,14-08-2024
135,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,16-08-2024
136,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,17-08-2024
137,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,18-08-2024
138,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,19-08-2024
139,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,20-08-2024
140,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,21-08-2024
141,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,23-08-2024
142,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,24-08-2024
143,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,28-08-2024
144,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,28-10-2024
145,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,29-08-2024
146,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,29-10-2024
147,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,30-08-2024
148,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,30-07-2024
149,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,30-10-2024
150,Malappuram,Manjeri,Coriander(Leaves),7500,7600,7550,31-07-2024
151,Malappuram,Manjeri,Coriander(Leaves),8000,8100,8050,01-12-2024
152,Malappuram,Manjeri,Coriander(Leaves),8000,8100,8050,02-12-2024
153,Malappuram,Manjeri,Coriander(Leaves),8000,8100,8050,03-12-2024
154,Malappuram,Manjeri,Coriander(Leaves),8000,8100,8050,04-12-2024
155,Malappuram,Manjeri,Coriander(Leaves),8000,8100,8050,05-12-2024
156,Malappuram,Manjeri,Coriander(Leaves),8000,8100,8050,05-07-2024
157,Malappuram,Manjeri,Coriander(Leaves),8000,8100,8050,06-12-2024
158,Malappuram,Manjeri,Coriander(Leaves),8000,8100,8050,06-07-2024
159,Malappuram,Manjeri,Coriander(Leaves),8000,8100,8050,07-12-2024
160,Malappuram,Manjeri,Coriander(Leaves),8000,8100,8050,07-05-2024
161,Malappuram,Manjeri,Coriander(Leaves),8000,8100,8050,08-12-2024
