Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pudukkottai,Alangudi,Coriander(Leaves),35,40,40,04-07-2024
2,Pudukkottai,Alangudi,Coriander(Leaves),45,50,50,29-06-2024
3,Pudukkottai,Alangudi,Coriander(Leaves),50,60,60,07-07-2024
4,Pudukkottai,Alangudi,Coriander(Leaves),50,60,60,22-06-2024
5,Pudukkottai,Alangudi,Coriander(Leaves),50,60,60,25-06-2024
6,Pudukkottai,Alangudi,Coriander(Leaves),50,60,60,27-06-2024
7,Pudukkottai,Alangudi,Coriander(Leaves),60,70,70,18-06-2024
8,Pudukkottai,Alangudi,Coriander(Leaves),4500,5000,5000,13-07-2024
9,Pudukkottai,Alangudi,Coriander(Leaves),5000,6000,6000,08-07-2024
10,Pudukkottai,Alangudi,Coriander(Leaves),5000,6000,6000,09-07-2024
11,Pudukkottai,Alangudi,Coriander(Leaves),5000,6000,6000,11-07-2024
12,Pudukkottai,Alangudi,Coriander(Leaves),6500,7000,7000,16-07-2024
13,Pudukkottai,Alangudi(Uzhavar Sandhai ),Coriander(Leaves),2500,3000,3000,29-10-2024
14,Pudukkottai,Alangudi(Uzhavar Sandhai ),Coriander(Leaves),3500,4000,4000,01-01-2025
15,Pudukkottai,Alangudi(Uzhavar Sandhai ),Coriander(Leaves),3500,4000,4000,01-10-2024
16,Pudukkottai,Alangudi(Uzhavar Sandhai ),Coriander(Leaves),3500,4000,4000,02-12-2024
17,Pudukkottai,Alangudi(Uzhavar Sandhai ),Coriander(Leaves),3500,4000,4000,02-10-2024
18,Pudukkottai,Alangudi(Uzhavar Sandhai ),Coriander(Leaves),3500,4000,4000,03-12-2024
19,Pudukkottai,Alangudi(Uzhavar Sandhai ),Coriander(Leaves),3500,4000,4000,03-10-2024
20,Pudukkottai,Alangudi(Uzhavar Sandhai ),Coriander(Leaves),3500,4000,4000,04-12-2024
21,Pudukkottai,Alangudi(Uzhavar Sandhai ),Coriander(Leaves),3500,4000,4000,04-10-2024
22,Pudukkottai,Alangudi(Uzhavar Sandhai ),Coriander(Leaves),3500,4000,4000,05-12-2024
23,Pudukkottai,Alangudi(Uzhavar Sandhai ),Coriander(Leaves),3500,4000,4000,05-10-2024
