Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Saharanpur,Deoband,Coriander(Leaves),1420,1430,1425,04-05-2024
2,Saharanpur,Deoband,Coriander(Leaves),1420,1430,1425,20-03-2024
3,Saharanpur,Deoband,Coriander(Leaves),1420,1430,1425,22-03-2024
4,Saharanpur,Deoband,Coriander(Leaves),1420,1430,1425,24-04-2024
5,Saharanpur,Deoband,Coriander(Leaves),1420,1430,1425,27-03-2024
6,Saharanpur,Deoband,Coriander(Leaves),1420,1435,1425,21-03-2024
7,Saharanpur,Deoband,Coriander(Leaves),1420,1438,1430,16-03-2024
8,Saharanpur,Deoband,Coriander(Leaves),1420,1440,1430,17-04-2024
9,Saharanpur,Deoband,Coriander(Leaves),1420,1445,1430,13-04-2024
10,Saharanpur,Deoband,Coriander(Leaves),1420,1450,1430,03-05-2024
11,Saharanpur,Deoband,Coriander(Leaves),1430,1440,1435,29-03-2024
12,Saharanpur,Deoband,Coriander(Leaves),1430,1450,1440,08-04-2024
13,Saharanpur,Deoband,Coriander(Leaves),1430,1450,1440,11-04-2024
14,Saharanpur,Deoband,Coriander(Leaves),1435,1450,1445,16-04-2024
15,Saharanpur,Deoband,Coriander(Leaves),1440,1455,1450,10-04-2024
16,Saharanpur,Deoband,Coriander(Leaves),1445,1460,1450,18-04-2024
17,Saharanpur,Deoband,Coriander(Leaves),1450,1460,1455,05-05-2024
18,Saharanpur,Deoband,Coriander(Leaves),1450,1460,1455,19-04-2024
19,Saharanpur,Deoband,Coriander(Leaves),1450,1460,1455,29-04-2024
20,Saharanpur,Deoband,Coriander(Leaves),1450,1460,1455,30-04-2024
21,Saharanpur,Deoband,Coriander(Leaves),1450,1465,1460,05-04-2024
22,Saharanpur,Deoband,Coriander(Leaves),1450,1465,1460,06-04-2024
23,Saharanpur,Deoband,Coriander(Leaves),1450,1465,1460,26-04-2024
24,Saharanpur,Deoband,Coriander(Leaves),1455,1465,1460,15-04-2024
25,Saharanpur,Deoband,Coriander(Leaves),1455,1465,1460,27-04-2024
26,Saharanpur,Deoband,Coriander(Leaves),1460,1470,1465,01-04-2024
27,Saharanpur,Deoband,Coriander(Leaves),1460,1470,1465,06-05-2024
28,Saharanpur,Deoband,Coriander(Leaves),1460,1470,1465,25-03-2024
29,Saharanpur,Deoband,Coriander(Leaves),1460,1470,1465,30-03-2024
30,Saharanpur,Deoband,Coriander(Leaves),1460,1475,1465,12-04-2024
31,Saharanpur,Deoband,Coriander(Leaves),1460,1475,1470,18-03-2024
32,Saharanpur,Deoband,Coriander(Leaves),1460,1480,1470,04-04-2024
33,Saharanpur,Deoband,Coriander(Leaves),1465,1475,1470,09-04-2024
34,Saharanpur,Deoband,Coriander(Leaves),1465,1475,1470,20-04-2024
35,Saharanpur,Deoband,Coriander(Leaves),1465,1475,1470,26-03-2024
36,Saharanpur,Deoband,Coriander(Leaves),1470,1480,1475,25-04-2024
37,Saharanpur,Deoband,Coriander(Leaves),1500,1530,1520,15-03-2024
38,Saharanpur,Deoband,Coriander(Leaves),1500,1530,1520,28-03-2024
39,Saharanpur,Deoband,Coriander(Leaves),1510,1520,1515,19-03-2024
40,Saharanpur,Deoband,Coriander(Leaves),1510,1525,1520,13-03-2024
