Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sangrur,Ahmedgarh,Coriander(Leaves),600,700,600,10-03-2024
2,Sangrur,Ahmedgarh,Coriander(Leaves),700,750,750,23-02-2024
3,Sangrur,Ahmedgarh,Coriander(Leaves),700,800,700,09-03-2024
4,Sangrur,Ahmedgarh,Coriander(Leaves),700,800,800,01-03-2024
5,Sangrur,Ahmedgarh,Coriander(Leaves),700,800,800,07-03-2024
6,Sangrur,Ahmedgarh,Coriander(Leaves),700,800,800,24-02-2024
7,Sangrur,Ahmedgarh,Coriander(Leaves),800,900,800,11-03-2024
8,Sangrur,Ahmedgarh,Coriander(Leaves),800,900,800,16-03-2024
9,Sangrur,Ahmedgarh,Coriander(Leaves),800,900,800,23-03-2024
10,Sangrur,Ahmedgarh,Coriander(Leaves),800,900,800,25-02-2024
11,Sangrur,Ahmedgarh,Coriander(Leaves),800,900,900,06-04-2024
12,Sangrur,Ahmedgarh,Coriander(Leaves),800,900,900,09-04-2024
13,Sangrur,Ahmedgarh,Coriander(Leaves),800,900,900,11-04-2024
14,Sangrur,Ahmedgarh,Coriander(Leaves),800,900,900,24-03-2024
15,Sangrur,Ahmedgarh,Coriander(Leaves),800,900,900,26-02-2024
16,Sangrur,Ahmedgarh,Coriander(Leaves),900,1000,900,01-04-2024
17,Sangrur,Ahmedgarh,Coriander(Leaves),900,1000,900,12-03-2024
18,Sangrur,Ahmedgarh,Coriander(Leaves),900,1000,900,31-03-2024
19,Sangrur,Ahmedgarh,Coriander(Leaves),1000,1100,1000,27-02-2024
20,Sangrur,Ahmedgarh,Coriander(Leaves),1200,1300,1200,11-01-2024
21,Sangrur,Ahmedgarh,Coriander(Leaves),1200,1300,1200,14-01-2024
22,Sangrur,Ahmedgarh,Coriander(Leaves),1200,1300,1300,04-04-2024
23,Sangrur,Ahmedgarh,Coriander(Leaves),1200,1300,1300,13-01-2024
24,Sangrur,Ahmedgarh,Coriander(Leaves),1300,1350,1300,10-01-2024
25,Sangrur,Ahmedgarh,Coriander(Leaves),1400,1500,1400,08-01-2024
26,Sangrur,Ahmedgarh,Coriander(Leaves),1400,1500,1400,09-01-2024
27,Sangrur,Ahmedgarh,Coriander(Leaves),1400,1500,1500,06-01-2024
28,Sangrur,Ahmedgarh,Coriander(Leaves),1400,1500,1500,10-04-2024
29,Sangrur,Ahmedgarh,Coriander(Leaves),1400,1500,1500,13-02-2024
30,Sangrur,Ahmedgarh,Coriander(Leaves),1400,1500,1500,17-01-2024
31,Sangrur,Ahmedgarh,Coriander(Leaves),1400,1500,1500,21-02-2024
32,Sangrur,Ahmedgarh,Coriander(Leaves),1500,1600,1500,20-02-2024
33,Sangrur,Ahmedgarh,Coriander(Leaves),1500,1600,1600,05-01-2024
34,Sangrur,Ahmedgarh,Coriander(Leaves),1600,1700,1600,12-02-2024
35,Sangrur,Ahmedgarh,Coriander(Leaves),1600,1700,1700,15-02-2024
36,Sangrur,Ahmedgarh,Coriander(Leaves),1600,1700,1700,22-02-2024
37,Sangrur,Ahmedgarh,Coriander(Leaves),1700,1800,1700,18-01-2024
38,Sangrur,Ahmedgarh,Coriander(Leaves),1700,1800,1800,04-01-2024
39,Sangrur,Ahmedgarh,Coriander(Leaves),1700,1800,1800,18-02-2024
40,Sangrur,Ahmedgarh,Coriander(Leaves),1700,1800,1800,19-02-2024
41,Sangrur,Ahmedgarh,Coriander(Leaves),1800,1900,1800,02-01-2024
42,Sangrur,Ahmedgarh,Coriander(Leaves),1800,1900,1800,26-01-2024
43,Sangrur,Ahmedgarh,Coriander(Leaves),1800,1900,1900,16-02-2024
44,Sangrur,Ahmedgarh,Coriander(Leaves),1800,2000,2000,03-01-2024
45,Sangrur,Ahmedgarh,Coriander(Leaves),1900,2000,2000,14-02-2024
46,Sangrur,Ahmedgarh,Coriander(Leaves),2000,2100,2000,01-01-2024
47,Sangrur,Ahmedgarh,Coriander(Leaves),2000,2200,2000,25-01-2024
48,Sangrur,Ahmedgarh,Coriander(Leaves),4000,4200,4000,01-02-2024
49,Sangrur,Ahmedgarh,Coriander(Leaves),4000,4200,4200,03-02-2024
50,Sangrur,Bhawanigarh,Coriander(Leaves),1000,1000,1000,24-12-2024
51,Sangrur,Bhawanigarh,Coriander(Leaves),1000,1000,1000,25-12-2024
52,Sangrur,Bhawanigarh,Coriander(Leaves),1000,2000,1500,05-12-2024
53,Sangrur,Bhawanigarh,Coriander(Leaves),1500,1700,1600,23-12-2024
