Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sonipat,Ganaur,Coriander(Leaves),800,1000,1000,27-12-2024
2,Sonipat,Ganaur,Coriander(Leaves),1000,1200,1000,06-12-2024
3,Sonipat,Ganaur,Coriander(Leaves),1000,1200,1000,08-12-2024
4,Sonipat,Ganaur,Coriander(Leaves),1000,1200,1000,09-12-2024
5,Sonipat,Ganaur,Coriander(Leaves),1000,1200,1000,11-12-2024
6,Sonipat,Ganaur,Coriander(Leaves),1000,1200,1000,12-12-2024
7,Sonipat,Ganaur,Coriander(Leaves),1000,1200,1000,13-12-2024
8,Sonipat,Ganaur,Coriander(Leaves),1000,1200,1000,16-12-2024
9,Sonipat,Ganaur,Coriander(Leaves),1000,1500,1200,17-12-2024
10,Sonipat,Ganaur,Coriander(Leaves),1200,1300,1200,07-12-2024
11,Sonipat,Ganaur,Coriander(Leaves),1200,1500,1400,15-12-2024
12,Sonipat,Ganaur,Coriander(Leaves),1200,1500,1400,31-12-2024
13,Sonipat,Ganaur,Coriander(Leaves),1200,2000,1500,22-02-2024
14,Sonipat,Ganaur,Coriander(Leaves),1500,1600,1500,02-12-2024
15,Sonipat,Ganaur,Coriander(Leaves),1500,1600,1500,05-12-2024
16,Sonipat,Ganaur,Coriander(Leaves),1500,1600,1500,30-11-2024
17,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1500,01-01-2024
18,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1500,02-01-2024
19,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1500,04-01-2024
20,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,01-04-2024
21,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,01-03-2024
22,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,01-05-2024
23,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,02-05-2024
24,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,03-05-2024
25,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,04-04-2024
26,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,05-03-2024
27,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,05-05-2024
28,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,08-04-2024
29,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,09-05-2024
30,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,10-04-2024
31,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,10-05-2024
32,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,11-04-2024
33,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,12-01-2024
34,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,12-05-2024
35,Sonipat,Ganaur,Coriander(Leaves),1500,2000,1800,13-04-2024
