Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Thirssur,Irinjalakkuda,Coriander(Leaves),4000,4000,4000,09-01-2024
2,Thirssur,Irinjalakkuda,Coriander(Leaves),4000,4000,4000,18-01-2024
3,Thirssur,Irinjalakkuda,Coriander(Leaves),4200,4200,4200,16-05-2024
4,Thirssur,Irinjalakkuda,Coriander(Leaves),4500,4500,4500,11-05-2024
5,Thirssur,Irinjalakkuda,Coriander(Leaves),4500,4500,4500,12-05-2024
6,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,03-01-2024
7,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,04-01-2024
8,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,08-05-2024
9,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,10-01-2024
10,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,11-02-2024
11,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,12-03-2024
12,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,14-02-2024
13,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,15-01-2024
14,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,17-05-2024
15,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,18-05-2024
16,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,21-02-2024
17,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,22-02-2024
18,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,23-01-2024
19,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,27-04-2024
20,Thirssur,Irinjalakkuda,Coriander(Leaves),5000,5000,5000,29-05-2024
21,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,06-07-2024
22,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,10-05-2024
23,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,13-04-2024
24,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,14-01-2024
25,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,16-02-2024
26,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,17-08-2024
27,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,19-05-2024
28,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,20-01-2024
29,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,20-06-2024
30,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,23-02-2024
31,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,23-10-2024
32,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,24-02-2024
33,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,24-01-2024
34,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,25-01-2024
35,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,27-01-2024
36,Thirssur,Irinjalakkuda,Coriander(Leaves),5500,5500,5500,28-02-2024
37,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,01-03-2024
38,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,01-10-2024
39,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,02-03-2024
40,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,03-08-2024
41,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,03-02-2024
42,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,03-03-2024
43,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,05-07-2024
44,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,05-03-2024
45,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,05-10-2024
46,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,06-03-2024
47,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,07-06-2024
48,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,07-03-2024
49,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,07-09-2024
50,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,09-02-2024
51,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,12-08-2024
52,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,12-01-2024
53,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,12-07-2024
54,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,12-06-2024
55,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,13-09-2024
56,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,14-03-2024
57,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,15-08-2024
58,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,15-03-2024
59,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,18-03-2024
60,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,18-09-2024
61,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,19-02-2024
62,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,19-01-2024
63,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,20-04-2024
64,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,20-07-2024
65,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,20-05-2024
66,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,20-09-2024
67,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,21-09-2024
68,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,24-08-2024
69,Thirssur,Irinjalakkuda,Coriander(Leaves),6000,6000,6000,26-04-2024
