Sl no.,District Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Tumkur,Tumkur,Coriander(Leaves),8000,11400,8700,24-01-2024
2,Tumkur,Tumkur,Coriander(Leaves),8100,10800,9200,19-03-2024
3,Tumkur,Tumkur,Coriander(Leaves),8100,11200,9100,07-02-2024
4,Tumkur,Tumkur,Coriander(Leaves),8100,11400,9100,16-02-2024
5,Tumkur,Tumkur,Coriander(Leaves),8100,11500,8850,23-01-2024
6,Tumkur,Tumkur,Coriander(Leaves),8100,11500,9200,26-03-2024
7,Tumkur,Tumkur,Coriander(Leaves),8100,11850,9620,09-01-2024
8,Tumkur,Tumkur,Coriander(Leaves),8200,11000,9200,17-02-2024
9,Tumkur,Tumkur,Coriander(Leaves),8200,12500,10500,05-07-2024
10,Tumkur,Tumkur,Coriander(Leaves),8500,11500,10500,04-01-2024
11,Tumkur,Tumkur,Coriander(Leaves),8500,13200,10600,31-08-2024
12,Tumkur,Tumkur,Coriander(Leaves),8500,13800,10800,18-09-2024
13,Tumkur,Tumkur,Coriander(Leaves),8800,11800,10200,01-01-2024
14,Tumkur,Tumkur,Coriander(Leaves),9100,13500,10800,02-09-2024
15,Tumkur,Tumkur,Coriander(Leaves),9800,13500,11500,08-10-2024
16,Tumkur,Tumkur,Coriander(Leaves),10500,13000,11800,28-11-2024
17,Tumkur,Tumkur,Coriander(Leaves),11200,13500,12100,31-12-2024
