Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ambala,Green Peas,1500,2000,2000,01-01-2024
2,Ambala,Green Peas,1500,2000,2000,03-01-2024
3,Ambala,Green Peas,1500,2000,2000,04-01-2024
4,Ambala,Green Peas,1500,2000,2000,06-01-2024
5,Ambala,Green Peas,1500,2000,2000,10-01-2024
6,Ambala,Green Peas,1500,2500,1500,09-01-2024
7,Ambala,Green Peas,1500,2500,2000,11-01-2024
8,Ambala,Green Peas,1500,2500,2000,12-01-2024
9,Ambala,Green Peas,1500,3000,2000,29-02-2024
10,Ambala,Green Peas,1800,2000,2000,05-01-2024
11,Ambala,Green Peas,1800,2000,2000,08-01-2024
12,Ambala,Green Peas,2000,2000,2000,03-02-2024
13,Ambala,Green Peas,2000,2000,2000,06-02-2024
14,Ambala,Green Peas,2000,2000,2000,09-02-2024
15,Ambala,Green Peas,2000,2000,2000,17-01-2024
16,Ambala,Green Peas,2000,2000,2000,19-02-2024
17,Ambala,Green Peas,2000,2000,2000,21-02-2024
18,Ambala,Green Peas,2000,2000,2000,28-03-2024
19,Ambala,Green Peas,2000,2200,2000,20-02-2024
20,Ambala,Green Peas,2000,2200,2000,31-01-2024
21,Ambala,Green Peas,2000,2500,2000,07-02-2024
22,Ambala,Green Peas,2000,2500,2500,05-02-2024
23,Ambala,Green Peas,2000,2500,2500,25-01-2024
24,Ambala,Green Peas,2000,2700,2000,17-02-2024
25,Ambala,Green Peas,2000,2800,2000,23-02-2024
26,Ambala,Green Peas,2000,3000,2000,02-02-2024
27,Ambala,Green Peas,2000,3000,2000,03-04-2024
28,Ambala,Green Peas,2000,3000,2000,12-02-2024
29,Ambala,Green Peas,2000,3000,2000,14-03-2024
30,Ambala,Green Peas,2000,3000,2000,15-01-2024
31,Ambala,Green Peas,2000,3000,2000,15-03-2024
32,Ambala,Green Peas,2000,3000,2000,18-01-2024
33,Ambala,Green Peas,2000,3000,2000,19-01-2024
34,Ambala,Green Peas,2000,3000,2000,20-03-2024
35,Ambala,Green Peas,2000,3000,2000,22-01-2024
36,Ambala,Green Peas,2000,3000,2000,23-01-2024
37,Ambala,Green Peas,2000,3000,2000,23-03-2024
38,Ambala,Green Peas,2000,3000,2000,27-01-2024
39,Ambala,Green Peas,2000,3000,2000,27-03-2024
40,Ambala,Green Peas,2000,3000,2000,30-03-2024
41,Ambala,Green Peas,2000,3000,2700,25-03-2024
42,Ambala,Green Peas,2000,3000,3000,01-04-2024
