Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bhandara,Green Peas,3800,3800,3800,06-07-2024
2,Bhandara,Green Peas,3800,3800,3800,08-07-2024
3,Bhandara,Green Peas,4000,4000,4000,04-07-2024
4,Bhandara,Green Peas,4000,4000,4000,20-06-2024
5,Bhandara,Green Peas,4000,4000,4000,21-06-2024
6,Bhandara,Green Peas,4000,4000,4000,29-04-2024
7,Bhandara,Green Peas,4100,4100,4100,19-10-2024
8,Bhandara,Green Peas,4700,4700,4700,30-09-2024
9,Bhandara,Green Peas,3500,3800,3650,11-03-2024
10,Bhandara,Green Peas,3650,3811,3730,18-03-2024
11,Bhandara,Green Peas,3700,3800,3750,13-03-2024
12,Bhandara,Green Peas,3700,3800,3750,15-03-2024
13,Bhandara,Green Peas,3700,3800,3750,16-03-2024
14,Bhandara,Green Peas,3750,3831,3790,19-03-2024
15,Bhandara,Green Peas,3750,3851,3800,02-04-2024
16,Bhandara,Green Peas,3750,3855,3805,20-03-2024
17,Bhandara,Green Peas,3750,3900,3825,23-03-2024
18,Bhandara,Green Peas,3800,3800,3800,12-03-2024
19,Bhandara,Green Peas,3600,3750,3600,02-03-2024
20,Bhandara,Green Peas,3650,3775,3650,04-03-2024
21,Bhandara,Green Peas,3825,3825,3825,14-03-2024
22,Bhandara,Green Peas,3825,3825,3825,19-03-2024
23,Bhandara,Green Peas,3850,3850,3850,11-03-2024
24,Bhandara,Green Peas,3850,3850,3850,23-03-2024
25,Bhandara,Green Peas,3850,3850,3850,26-03-2024
26,Bhandara,Green Peas,3875,3875,3875,24-02-2024
27,Bhandara,Green Peas,3900,3900,3900,18-03-2024
28,Bhandara,Green Peas,3950,4050,4050,21-02-2024
29,Bhandara,Green Peas,4050,4050,4050,20-02-2024
30,Bhandara,Green Peas,4200,4200,4200,15-04-2024
31,Bhandara,Green Peas,4400,4450,4400,22-04-2024
32,Bhandara,Green Peas,4401,4401,4401,13-02-2024
33,Bhandara,Green Peas,4401,4401,4401,15-02-2024
34,Bhandara,Green Peas,4460,4460,4460,29-04-2024
35,Bhandara,Green Peas,4500,4500,4500,15-05-2024
36,Bhandara,Green Peas,400,4385,4200,01-04-2024
37,Bhandara,Green Peas,3000,3000,3000,25-11-2024
38,Bhandara,Green Peas,3035,3035,3035,14-12-2024
39,Bhandara,Green Peas,4000,4330,4200,27-03-2024
40,Bhandara,Green Peas,4000,4400,4200,04-03-2024
41,Bhandara,Green Peas,4000,4421,4320,02-03-2024
42,Bhandara,Green Peas,4100,4100,4100,28-02-2024
43,Bhandara,Green Peas,4100,4400,4260,10-03-2024
44,Bhandara,Green Peas,4100,4426,4200,16-03-2024
45,Bhandara,Green Peas,4100,4470,4300,06-03-2024
46,Bhandara,Green Peas,4150,4400,4300,03-03-2024
47,Bhandara,Green Peas,4180,4469,4251,17-03-2024
48,Bhandara,Green Peas,4200,4200,4200,09-12-2024
49,Bhandara,Green Peas,4200,4200,4200,21-02-2024
50,Bhandara,Green Peas,4200,4200,4200,26-02-2024
51,Bhandara,Green Peas,4200,4200,4200,30-09-2024
52,Bhandara,Green Peas,4200,4426,4390,07-04-2024
53,Bhandara,Green Peas,4200,4450,4250,06-04-2024
54,Bhandara,Green Peas,4300,4411,4361,27-04-2024
55,Bhandara,Green Peas,4351,4500,4380,28-04-2024
56,Bhandara,Green Peas,4370,4370,4370,05-06-2024
57,Bhandara,Green Peas,4400,4400,4400,03-06-2024
58,Bhandara,Green Peas,4400,4400,4400,05-08-2024
59,Bhandara,Green Peas,4400,4400,4400,10-07-2024
60,Bhandara,Green Peas,4400,4400,4400,11-08-2024
61,Bhandara,Green Peas,4480,4480,4480,20-05-2024
62,Bhandara,Green Peas,4499,4499,4499,07-08-2024
63,Bhandara,Green Peas,4500,4500,4500,01-07-2024
64,Bhandara,Green Peas,4500,4500,4500,08-07-2024
65,Bhandara,Green Peas,4501,4501,4501,10-02-2024
66,Bhandara,Green Peas,4570,4570,4570,29-06-2024
67,Bhandara,Green Peas,4600,4600,4600,30-06-2024
68,Bhandara,Green Peas,4635,4635,4635,07-07-2024
69,Bhandara,Green Peas,4675,4675,4675,28-08-2024
70,Bhandara,Green Peas,4681,4681,4681,06-07-2024
71,Bhandara,Green Peas,4745,4745,4745,23-10-2024
72,Bhandara,Green Peas,4750,4750,4750,29-05-2024
73,Bhandara,Green Peas,4800,4800,4800,09-11-2024
74,Bhandara,Green Peas,4800,4800,4800,14-10-2024
75,Bhandara,Green Peas,4800,4800,4800,16-10-2024
76,Bhandara,Green Peas,5000,5000,5000,21-09-2024
77,Bhandara,Green Peas,5000,5000,5000,23-09-2024
78,Bhandara,Green Peas,5151,5151,5151,26-10-2024
79,Bhandara,Green Peas,5300,5300,5300,13-10-2024
80,Bhandara,Green Peas,5351,5351,5351,27-10-2024
81,Bhandara,Green Peas,6000,6000,6000,09-10-2024
