Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bikaner,Green Peas,1300,1500,1400,16-02-2024
2,Bikaner,Green Peas,1400,1600,1500,01-01-2024
3,Bikaner,Green Peas,1400,1600,1500,02-01-2024
4,Bikaner,Green Peas,1400,1600,1500,03-01-2024
5,Bikaner,Green Peas,1400,1600,1500,06-01-2024
6,Bikaner,Green Peas,1400,1600,1500,08-01-2024
7,Bikaner,Green Peas,1400,1600,1500,10-01-2024
8,Bikaner,Green Peas,1400,1600,1500,11-01-2024
9,Bikaner,Green Peas,1400,1600,1500,13-01-2024
10,Bikaner,Green Peas,1400,1600,1500,23-01-2024
11,Bikaner,Green Peas,1500,1700,1600,12-01-2024
12,Bikaner,Green Peas,1600,1800,1700,09-01-2024
13,Bikaner,Green Peas,1600,1800,1700,15-01-2024
14,Bikaner,Green Peas,1600,1800,1700,16-01-2024
15,Bikaner,Green Peas,1600,1800,1700,17-01-2024
16,Bikaner,Green Peas,1600,1800,1700,18-01-2024
17,Bikaner,Green Peas,1600,1800,1700,19-01-2024
18,Bikaner,Green Peas,1600,1800,1700,23-02-2024
19,Bikaner,Green Peas,1600,1800,1700,29-01-2024
20,Bikaner,Green Peas,1700,1900,1800,22-02-2024
21,Bikaner,Green Peas,1800,2000,1900,01-02-2024
22,Bikaner,Green Peas,1800,2000,1900,18-03-2024
23,Bikaner,Green Peas,1800,2000,1900,20-02-2024
24,Bikaner,Green Peas,1800,2000,1900,21-02-2024
25,Bikaner,Green Peas,1800,2000,1900,25-01-2024
26,Bikaner,Green Peas,1800,2000,1900,26-01-2024
27,Bikaner,Green Peas,2000,2200,2100,12-02-2024
28,Bikaner,Green Peas,2200,2400,2300,07-02-2024
29,Bikaner,Green Peas,2200,2400,2300,13-02-2024
30,Bikaner,Green Peas,2200,2400,2300,26-02-2024
31,Bikaner,Green Peas,2300,2500,2400,02-02-2024
32,Bikaner,Green Peas,2300,2500,2400,08-02-2024
33,Bikaner,Green Peas,2300,2500,2400,09-02-2024
34,Bikaner,Green Peas,2300,2500,2400,15-02-2024
35,Bikaner,Green Peas,2300,2500,2400,17-02-2024
36,Bikaner,Green Peas,2300,2500,2400,24-02-2024
37,Bikaner,Green Peas,2300,2500,2400,24-01-2024
38,Bikaner,Green Peas,2300,2500,2400,27-02-2024
39,Bikaner,Green Peas,2400,2600,2500,03-04-2024
40,Bikaner,Green Peas,2600,2800,2700,05-04-2024
41,Bikaner,Green Peas,2600,2800,2700,05-02-2024
42,Bikaner,Green Peas,2600,2800,2700,08-04-2024
43,Bikaner,Green Peas,2600,2800,2700,20-03-2024
44,Bikaner,Green Peas,2600,2800,2700,28-03-2024
45,Bikaner,Green Peas,2600,2800,2700,29-03-2024
46,Bikaner,Green Peas,2800,3000,2900,01-04-2024
47,Bikaner,Green Peas,2800,3000,2900,02-04-2024
48,Bikaner,Green Peas,2800,3000,2900,02-03-2024
49,Bikaner,Green Peas,2800,3000,2900,05-03-2024
50,Bikaner,Green Peas,2800,3000,2900,11-03-2024
51,Bikaner,Green Peas,2800,3000,2900,12-03-2024
52,Bikaner,Green Peas,2800,3000,2900,13-03-2024
53,Bikaner,Green Peas,2800,3000,2900,14-02-2024
54,Bikaner,Green Peas,2800,3000,2900,15-03-2024
55,Bikaner,Green Peas,2800,3000,2900,17-04-2024
56,Bikaner,Green Peas,2800,3000,2900,19-03-2024
57,Bikaner,Green Peas,2800,3000,2900,21-03-2024
58,Bikaner,Green Peas,2800,3000,2900,22-03-2024
59,Bikaner,Green Peas,2800,3000,2900,27-03-2024
60,Bikaner,Green Peas,2800,3000,2900,29-02-2024
61,Bikaner,Green Peas,2800,3000,2900,30-01-2024
62,Bikaner,Green Peas,3000,3200,3100,01-03-2024
63,Bikaner,Green Peas,3000,3200,3100,04-03-2024
64,Bikaner,Green Peas,3000,3200,3100,06-03-2024
65,Bikaner,Green Peas,3000,3200,3100,07-03-2024
66,Bikaner,Green Peas,3000,3200,3100,09-03-2024
67,Bikaner,Green Peas,3000,3200,3100,14-03-2024
68,Bikaner,Green Peas,3000,3200,3100,28-02-2024
69,Bikaner,Green Peas,3300,3500,3400,31-01-2024
70,Bikaner,Green Peas,3700,3900,3800,23-11-2024
71,Bikaner,Green Peas,3800,4000,3900,25-04-2024
72,Bikaner,Green Peas,3900,4100,4000,01-01-2025
73,Bikaner,Green Peas,3900,4100,4000,21-11-2024
74,Bikaner,Green Peas,3900,4100,4000,27-11-2024
75,Bikaner,Green Peas,4100,4300,4200,13-06-2024
76,Bikaner,Green Peas,4300,4500,4400,03-06-2024
77,Bikaner,Green Peas,4300,4500,4400,04-06-2024
78,Bikaner,Green Peas,4300,4500,4400,07-06-2024
79,Bikaner,Green Peas,4300,4500,4400,12-06-2024
80,Bikaner,Green Peas,4300,4500,4400,14-06-2024
81,Bikaner,Green Peas,4300,4500,4400,23-04-2024
82,Bikaner,Green Peas,4300,4500,4400,28-05-2024
83,Bikaner,Green Peas,4300,4500,4400,31-05-2024
84,Bikaner,Green Peas,4400,4600,4500,28-11-2024
85,Bikaner,Green Peas,4600,4800,4700,01-06-2024
86,Bikaner,Green Peas,4700,4900,4800,30-11-2024
87,Bikaner,Green Peas,4800,5000,4900,05-06-2024
88,Bikaner,Green Peas,4800,5000,4900,14-10-2024
89,Bikaner,Green Peas,4800,5000,4900,19-11-2024
90,Bikaner,Green Peas,4800,5000,4900,20-11-2024
91,Bikaner,Green Peas,4800,5000,4900,25-11-2024
92,Bikaner,Green Peas,4900,5100,5000,04-12-2024
93,Bikaner,Green Peas,4900,5100,5000,06-12-2024
94,Bikaner,Green Peas,4900,5100,5000,09-12-2024
95,Bikaner,Green Peas,4900,5100,5000,31-12-2024
96,Bikaner,Green Peas,5100,5300,5200,02-12-2024
97,Bikaner,Green Peas,5100,5300,5200,07-12-2024
98,Bikaner,Green Peas,5100,5300,5200,11-12-2024
99,Bikaner,Green Peas,5300,5500,5400,14-08-2024
100,Bikaner,Green Peas,5300,5500,5400,14-11-2024
101,Bikaner,Green Peas,5300,5500,5400,18-11-2024
102,Bikaner,Green Peas,5300,5500,5400,24-05-2024
103,Bikaner,Green Peas,5300,5500,5400,25-05-2024
