Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dahod,Green Peas,3000,5000,4000,01-10-2024
2,Dahod,Green Peas,3000,5000,4000,03-10-2024
3,Dahod,Green Peas,3000,5000,4000,10-10-2024
4,Dahod,Green Peas,3000,5000,4000,13-08-2024
5,Dahod,Green Peas,3000,5000,4000,14-08-2024
6,Dahod,Green Peas,3000,5000,4000,14-09-2024
7,Dahod,Green Peas,3000,5000,4000,20-11-2024
8,Dahod,Green Peas,3000,5000,4000,21-11-2024
9,Dahod,Green Peas,3000,5000,4000,22-07-2024
10,Dahod,Green Peas,3000,5000,4000,25-11-2024
11,Dahod,Green Peas,3000,5000,4000,26-07-2024
12,Dahod,Green Peas,3000,5000,4200,23-09-2024
13,Dahod,Green Peas,3000,5000,4200,29-11-2024
14,Dahod,Green Peas,3000,5000,4300,04-09-2024
15,Dahod,Green Peas,3000,5000,4300,09-09-2024
16,Dahod,Green Peas,3000,5000,4300,20-09-2024
17,Dahod,Green Peas,3000,5000,4400,30-10-2024
18,Dahod,Green Peas,3200,3800,3700,05-01-2024
19,Dahod,Green Peas,3400,3600,3500,23-05-2024
20,Dahod,Green Peas,3400,3600,3500,24-05-2024
21,Dahod,Green Peas,3400,3600,3500,25-05-2024
22,Dahod,Green Peas,3400,3600,3500,27-05-2024
23,Dahod,Green Peas,3400,4000,3600,06-02-2024
24,Dahod,Green Peas,3400,4000,3600,13-02-2024
25,Dahod,Green Peas,3400,4000,3600,15-01-2024
26,Dahod,Green Peas,3400,4000,3600,16-05-2024
27,Dahod,Green Peas,3400,4000,3600,22-03-2024
28,Dahod,Green Peas,3400,4000,3600,23-03-2024
29,Dahod,Green Peas,3400,4000,3700,01-02-2024
30,Dahod,Green Peas,3400,4000,3700,11-05-2024
31,Dahod,Green Peas,3400,4000,3700,13-05-2024
32,Dahod,Green Peas,3400,4000,3700,14-05-2024
33,Dahod,Green Peas,3400,4000,3700,29-01-2024
34,Dahod,Green Peas,3400,4000,3800,02-02-2024
35,Dahod,Green Peas,3400,4000,3800,02-05-2024
36,Dahod,Green Peas,3400,4000,3800,05-02-2024
37,Dahod,Green Peas,3400,4000,3800,10-02-2024
38,Dahod,Green Peas,3400,4000,3800,12-04-2024
39,Dahod,Green Peas,3400,4000,3800,13-04-2024
40,Dahod,Green Peas,3400,4000,3800,18-01-2024
41,Dahod,Green Peas,3400,4000,3800,20-02-2024
42,Dahod,Green Peas,3400,4000,3800,26-02-2024
43,Dahod,Green Peas,3400,4000,3800,27-03-2024
44,Dahod,Green Peas,3400,4000,3800,28-02-2024
45,Dahod,Green Peas,3400,4000,3800,28-03-2024
46,Dahod,Green Peas,3400,4000,3800,30-03-2024
47,Dahod,Green Peas,3400,4000,3815,18-04-2024
48,Dahod,Green Peas,3400,4000,3825,15-04-2024
49,Dahod,Green Peas,3400,4000,3850,04-04-2024
50,Dahod,Green Peas,3400,4000,3850,22-04-2024
51,Dahod,Green Peas,3400,4000,3850,30-04-2024
52,Dahod,Green Peas,3400,5000,4150,17-12-2024
53,Dahod,Green Peas,3400,5000,4300,19-12-2024
54,Dahod,Green Peas,3400,5000,4350,20-12-2024
55,Dahod,Green Peas,3400,5000,4600,26-12-2024
56,Dahod,Green Peas,3400,5000,4650,12-12-2024
57,Dahod,Green Peas,3400,5000,4800,23-12-2024
58,Dahod,Green Peas,3500,4300,3900,04-07-2024
59,Dahod,Green Peas,3500,4300,4000,01-07-2024
60,Dahod,Green Peas,3500,4300,4000,24-06-2024
61,Dahod,Green Peas,3500,4500,4000,01-06-2024
62,Dahod,Green Peas,3500,4500,4000,04-06-2024
63,Dahod,Green Peas,3500,4500,4000,06-06-2024
64,Dahod,Green Peas,3500,4500,4000,07-06-2024
65,Dahod,Green Peas,3500,4500,4000,28-05-2024
66,Dahod,Green Peas,3500,4700,4400,09-07-2024
67,Dahod,Green Peas,5000,5500,5200,05-10-2024
