Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Dharmapuri,Green Peas,9000,10000,10000,30-12-2024
2,Dharmapuri,Green Peas,11000,12000,12000,31-12-2024
3,Dharmapuri,Green Peas,12000,12400,12400,05-12-2024
4,Dharmapuri,Green Peas,12000,12400,12400,28-12-2024
5,Dharmapuri,Green Peas,12000,12400,12400,29-12-2024
6,Dharmapuri,Green Peas,13000,14000,14000,03-12-2024
7,Dharmapuri,Green Peas,13000,14000,14000,04-12-2024
8,Dharmapuri,Green Peas,13000,14000,14000,17-12-2024
9,Dharmapuri,Green Peas,13500,14000,14000,02-12-2024
10,Dharmapuri,Green Peas,13500,14000,14000,15-12-2024
11,Dharmapuri,Green Peas,13500,14000,14000,21-12-2024
12,Dharmapuri,Green Peas,13500,14000,14000,22-12-2024
13,Dharmapuri,Green Peas,13500,14000,14000,25-08-2024
14,Dharmapuri,Green Peas,13500,14000,14000,28-11-2024
15,Dharmapuri,Green Peas,13500,14000,14000,29-11-2024
16,Dharmapuri,Green Peas,17000,18000,18000,15-08-2024
17,Dharmapuri,Green Peas,17500,18000,18000,17-08-2024
18,Dharmapuri,Green Peas,18000,18800,18800,01-09-2024
19,Dharmapuri,Green Peas,20000,21000,21000,11-08-2024
20,Dharmapuri,Green Peas,34000,35000,35000,16-11-2024
21,Dharmapuri,Green Peas,150,160,160,05-07-2024
22,Dharmapuri,Green Peas,206,216,216,20-06-2024
23,Dharmapuri,Green Peas,210,220,220,18-06-2024
24,Dharmapuri,Green Peas,220,230,230,03-07-2024
25,Dharmapuri,Green Peas,220,230,230,19-06-2024
26,Dharmapuri,Green Peas,225,236,236,02-07-2024
27,Dharmapuri,Green Peas,230,240,240,01-07-2024
28,Dharmapuri,Green Peas,230,240,240,21-06-2024
29,Dharmapuri,Green Peas,240,250,250,25-06-2024
30,Dharmapuri,Green Peas,240,250,250,30-06-2024
31,Dharmapuri,Green Peas,250,260,260,24-06-2024
32,Dharmapuri,Green Peas,250,260,260,28-06-2024
33,Dharmapuri,Green Peas,250,260,260,29-06-2024
34,Dharmapuri,Green Peas,255,265,265,23-06-2024
35,Dharmapuri,Green Peas,255,265,265,27-06-2024
36,Dharmapuri,Green Peas,260,270,270,26-06-2024
37,Dharmapuri,Green Peas,265,280,280,22-06-2024
38,Dharmapuri,Green Peas,270,280,280,04-07-2024
39,Dharmapuri,Green Peas,270,280,280,06-07-2024
40,Dharmapuri,Green Peas,280,290,290,07-07-2024
41,Dharmapuri,Green Peas,26000,27000,27000,08-07-2024
42,Dharmapuri,Green Peas,26000,27000,27000,14-07-2024
