Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ganganagar,Green Peas,1300,1700,1500,19-04-2024
2,Ganganagar,Green Peas,1800,2200,2000,02-03-2024
3,Ganganagar,Green Peas,1800,2200,2000,29-02-2024
4,Ganganagar,Green Peas,1900,2300,2100,01-03-2024
5,Ganganagar,Green Peas,1900,2300,2100,06-04-2024
6,Ganganagar,Green Peas,2000,2400,2200,05-04-2024
7,Ganganagar,Green Peas,2000,2400,2200,08-03-2024
8,Ganganagar,Green Peas,2000,2400,2200,28-03-2024
9,Ganganagar,Green Peas,2100,2500,2300,09-03-2024
10,Ganganagar,Green Peas,2100,2500,2300,27-03-2024
11,Ganganagar,Green Peas,2200,2600,2400,05-03-2024
12,Ganganagar,Green Peas,2200,2600,2400,07-03-2024
13,Ganganagar,Green Peas,2200,2600,2400,15-03-2024
14,Ganganagar,Green Peas,2200,2600,2400,18-03-2024
15,Ganganagar,Green Peas,2200,2600,2400,21-03-2024
16,Ganganagar,Green Peas,2300,2700,2500,04-03-2024
17,Ganganagar,Green Peas,2300,2700,2500,12-03-2024
18,Ganganagar,Green Peas,2300,2700,2500,14-03-2024
19,Ganganagar,Green Peas,2300,2700,2500,16-03-2024
20,Ganganagar,Green Peas,2300,2700,2500,19-03-2024
21,Ganganagar,Green Peas,2300,2700,2500,20-03-2024
22,Ganganagar,Green Peas,2400,2800,2600,11-03-2024
23,Ganganagar,Green Peas,2500,2900,2700,10-06-2024
24,Ganganagar,Green Peas,2500,2900,2700,11-06-2024
25,Ganganagar,Green Peas,2500,2900,2700,13-06-2024
26,Ganganagar,Green Peas,2600,3000,2800,12-06-2024
27,Ganganagar,Green Peas,2800,3200,3000,06-06-2024
28,Ganganagar,Green Peas,2800,3200,3000,07-06-2024
29,Ganganagar,Green Peas,3000,3400,3200,01-04-2024
30,Ganganagar,Green Peas,3000,3400,3200,08-06-2024
31,Ganganagar,Green Peas,3000,3400,3200,29-03-2024
32,Ganganagar,Green Peas,3100,3500,3300,22-03-2024
33,Ganganagar,Green Peas,3100,3500,3300,30-03-2024
34,Ganganagar,Green Peas,3300,3700,3500,04-06-2024
35,Ganganagar,Green Peas,3300,3700,3500,05-06-2024
36,Ganganagar,Green Peas,3300,3700,3500,23-03-2024
37,Ganganagar,Green Peas,3300,3700,3500,24-06-2024
38,Ganganagar,Green Peas,3300,3700,3500,29-05-2024
