Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jodhpur,Green Peas,800,1900,1500,01-01-2024
2,Jodhpur,Green Peas,800,1900,1500,03-01-2024
3,Jodhpur,Green Peas,800,2000,1500,02-01-2024
4,Jodhpur,Green Peas,800,2000,1500,04-01-2024
5,Jodhpur,Green Peas,800,2000,1500,05-01-2024
6,Jodhpur,Green Peas,1000,2500,1500,06-01-2024
7,Jodhpur,Green Peas,1000,2500,1500,07-01-2024
8,Jodhpur,Green Peas,1000,2500,1500,08-01-2024
9,Jodhpur,Green Peas,1000,2500,1500,09-01-2024
10,Jodhpur,Green Peas,1000,2500,2000,27-02-2024
11,Jodhpur,Green Peas,1000,2600,1800,10-01-2024
12,Jodhpur,Green Peas,1000,2600,1800,11-01-2024
13,Jodhpur,Green Peas,1000,2600,1800,12-01-2024
14,Jodhpur,Green Peas,1000,2600,1800,13-01-2024
15,Jodhpur,Green Peas,1000,2700,2000,25-02-2024
16,Jodhpur,Green Peas,1000,2700,2000,26-02-2024
17,Jodhpur,Green Peas,1000,2800,2000,29-02-2024
18,Jodhpur,Green Peas,1000,3000,2000,10-02-2024
19,Jodhpur,Green Peas,1000,3000,2000,11-02-2024
20,Jodhpur,Green Peas,1000,3000,2000,12-02-2024
21,Jodhpur,Green Peas,1000,3000,2000,13-02-2024
22,Jodhpur,Green Peas,1000,3000,2000,14-02-2024
23,Jodhpur,Green Peas,1000,3000,2000,15-02-2024
24,Jodhpur,Green Peas,1000,3000,2000,16-02-2024
25,Jodhpur,Green Peas,1000,3000,2000,17-02-2024
26,Jodhpur,Green Peas,1000,3000,2000,18-02-2024
27,Jodhpur,Green Peas,1000,3000,2000,20-02-2024
28,Jodhpur,Green Peas,1000,3000,2000,21-02-2024
29,Jodhpur,Green Peas,1000,3000,2000,22-02-2024
30,Jodhpur,Green Peas,1000,3000,2000,23-02-2024
31,Jodhpur,Green Peas,1000,3200,2000,28-02-2024
32,Jodhpur,Green Peas,1200,2800,2000,14-01-2024
33,Jodhpur,Green Peas,1200,2800,2000,15-01-2024
34,Jodhpur,Green Peas,1200,2900,2000,17-01-2024
35,Jodhpur,Green Peas,1300,2800,2000,23-01-2024
36,Jodhpur,Green Peas,1300,2900,2000,18-01-2024
37,Jodhpur,Green Peas,1300,3000,2000,19-01-2024
38,Jodhpur,Green Peas,1400,3000,2100,24-01-2024
39,Jodhpur,Green Peas,1400,3000,2100,26-01-2024
40,Jodhpur,Green Peas,1500,2500,2000,01-02-2024
41,Jodhpur,Green Peas,1500,2500,2000,02-02-2024
42,Jodhpur,Green Peas,1500,2500,2000,31-01-2024
43,Jodhpur,Green Peas,1500,2700,2000,06-02-2024
44,Jodhpur,Green Peas,1500,2700,2000,08-02-2024
45,Jodhpur,Green Peas,1500,2700,2000,30-01-2024
46,Jodhpur,Green Peas,1500,2800,2000,07-02-2024
47,Jodhpur,Green Peas,1500,3000,2000,28-01-2024
48,Jodhpur,Green Peas,1500,3000,2000,29-01-2024
49,Jodhpur,Green Peas,1500,3000,2200,09-02-2024
50,Jodhpur,Green Peas,1500,3000,2500,01-03-2024
51,Jodhpur,Green Peas,1500,3000,2500,02-03-2024
52,Jodhpur,Green Peas,1600,3000,2500,19-02-2024
53,Jodhpur,Green Peas,2000,3000,2500,05-03-2024
54,Jodhpur,Green Peas,2000,3000,2500,06-03-2024
55,Jodhpur,Green Peas,2000,3000,2500,07-03-2024
56,Jodhpur,Green Peas,2000,3500,3000,03-03-2024
57,Jodhpur,Green Peas,2000,3500,3000,04-03-2024
58,Jodhpur,Green Peas,2500,3500,2800,03-04-2024
59,Jodhpur,Green Peas,2500,3500,3000,31-03-2024
60,Jodhpur,Green Peas,2800,3500,3200,04-04-2024
61,Jodhpur,Green Peas,3000,3500,3200,05-04-2024
62,Jodhpur,Green Peas,3000,3500,3200,07-04-2024
63,Jodhpur,Green Peas,3000,3500,3200,08-03-2024
64,Jodhpur,Green Peas,3000,3500,3200,09-03-2024
65,Jodhpur,Green Peas,3000,3500,3200,12-03-2024
66,Jodhpur,Green Peas,3000,3500,3200,19-03-2024
67,Jodhpur,Green Peas,3000,3500,3200,21-03-2024
68,Jodhpur,Green Peas,3000,3500,3200,26-03-2024
69,Jodhpur,Green Peas,3000,3600,3200,11-03-2024
70,Jodhpur,Green Peas,3000,3800,3500,13-03-2024
71,Jodhpur,Green Peas,3000,4000,3500,01-04-2024
72,Jodhpur,Green Peas,3000,4000,3500,10-03-2024
73,Jodhpur,Green Peas,3000,4000,3500,17-03-2024
74,Jodhpur,Green Peas,3000,4000,3500,18-03-2024
75,Jodhpur,Green Peas,3000,4000,3500,30-03-2024
76,Jodhpur,Green Peas,3200,3800,3500,27-03-2024
77,Jodhpur,Green Peas,3500,4000,3800,06-04-2024
78,Jodhpur,Green Peas,3500,4000,3800,20-03-2024
79,Jodhpur,Green Peas,3500,4000,3800,22-03-2024
80,Jodhpur,Green Peas,3500,4000,3800,28-03-2024
81,Jodhpur,Green Peas,3500,4500,4000,09-04-2024
82,Jodhpur,Green Peas,3500,4500,4000,14-03-2024
83,Jodhpur,Green Peas,3500,4500,4000,20-11-2024
84,Jodhpur,Green Peas,4000,4500,4200,10-12-2024
85,Jodhpur,Green Peas,4000,4500,4200,12-12-2024
86,Jodhpur,Green Peas,4000,4500,4200,21-11-2024
87,Jodhpur,Green Peas,4000,4500,4200,21-10-2024
88,Jodhpur,Green Peas,4000,4500,4200,25-12-2024
89,Jodhpur,Green Peas,4000,4500,4200,29-03-2024
90,Jodhpur,Green Peas,4000,5000,4500,09-12-2024
91,Jodhpur,Green Peas,4000,5000,4500,11-12-2024
92,Jodhpur,Green Peas,4000,5000,4500,13-12-2024
93,Jodhpur,Green Peas,4000,5000,4500,24-10-2024
94,Jodhpur,Green Peas,4000,5000,4500,26-12-2024
95,Jodhpur,Green Peas,4000,5000,4500,27-12-2024
96,Jodhpur,Green Peas,4000,5500,5000,14-12-2024
97,Jodhpur,Green Peas,4000,6000,5000,19-12-2024
98,Jodhpur,Green Peas,4000,6000,5000,23-11-2024
99,Jodhpur,Green Peas,4000,6000,5000,28-11-2024
100,Jodhpur,Green Peas,4000,6500,5500,10-11-2024
101,Jodhpur,Green Peas,4500,5000,4800,22-11-2024
102,Jodhpur,Green Peas,5000,5500,5200,17-12-2024
103,Jodhpur,Green Peas,5000,6000,5500,22-12-2024
104,Jodhpur,Green Peas,5000,6000,5500,26-11-2024
105,Jodhpur,Green Peas,5000,6500,5500,11-11-2024
106,Jodhpur,Green Peas,5000,6500,6000,01-12-2024
107,Jodhpur,Green Peas,5000,6500,6000,19-11-2024
108,Jodhpur,Green Peas,5000,6500,6000,27-11-2024
109,Jodhpur,Green Peas,5000,7000,6000,03-12-2024
110,Jodhpur,Green Peas,5000,7000,6000,03-11-2024
111,Jodhpur,Green Peas,5000,7000,6000,04-11-2024
112,Jodhpur,Green Peas,5000,7000,6000,05-11-2024
113,Jodhpur,Green Peas,5000,7000,6000,06-11-2024
114,Jodhpur,Green Peas,5000,7000,6000,07-12-2024
115,Jodhpur,Green Peas,5000,7000,6000,07-11-2024
116,Jodhpur,Green Peas,5000,7000,6000,29-11-2024
117,Jodhpur,Green Peas,5000,7000,6000,29-10-2024
118,Jodhpur,Green Peas,5000,7500,6000,18-11-2024
119,Jodhpur,Green Peas,5500,6000,5800,18-12-2024
120,Jodhpur,Green Peas,5500,6000,5800,21-12-2024
121,Jodhpur,Green Peas,5500,7000,6000,08-11-2024
122,Jodhpur,Green Peas,5500,7500,6500,06-12-2024
123,Jodhpur,Green Peas,6000,6500,6200,15-12-2024
124,Jodhpur,Green Peas,6000,6500,6200,20-12-2024
125,Jodhpur,Green Peas,6000,7000,6500,02-12-2024
126,Jodhpur,Green Peas,6000,7000,6500,04-12-2024
127,Jodhpur,Green Peas,6000,7000,6500,08-12-2024
128,Jodhpur,Green Peas,6000,7000,6500,24-11-2024
129,Jodhpur,Green Peas,6000,7000,6500,25-11-2024
130,Jodhpur,Green Peas,6000,8000,7000,13-11-2024
131,Jodhpur,Green Peas,6000,8000,7000,17-11-2024
132,Jodhpur,Green Peas,6000,8000,7000,30-10-2024
133,Jodhpur,Green Peas,7000,8000,7500,05-12-2024
134,Jodhpur,Green Peas,7000,8000,7500,12-11-2024
135,Jodhpur,Green Peas,7000,8000,7500,30-11-2024
136,Jodhpur,Green Peas,7000,9000,8000,09-11-2024
137,Jodhpur,Green Peas,7500,8500,8000,16-11-2024
138,Jodhpur,Green Peas,8000,9000,8500,14-11-2024
