Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mumbai,Green Peas,3600,4500,4200,28-12-2024
2,Mumbai,Green Peas,4000,4600,4300,27-12-2024
3,Mumbai,Green Peas,4000,6000,5200,26-08-2024
4,Mumbai,Green Peas,4600,5000,4800,30-12-2024
5,Mumbai,Green Peas,5000,5600,5300,25-12-2024
6,Mumbai,Green Peas,6000,7000,6500,02-08-2024
7,Mumbai,Green Peas,6000,9000,8000,02-04-2024
8,Mumbai,Green Peas,6000,9000,8000,02-05-2024
9,Mumbai,Green Peas,6000,9000,8000,03-04-2024
10,Mumbai,Green Peas,6000,9000,8000,03-05-2024
11,Mumbai,Green Peas,6000,9000,8000,04-04-2024
12,Mumbai,Green Peas,6000,9000,8000,04-05-2024
13,Mumbai,Green Peas,6000,9000,8000,05-04-2024
14,Mumbai,Green Peas,6000,9000,8000,06-04-2024
15,Mumbai,Green Peas,6000,9000,8000,06-05-2024
16,Mumbai,Green Peas,6000,9000,8000,08-04-2024
17,Mumbai,Green Peas,6000,9000,8000,09-05-2024
18,Mumbai,Green Peas,6000,9000,8000,10-05-2024
19,Mumbai,Green Peas,6000,9000,8000,13-05-2024
20,Mumbai,Green Peas,6000,9000,8000,14-05-2024
21,Mumbai,Green Peas,6000,9000,8000,15-04-2024
22,Mumbai,Green Peas,6000,9000,8000,15-05-2024
23,Mumbai,Green Peas,6000,9000,8000,16-05-2024
24,Mumbai,Green Peas,6000,9000,8000,17-05-2024
25,Mumbai,Green Peas,6000,9000,8000,19-04-2024
26,Mumbai,Green Peas,6000,9000,8000,21-05-2024
27,Mumbai,Green Peas,6000,9000,8000,22-04-2024
28,Mumbai,Green Peas,6000,9000,8000,22-05-2024
29,Mumbai,Green Peas,6000,9000,8000,24-04-2024
30,Mumbai,Green Peas,6000,9000,8000,25-04-2024
31,Mumbai,Green Peas,6000,9000,8000,26-04-2024
32,Mumbai,Green Peas,6000,9000,8000,27-04-2024
33,Mumbai,Green Peas,6000,9000,8000,27-03-2024
34,Mumbai,Green Peas,6000,9000,8000,28-03-2024
35,Mumbai,Green Peas,6000,9000,8000,29-04-2024
36,Mumbai,Green Peas,6000,9000,8000,30-04-2024
37,Mumbai,Green Peas,6000,9000,8000,30-03-2024
38,Mumbai,Green Peas,6500,7500,7000,21-12-2024
39,Mumbai,Green Peas,6500,7500,7000,23-12-2024
40,Mumbai,Green Peas,6500,11600,9200,01-02-2024
41,Mumbai,Green Peas,6500,11600,9200,01-01-2024
42,Mumbai,Green Peas,6500,11600,9200,02-02-2024
43,Mumbai,Green Peas,6500,11600,9200,02-01-2024
44,Mumbai,Green Peas,6500,11600,9200,03-02-2024
45,Mumbai,Green Peas,6500,11600,9200,03-01-2024
46,Mumbai,Green Peas,6500,11600,9200,04-01-2024
47,Mumbai,Green Peas,6500,11600,9200,05-02-2024
48,Mumbai,Green Peas,6500,11600,9200,05-01-2024
49,Mumbai,Green Peas,6500,11600,9200,06-02-2024
50,Mumbai,Green Peas,6500,11600,9200,06-01-2024
51,Mumbai,Green Peas,6500,11600,9200,07-02-2024
52,Mumbai,Green Peas,6500,11600,9200,08-02-2024
53,Mumbai,Green Peas,6500,11600,9200,08-01-2024
54,Mumbai,Green Peas,6500,11600,9200,09-01-2024
55,Mumbai,Green Peas,6500,11600,9200,10-01-2024
56,Mumbai,Green Peas,6500,11600,9200,11-01-2024
57,Mumbai,Green Peas,6500,11600,9200,12-01-2024
58,Mumbai,Green Peas,6500,11600,9200,13-01-2024
59,Mumbai,Green Peas,6500,11600,9200,15-01-2024
60,Mumbai,Green Peas,6500,11600,9200,16-01-2024
61,Mumbai,Green Peas,6500,11600,9200,17-01-2024
62,Mumbai,Green Peas,6500,11600,9200,18-01-2024
63,Mumbai,Green Peas,6500,11600,9200,19-01-2024
64,Mumbai,Green Peas,6500,11600,9200,23-01-2024
65,Mumbai,Green Peas,6500,11600,9200,24-01-2024
66,Mumbai,Green Peas,6500,11600,9200,29-01-2024
67,Mumbai,Green Peas,6500,11600,9200,30-01-2024
68,Mumbai,Green Peas,6500,11600,9200,31-01-2024
69,Mumbai,Green Peas,7000,7600,7300,20-12-2024
70,Mumbai,Green Peas,7000,8000,7500,03-12-2024
