Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Nagpur,Green Peas,2200,4500,3816,28-12-2024
2,Nagpur,Green Peas,3500,6000,4833,27-12-2024
3,Nagpur,Green Peas,4000,4500,4000,01-01-2025
4,Nagpur,Green Peas,4000,4500,4328,31-12-2024
5,Nagpur,Green Peas,4000,5000,4637,30-12-2024
6,Nagpur,Green Peas,4000,5000,4666,19-11-2024
7,Nagpur,Green Peas,4000,5500,4833,25-12-2024
8,Nagpur,Green Peas,4500,5000,4833,13-12-2024
9,Nagpur,Green Peas,4500,6000,5083,26-12-2024
10,Nagpur,Green Peas,4500,6000,5125,21-11-2024
11,Nagpur,Green Peas,4500,6000,5166,12-12-2024
12,Nagpur,Green Peas,4500,6000,5166,14-12-2024
13,Nagpur,Green Peas,4500,6000,5200,10-12-2024
14,Nagpur,Green Peas,5000,5000,5000,30-11-2024
15,Nagpur,Green Peas,5000,5500,5166,07-12-2024
16,Nagpur,Green Peas,5000,5500,5250,04-12-2024
17,Nagpur,Green Peas,5000,6000,5200,25-11-2024
18,Nagpur,Green Peas,5000,6000,5250,02-12-2024
19,Nagpur,Green Peas,5000,6000,5250,03-12-2024
20,Nagpur,Green Peas,5000,6000,5250,09-12-2024
21,Nagpur,Green Peas,5000,6000,5333,26-11-2024
22,Nagpur,Green Peas,5000,6000,5375,05-12-2024
23,Nagpur,Green Peas,5000,6000,5500,27-11-2024
24,Nagpur,Green Peas,5000,6000,5500,28-11-2024
25,Nagpur,Green Peas,5000,6000,5666,23-11-2024
26,Nagpur,Green Peas,5000,6500,5600,17-12-2024
27,Nagpur,Green Peas,5000,6500,5785,23-12-2024
28,Nagpur,Green Peas,5000,7000,5500,18-11-2024
29,Nagpur,Green Peas,5000,7000,5785,16-12-2024
30,Nagpur,Green Peas,5000,7000,6000,21-12-2024
31,Nagpur,Green Peas,5000,7500,6500,18-12-2024
32,Nagpur,Green Peas,5500,5500,5500,20-12-2024
33,Nagpur,Green Peas,5500,8000,6500,19-12-2024
34,Nagpur,Green Peas,1500,2500,2000,05-01-2024
35,Nagpur,Green Peas,1500,2500,2000,06-01-2024
36,Nagpur,Green Peas,1500,2500,2000,10-01-2024
37,Nagpur,Green Peas,1500,2500,2000,11-01-2024
38,Nagpur,Green Peas,1500,2500,2000,12-01-2024
39,Nagpur,Green Peas,1500,2500,2000,15-01-2024
40,Nagpur,Green Peas,1500,2500,2000,16-01-2024
41,Nagpur,Green Peas,2000,3000,2500,09-01-2024
42,Nagpur,Green Peas,2000,3000,2500,13-01-2024
43,Nagpur,Green Peas,2000,3000,2500,14-01-2024
44,Nagpur,Green Peas,2000,3000,2500,16-02-2024
45,Nagpur,Green Peas,2000,3000,2500,19-01-2024
46,Nagpur,Green Peas,2000,3000,2500,20-01-2024
47,Nagpur,Green Peas,2500,3500,3000,01-03-2024
48,Nagpur,Green Peas,2500,3500,3000,03-03-2024
49,Nagpur,Green Peas,2500,3500,3000,04-02-2024
50,Nagpur,Green Peas,2500,3500,3000,07-03-2024
51,Nagpur,Green Peas,2500,3500,3000,08-02-2024
52,Nagpur,Green Peas,2500,3500,3000,08-03-2024
53,Nagpur,Green Peas,2500,3500,3000,10-02-2024
54,Nagpur,Green Peas,2500,3500,3000,13-02-2024
55,Nagpur,Green Peas,2500,3500,3000,14-03-2024
56,Nagpur,Green Peas,2500,3500,3000,16-03-2024
57,Nagpur,Green Peas,2500,3500,3000,18-01-2024
58,Nagpur,Green Peas,2500,3500,3000,25-01-2024
59,Nagpur,Green Peas,3000,4000,3500,01-02-2024
60,Nagpur,Green Peas,3000,4000,3500,02-02-2024
61,Nagpur,Green Peas,3000,4000,3500,06-02-2024
62,Nagpur,Green Peas,3000,4000,3500,06-03-2024
63,Nagpur,Green Peas,3000,4000,3500,09-02-2024
64,Nagpur,Green Peas,3000,4000,3500,09-03-2024
65,Nagpur,Green Peas,3000,4000,3500,11-03-2024
66,Nagpur,Green Peas,3000,4000,3500,12-03-2024
67,Nagpur,Green Peas,3000,4000,3500,30-01-2024
68,Nagpur,Green Peas,3000,4000,3500,31-01-2024
69,Nagpur,Green Peas,3500,4500,4000,01-01-2025
70,Nagpur,Green Peas,3500,4500,4000,02-04-2024
71,Nagpur,Green Peas,3500,4500,4000,02-03-2024
72,Nagpur,Green Peas,3500,4500,4000,05-03-2024
73,Nagpur,Green Peas,3500,4500,4000,13-03-2024
74,Nagpur,Green Peas,3500,4500,4000,19-03-2024
75,Nagpur,Green Peas,3500,4500,4000,23-02-2024
76,Nagpur,Green Peas,3500,4500,4000,28-02-2024
77,Nagpur,Green Peas,3500,4500,4000,30-12-2024
78,Nagpur,Green Peas,3500,4500,4000,31-12-2024
79,Nagpur,Green Peas,4000,5000,4500,29-12-2024
80,Nagpur,Green Peas,4000,6000,5000,07-12-2024
81,Nagpur,Green Peas,4500,5500,5000,01-12-2024
82,Nagpur,Green Peas,4500,5500,5000,02-12-2024
83,Nagpur,Green Peas,4500,5500,5000,03-12-2024
84,Nagpur,Green Peas,4500,5500,5000,04-12-2024
85,Nagpur,Green Peas,4500,5500,5000,05-12-2024
86,Nagpur,Green Peas,4500,5500,5000,08-12-2024
87,Nagpur,Green Peas,4500,5500,5000,09-12-2024
88,Nagpur,Green Peas,4500,5500,5000,10-12-2024
89,Nagpur,Green Peas,4500,5500,5000,11-12-2024
90,Nagpur,Green Peas,4500,5500,5000,12-12-2024
91,Nagpur,Green Peas,4500,5500,5000,12-11-2024
92,Nagpur,Green Peas,4500,5500,5000,19-12-2024
93,Nagpur,Green Peas,4500,5500,5000,19-11-2024
94,Nagpur,Green Peas,4500,5500,5000,20-11-2024
95,Nagpur,Green Peas,4500,5500,5000,21-11-2024
96,Nagpur,Green Peas,4500,5500,5000,24-12-2024
97,Nagpur,Green Peas,4500,5500,5000,24-11-2024
98,Nagpur,Green Peas,4500,5500,5000,25-11-2024
99,Nagpur,Green Peas,4500,5500,5000,26-12-2024
100,Nagpur,Green Peas,4500,5500,5000,26-11-2024
101,Nagpur,Green Peas,4500,5500,5000,27-11-2024
102,Nagpur,Green Peas,4500,5500,5000,28-11-2024
103,Nagpur,Green Peas,5500,6500,6000,13-11-2024
104,Nagpur,Green Peas,5500,6500,6000,14-12-2024
105,Nagpur,Green Peas,5500,6500,6000,14-11-2024
106,Nagpur,Green Peas,5500,6500,6000,15-12-2024
107,Nagpur,Green Peas,5500,6500,6000,16-11-2024
108,Nagpur,Green Peas,5500,6500,6000,17-12-2024
109,Nagpur,Green Peas,5500,6500,6000,18-12-2024
110,Nagpur,Green Peas,5500,6500,6000,18-11-2024
111,Nagpur,Green Peas,5500,6500,6000,20-12-2024
112,Nagpur,Green Peas,5500,6500,6000,22-12-2024
113,Nagpur,Green Peas,6000,8000,7000,09-11-2024
114,Nagpur,Green Peas,6500,7500,7000,07-11-2024
115,Nagpur,Green Peas,6500,7500,7000,10-11-2024
116,Nagpur,Green Peas,6500,7500,7000,11-11-2024
117,Nagpur,Green Peas,6500,7500,7000,13-12-2024
118,Nagpur,Green Peas,1500,1800,1725,08-01-2024
119,Nagpur,Green Peas,2000,3000,2750,12-03-2024
120,Nagpur,Green Peas,2000,5000,4250,04-01-2024
121,Nagpur,Green Peas,2400,2600,2550,31-08-2024
122,Nagpur,Green Peas,2500,2800,2725,07-02-2024
123,Nagpur,Green Peas,2500,3000,2875,01-02-2024
124,Nagpur,Green Peas,2500,3500,3250,03-02-2024
125,Nagpur,Green Peas,2800,3000,2950,11-01-2024
126,Nagpur,Green Peas,2800,3200,3100,04-02-2024
127,Nagpur,Green Peas,3000,3200,3150,08-04-2024
128,Nagpur,Green Peas,3000,3200,3150,11-07-2024
129,Nagpur,Green Peas,3200,3400,3350,04-03-2024
130,Nagpur,Green Peas,3200,3400,3350,24-09-2024
131,Nagpur,Green Peas,3300,3500,3450,21-12-2024
132,Nagpur,Green Peas,3400,3600,3550,08-07-2024
133,Nagpur,Green Peas,3400,3600,3550,14-08-2024
134,Nagpur,Green Peas,3400,3600,3550,21-08-2024
135,Nagpur,Green Peas,3500,4000,3875,20-03-2024
136,Nagpur,Green Peas,3500,4000,3875,27-08-2024
137,Nagpur,Green Peas,3800,4000,3950,23-01-2024
138,Nagpur,Green Peas,3800,4000,3950,30-03-2024
139,Nagpur,Green Peas,3900,4100,4050,07-11-2024
140,Nagpur,Green Peas,4000,4200,4150,15-10-2024
141,Nagpur,Green Peas,4000,5000,4750,26-03-2024
