Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Rampur,Green Peas,900,1100,1000,02-01-2024
2,Rampur,Green Peas,900,1100,1000,04-01-2024
3,Rampur,Green Peas,900,1100,1000,05-01-2024
4,Rampur,Green Peas,900,1100,1000,08-01-2024
5,Rampur,Green Peas,1000,1200,1100,01-01-2024
6,Rampur,Green Peas,1000,1200,1100,03-01-2024
7,Rampur,Green Peas,1000,1200,1100,09-01-2024
8,Rampur,Green Peas,1000,1200,1100,10-01-2024
9,Rampur,Green Peas,1000,1200,1100,11-01-2024
10,Rampur,Green Peas,1000,1200,1100,14-01-2024
11,Rampur,Green Peas,1000,1400,1200,22-01-2024
12,Rampur,Green Peas,1000,1500,1250,15-01-2024
13,Rampur,Green Peas,1000,1500,1250,19-01-2024
14,Rampur,Green Peas,1200,1500,1350,18-01-2024
15,Rampur,Green Peas,1200,1600,1400,23-01-2024
16,Rampur,Green Peas,1300,1500,1400,06-02-2024
17,Rampur,Green Peas,1300,1500,1400,08-02-2024
18,Rampur,Green Peas,1300,1500,1400,09-02-2024
19,Rampur,Green Peas,1300,1500,1400,11-02-2024
20,Rampur,Green Peas,1300,1500,1400,13-02-2024
21,Rampur,Green Peas,1300,1500,1400,14-02-2024
22,Rampur,Green Peas,1300,1700,1500,27-01-2024
23,Rampur,Green Peas,1400,1600,1500,02-02-2024
24,Rampur,Green Peas,1400,1600,1500,04-02-2024
25,Rampur,Green Peas,1400,1600,1500,05-02-2024
26,Rampur,Green Peas,1400,1600,1500,07-02-2024
27,Rampur,Green Peas,1400,1600,1500,12-02-2024
28,Rampur,Green Peas,1400,1600,1500,15-02-2024
29,Rampur,Green Peas,1400,1600,1500,18-02-2024
30,Rampur,Green Peas,1400,1600,1500,19-02-2024
31,Rampur,Green Peas,1400,1600,1500,20-02-2024
32,Rampur,Green Peas,1400,1600,1500,21-02-2024
33,Rampur,Green Peas,1400,1600,1500,22-02-2024
34,Rampur,Green Peas,1400,1600,1500,23-02-2024
35,Rampur,Green Peas,1400,1600,1500,24-02-2024
36,Rampur,Green Peas,1400,1600,1500,28-02-2024
37,Rampur,Green Peas,1400,1600,1500,30-01-2024
38,Rampur,Green Peas,1400,1600,1500,31-01-2024
39,Rampur,Green Peas,1400,1750,1575,25-02-2024
40,Rampur,Green Peas,1400,1800,1600,28-01-2024
41,Rampur,Green Peas,1400,1800,1600,29-01-2024
42,Rampur,Green Peas,1400,2000,1700,26-02-2024
43,Rampur,Green Peas,1800,2500,2150,01-01-2025
44,Rampur,Green Peas,2000,2400,2200,26-12-2024
45,Rampur,Green Peas,2000,2500,2250,27-12-2024
46,Rampur,Green Peas,2000,2500,2250,30-12-2024
47,Rampur,Green Peas,2000,2500,2250,31-12-2024
48,Rampur,Green Peas,2000,3000,2500,25-12-2024
49,Rampur,Green Peas,2000,3000,2500,29-12-2024
50,Rampur,Green Peas,2500,3500,3000,23-12-2024
