Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ranipet,Green Peas,10000,10000,10000,26-12-2024
2,Ranipet,Green Peas,10000,10000,10000,28-12-2024
3,Ranipet,Green Peas,10000,10000,10000,29-12-2024
4,Ranipet,Green Peas,10000,12000,12000,27-12-2024
5,Ranipet,Green Peas,12000,12000,12000,01-01-2025
6,Ranipet,Green Peas,12000,12000,12000,04-12-2024
7,Ranipet,Green Peas,12000,12000,12000,05-12-2024
8,Ranipet,Green Peas,12000,12000,12000,06-12-2024
9,Ranipet,Green Peas,12000,12000,12000,07-12-2024
10,Ranipet,Green Peas,12000,12000,12000,17-12-2024
11,Ranipet,Green Peas,12000,12000,12000,18-12-2024
12,Ranipet,Green Peas,12000,12000,12000,19-12-2024
13,Ranipet,Green Peas,12000,12000,12000,20-12-2024
14,Ranipet,Green Peas,12000,12000,12000,22-12-2024
15,Ranipet,Green Peas,12000,12000,12000,25-11-2024
16,Ranipet,Green Peas,12000,12000,12000,26-11-2024
17,Ranipet,Green Peas,12000,12000,12000,27-11-2024
18,Ranipet,Green Peas,12000,12000,12000,31-12-2024
19,Ranipet,Green Peas,12000,13000,13000,08-12-2024
20,Ranipet,Green Peas,12000,13000,13000,12-12-2024
21,Ranipet,Green Peas,12000,13000,13000,23-12-2024
22,Ranipet,Green Peas,12000,13000,13000,25-12-2024
23,Ranipet,Green Peas,12000,14000,14000,03-12-2024
24,Ranipet,Green Peas,12000,14000,14000,23-11-2024
25,Ranipet,Green Peas,12000,14000,14000,24-11-2024
26,Ranipet,Green Peas,13000,13000,13000,13-12-2024
27,Ranipet,Green Peas,13000,13000,13000,24-12-2024
28,Ranipet,Green Peas,13000,14000,14000,28-11-2024
29,Ranipet,Green Peas,14000,14000,14000,11-12-2024
30,Ranipet,Green Peas,14000,14000,14000,15-12-2024
31,Ranipet,Green Peas,14000,14000,14000,22-11-2024
32,Ranipet,Green Peas,14000,16000,16000,02-12-2024
33,Ranipet,Green Peas,20000,20000,20000,20-11-2024
34,Ranipet,Green Peas,20000,20000,20000,21-11-2024
35,Ranipet,Green Peas,10000,10000,10000,27-12-2024
36,Ranipet,Green Peas,10000,10000,10000,28-12-2024
37,Ranipet,Green Peas,10000,10000,10000,29-12-2024
38,Ranipet,Green Peas,10000,10000,10000,30-12-2024
39,Ranipet,Green Peas,12000,12000,12000,01-01-2025
40,Ranipet,Green Peas,12000,12000,12000,05-12-2024
41,Ranipet,Green Peas,12000,12000,12000,06-12-2024
42,Ranipet,Green Peas,12000,12000,12000,07-12-2024
43,Ranipet,Green Peas,12000,12000,12000,16-12-2024
44,Ranipet,Green Peas,12000,12000,12000,20-12-2024
45,Ranipet,Green Peas,12000,12000,12000,21-12-2024
46,Ranipet,Green Peas,12000,12000,12000,22-12-2024
47,Ranipet,Green Peas,12000,12000,12000,23-12-2024
48,Ranipet,Green Peas,12000,12000,12000,24-12-2024
49,Ranipet,Green Peas,12000,12000,12000,24-11-2024
50,Ranipet,Green Peas,12000,12000,12000,25-12-2024
51,Ranipet,Green Peas,12000,12000,12000,25-11-2024
52,Ranipet,Green Peas,12000,12000,12000,26-12-2024
53,Ranipet,Green Peas,12000,12000,12000,31-12-2024
54,Ranipet,Green Peas,13000,13000,13000,08-12-2024
55,Ranipet,Green Peas,13000,13000,13000,12-12-2024
56,Ranipet,Green Peas,13000,13000,13000,13-12-2024
57,Ranipet,Green Peas,13000,13000,13000,14-12-2024
58,Ranipet,Green Peas,13000,13000,13000,15-12-2024
59,Ranipet,Green Peas,13000,13000,13000,17-12-2024
60,Ranipet,Green Peas,13000,13000,13000,18-12-2024
61,Ranipet,Green Peas,13000,13000,13000,19-12-2024
62,Ranipet,Green Peas,13000,13000,13000,27-11-2024
63,Ranipet,Green Peas,13000,13000,13000,28-11-2024
64,Ranipet,Green Peas,14000,14000,14000,04-12-2024
65,Ranipet,Green Peas,14000,14000,14000,10-12-2024
66,Ranipet,Green Peas,14000,14000,14000,11-12-2024
67,Ranipet,Green Peas,16000,16000,16000,03-12-2024
68,Ranipet,Green Peas,17000,17000,17000,22-11-2024
69,Ranipet,Green Peas,25000,25000,25000,04-08-2024
70,Ranipet,Green Peas,25000,25000,25000,05-08-2024
