Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sangrur,Green Peas,1500,2500,2000,09-01-2024
2,Sangrur,Green Peas,1500,2500,2000,10-01-2024
3,Sangrur,Green Peas,1500,2500,2200,12-01-2024
4,Sangrur,Green Peas,1800,2300,2000,19-02-2024
5,Sangrur,Green Peas,1800,2300,2000,21-02-2024
6,Sangrur,Green Peas,1800,2500,2000,22-02-2024
7,Sangrur,Green Peas,2000,2500,2200,01-02-2024
8,Sangrur,Green Peas,2000,2500,2200,08-02-2024
9,Sangrur,Green Peas,2000,2500,2200,10-02-2024
10,Sangrur,Green Peas,2000,2500,2200,11-01-2024
11,Sangrur,Green Peas,2000,2500,2200,14-02-2024
12,Sangrur,Green Peas,2000,2500,2200,15-02-2024
13,Sangrur,Green Peas,2000,2500,2200,22-01-2024
14,Sangrur,Green Peas,2000,2500,2200,23-01-2024
15,Sangrur,Green Peas,2000,2500,2200,24-01-2024
16,Sangrur,Green Peas,2000,2500,2200,25-01-2024
17,Sangrur,Green Peas,2000,2500,2200,27-01-2024
18,Sangrur,Green Peas,2000,2500,2200,29-01-2024
19,Sangrur,Green Peas,2000,2500,2200,30-01-2024
20,Sangrur,Green Peas,2000,2500,2200,31-01-2024
21,Sangrur,Green Peas,2000,3000,2500,10-06-2024
22,Sangrur,Green Peas,2000,4000,2500,16-03-2024
23,Sangrur,Green Peas,2200,2700,2500,02-02-2024
24,Sangrur,Green Peas,2200,2700,2500,03-02-2024
25,Sangrur,Green Peas,2200,2700,2500,06-02-2024
26,Sangrur,Green Peas,2200,2700,2500,26-01-2024
27,Sangrur,Green Peas,2500,3000,2800,04-04-2024
28,Sangrur,Green Peas,2500,3000,2800,05-04-2024
29,Sangrur,Green Peas,2500,3000,2800,09-04-2024
30,Sangrur,Green Peas,2500,3000,2800,13-03-2024
31,Sangrur,Green Peas,2500,3000,2800,14-03-2024
