Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Shimoga,Green Peas,9350,9350,9350,27-11-2024
2,Shimoga,Green Peas,19582,19582,19582,26-11-2024
3,Shimoga,Green Peas,5200,9200,7350,10-06-2024
4,Shimoga,Green Peas,5500,9200,7350,01-06-2024
5,Shimoga,Green Peas,5500,9200,7350,02-05-2024
6,Shimoga,Green Peas,5500,9200,7350,03-05-2024
7,Shimoga,Green Peas,5500,9200,7350,05-06-2024
8,Shimoga,Green Peas,5500,9200,7350,06-06-2024
9,Shimoga,Green Peas,5500,9200,7350,08-05-2024
10,Shimoga,Green Peas,5500,9200,7350,09-05-2024
11,Shimoga,Green Peas,5500,9200,7350,11-06-2024
12,Shimoga,Green Peas,5500,9200,7350,14-05-2024
13,Shimoga,Green Peas,5500,9200,7350,15-05-2024
14,Shimoga,Green Peas,5500,9200,7350,16-05-2024
15,Shimoga,Green Peas,5500,9200,7350,17-05-2024
16,Shimoga,Green Peas,5500,9200,7350,18-06-2024
17,Shimoga,Green Peas,5500,9200,7350,18-05-2024
18,Shimoga,Green Peas,5500,9200,7350,20-06-2024
19,Shimoga,Green Peas,5500,9200,7350,21-06-2024
20,Shimoga,Green Peas,5500,9200,7350,21-05-2024
21,Shimoga,Green Peas,5500,9200,7350,24-04-2024
22,Shimoga,Green Peas,5500,9200,7350,24-05-2024
23,Shimoga,Green Peas,5500,9200,7350,28-05-2024
24,Shimoga,Green Peas,5500,9200,7350,29-04-2024
25,Shimoga,Green Peas,5500,18000,11750,03-12-2024
26,Shimoga,Green Peas,5600,10600,8100,01-07-2024
27,Shimoga,Green Peas,5600,10600,8100,05-07-2024
28,Shimoga,Green Peas,5600,10600,8100,06-07-2024
29,Shimoga,Green Peas,5600,10600,8100,11-07-2024
30,Shimoga,Green Peas,5600,10600,8100,29-06-2024
31,Shimoga,Green Peas,5600,10600,8100,30-07-2024
32,Shimoga,Green Peas,5600,10600,8800,05-08-2024
33,Shimoga,Green Peas,5600,10600,8800,29-08-2024
34,Shimoga,Green Peas,6500,9000,7750,30-04-2024
35,Shimoga,Green Peas,8000,10000,9000,13-05-2024
36,Shimoga,Green Peas,10500,10800,10650,05-12-2024
37,Shimoga,Green Peas,10500,10800,10650,07-12-2024
