Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Auraiya,Gur(Jaggery),2700,3900,3800,24-02-2024
2,Auraiya,Gur(Jaggery),3200,3300,3250,27-01-2024
3,Auraiya,Gur(Jaggery),3560,3800,3750,13-02-2024
4,Auraiya,Gur(Jaggery),3590,3850,3750,19-02-2024
5,Auraiya,Gur(Jaggery),3600,3900,3720,05-02-2024
6,Auraiya,Gur(Jaggery),3600,3900,3750,06-03-2024
7,Auraiya,Gur(Jaggery),3600,3900,3750,07-03-2024
8,Auraiya,Gur(Jaggery),3650,3850,3750,08-02-2024
9,Auraiya,Gur(Jaggery),3650,3850,3750,28-02-2024
10,Auraiya,Gur(Jaggery),3650,3850,3760,12-02-2024
11,Auraiya,Gur(Jaggery),3650,3900,3750,26-01-2024
12,Auraiya,Gur(Jaggery),3650,3900,3760,30-01-2024
13,Auraiya,Gur(Jaggery),3670,3800,3750,15-01-2024
14,Auraiya,Gur(Jaggery),3700,3800,3750,01-03-2024
15,Auraiya,Gur(Jaggery),3700,3800,3750,02-03-2024
16,Auraiya,Gur(Jaggery),3700,3800,3750,03-02-2024
17,Auraiya,Gur(Jaggery),3700,3800,3750,04-01-2024
18,Auraiya,Gur(Jaggery),3700,3800,3750,04-03-2024
19,Auraiya,Gur(Jaggery),3700,3800,3750,05-03-2024
20,Auraiya,Gur(Jaggery),3700,3800,3750,06-02-2024
21,Auraiya,Gur(Jaggery),3700,3800,3750,09-02-2024
22,Auraiya,Gur(Jaggery),3700,3800,3750,09-03-2024
23,Auraiya,Gur(Jaggery),3700,3800,3750,10-02-2024
24,Auraiya,Gur(Jaggery),3700,3800,3750,10-01-2024
25,Auraiya,Gur(Jaggery),3700,3800,3750,13-01-2024
26,Auraiya,Gur(Jaggery),3700,3800,3750,15-02-2024
27,Auraiya,Gur(Jaggery),3700,3800,3750,16-01-2024
28,Auraiya,Gur(Jaggery),3700,3800,3750,17-02-2024
29,Auraiya,Gur(Jaggery),3700,3800,3750,20-01-2024
30,Auraiya,Gur(Jaggery),3700,3800,3750,22-02-2024
31,Auraiya,Gur(Jaggery),3700,3800,3750,22-01-2024
32,Auraiya,Gur(Jaggery),3700,3800,3750,24-01-2024
33,Auraiya,Gur(Jaggery),3700,3800,3750,25-01-2024
34,Auraiya,Gur(Jaggery),3700,3800,3750,29-02-2024
35,Auraiya,Gur(Jaggery),3700,3800,3750,31-01-2024
36,Auraiya,Gur(Jaggery),3700,3800,3760,29-01-2024
37,Auraiya,Gur(Jaggery),3700,3820,3750,14-02-2024
38,Auraiya,Gur(Jaggery),3700,3850,3750,20-02-2024
39,Auraiya,Gur(Jaggery),3700,3850,3750,27-02-2024
40,Auraiya,Gur(Jaggery),3700,3850,3775,01-02-2024
41,Auraiya,Gur(Jaggery),3700,3850,3780,09-01-2024
42,Auraiya,Gur(Jaggery),3700,3850,3800,08-04-2024
43,Auraiya,Gur(Jaggery),3700,3850,3800,15-03-2024
44,Auraiya,Gur(Jaggery),3700,3900,3740,08-03-2024
45,Auraiya,Gur(Jaggery),3700,3900,3750,11-01-2024
46,Auraiya,Gur(Jaggery),3700,3900,3800,01-01-2024
47,Auraiya,Gur(Jaggery),3700,3900,3800,02-02-2024
48,Auraiya,Gur(Jaggery),3700,3900,3800,03-01-2024
49,Auraiya,Gur(Jaggery),3700,3900,3800,05-04-2024
50,Auraiya,Gur(Jaggery),3700,3900,3800,05-01-2024
51,Auraiya,Gur(Jaggery),3700,3900,3800,06-04-2024
52,Auraiya,Gur(Jaggery),3700,3900,3800,06-01-2024
53,Auraiya,Gur(Jaggery),3700,3900,3800,08-01-2024
54,Auraiya,Gur(Jaggery),3700,3900,3800,12-01-2024
55,Auraiya,Gur(Jaggery),3700,3900,3800,12-03-2024
56,Auraiya,Gur(Jaggery),3700,3900,3800,13-03-2024
57,Auraiya,Gur(Jaggery),3700,3900,3800,14-03-2024
