Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Belgaum,Gur(Jaggery),3800,4500,4100,22-07-2024
2,Belgaum,Gur(Jaggery),3800,4500,4100,25-07-2024
3,Belgaum,Gur(Jaggery),3800,4500,4100,03-07-2024
4,Belgaum,Gur(Jaggery),3800,4500,4100,16-03-2024
5,Belgaum,Gur(Jaggery),3800,4500,4100,29-04-2024
6,Belgaum,Gur(Jaggery),3000,4400,4000,31-01-2024
7,Belgaum,Gur(Jaggery),3800,4500,4100,17-04-2024
8,Belgaum,Gur(Jaggery),3000,4400,4000,07-02-2024
9,Belgaum,Gur(Jaggery),3800,4500,4100,02-09-2024
10,Belgaum,Gur(Jaggery),3800,4500,4100,13-11-2024
11,Belgaum,Gur(Jaggery),3800,4500,4100,12-03-2024
12,Belgaum,Gur(Jaggery),3000,4400,4000,03-01-2024
13,Belgaum,Gur(Jaggery),3800,4500,4100,26-08-2024
14,Belgaum,Gur(Jaggery),3800,4500,4100,13-03-2024
15,Belgaum,Gur(Jaggery),3000,4500,4100,14-11-2024
16,Belgaum,Gur(Jaggery),3800,4500,4100,05-06-2024
17,Belgaum,Gur(Jaggery),3000,4400,4000,14-02-2024
18,Belgaum,Gur(Jaggery),3000,4500,4100,28-02-2024
19,Belgaum,Gur(Jaggery),3800,4500,4100,20-04-2024
20,Belgaum,Gur(Jaggery),3000,4400,4000,06-01-2024
21,Belgaum,Gur(Jaggery),3000,4400,4000,09-02-2024
22,Belgaum,Gur(Jaggery),3000,4400,4000,22-02-2024
23,Belgaum,Gur(Jaggery),3800,4500,4250,24-06-2024
24,Belgaum,Gur(Jaggery),3800,4500,4100,02-03-2024
25,Belgaum,Gur(Jaggery),3800,4500,4100,20-06-2024
26,Belgaum,Gur(Jaggery),3800,4500,4250,27-09-2024
27,Belgaum,Gur(Jaggery),3800,4500,4100,09-11-2024
28,Belgaum,Gur(Jaggery),3800,4500,4100,20-07-2024
29,Belgaum,Gur(Jaggery),3800,4500,4400,27-12-2024
30,Belgaum,Gur(Jaggery),3800,4500,4100,14-06-2024
31,Belgaum,Gur(Jaggery),3800,4500,4100,07-06-2024
32,Belgaum,Gur(Jaggery),3800,4500,4100,21-03-2024
33,Belgaum,Gur(Jaggery),3800,4500,4100,19-09-2024
34,Belgaum,Gur(Jaggery),3000,4400,4000,05-01-2024
35,Belgaum,Gur(Jaggery),3000,4400,4000,02-02-2024
36,Belgaum,Gur(Jaggery),3800,4500,4100,20-03-2024
37,Belgaum,Gur(Jaggery),3800,4500,4100,27-07-2024
38,Belgaum,Gur(Jaggery),3800,4500,4100,04-09-2024
39,Belgaum,Gur(Jaggery),3800,4500,4100,06-08-2024
40,Belgaum,Gur(Jaggery),3800,4500,4100,22-03-2024
