Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chamrajnagar,Gur(Jaggery),2800,4300,4000,03-02-2024
2,Chamrajnagar,Gur(Jaggery),3000,3000,3000,06-11-2024
3,Chamrajnagar,Gur(Jaggery),3000,4500,4000,06-01-2024
4,Chamrajnagar,Gur(Jaggery),3200,5200,4800,22-05-2024
5,Chamrajnagar,Gur(Jaggery),3450,4150,4000,09-12-2024
6,Chamrajnagar,Gur(Jaggery),3490,3800,3650,23-12-2024
7,Chamrajnagar,Gur(Jaggery),3500,3500,3500,24-07-2024
8,Chamrajnagar,Gur(Jaggery),3500,3500,3500,26-09-2024
9,Chamrajnagar,Gur(Jaggery),3500,3650,3576,31-12-2024
10,Chamrajnagar,Gur(Jaggery),3500,3900,3800,17-12-2024
11,Chamrajnagar,Gur(Jaggery),3500,4650,4400,10-07-2024
12,Chamrajnagar,Gur(Jaggery),3500,5000,4500,10-01-2024
13,Chamrajnagar,Gur(Jaggery),3500,5000,4500,24-04-2024
14,Chamrajnagar,Gur(Jaggery),3540,4400,3920,01-10-2024
15,Chamrajnagar,Gur(Jaggery),3589,3933,3589,23-09-2024
16,Chamrajnagar,Gur(Jaggery),3600,4100,3600,02-09-2024
17,Chamrajnagar,Gur(Jaggery),3665,3665,3665,22-07-2024
18,Chamrajnagar,Gur(Jaggery),3665,3665,3665,23-07-2024
19,Chamrajnagar,Gur(Jaggery),3670,3670,3670,27-08-2024
20,Chamrajnagar,Gur(Jaggery),3800,3800,3800,18-12-2024
21,Chamrajnagar,Gur(Jaggery),3800,3800,3800,28-11-2024
22,Chamrajnagar,Gur(Jaggery),3800,4500,4200,12-12-2024
23,Chamrajnagar,Gur(Jaggery),3800,4500,4200,29-10-2024
24,Chamrajnagar,Gur(Jaggery),3800,4800,4200,21-10-2024
25,Chamrajnagar,Gur(Jaggery),3800,4900,4500,03-07-2024
26,Chamrajnagar,Gur(Jaggery),3866,4900,4900,07-10-2024
27,Chamrajnagar,Gur(Jaggery),3900,3900,3900,19-11-2024
28,Chamrajnagar,Gur(Jaggery),4000,4000,4000,11-09-2024
29,Chamrajnagar,Gur(Jaggery),4000,4000,4000,12-09-2024
30,Chamrajnagar,Gur(Jaggery),4000,4000,4000,26-12-2024
31,Chamrajnagar,Gur(Jaggery),4000,4000,4000,27-09-2024
32,Chamrajnagar,Gur(Jaggery),4000,4000,4000,30-10-2024
33,Chamrajnagar,Gur(Jaggery),4033,4033,4033,26-11-2024
34,Chamrajnagar,Gur(Jaggery),4100,4100,4100,20-11-2024
35,Chamrajnagar,Gur(Jaggery),4200,4200,4200,27-11-2024
36,Chamrajnagar,Gur(Jaggery),4200,4200,4200,29-08-2024
37,Chamrajnagar,Gur(Jaggery),4255,4255,4255,02-12-2024
38,Chamrajnagar,Gur(Jaggery),4300,4300,4300,07-11-2024
39,Chamrajnagar,Gur(Jaggery),4367,4367,4367,04-12-2024
40,Chamrajnagar,Gur(Jaggery),4500,4500,4500,03-10-2024
41,Chamrajnagar,Gur(Jaggery),4500,4500,4500,21-08-2024
42,Chamrajnagar,Gur(Jaggery),4500,4900,4700,13-11-2024
43,Chamrajnagar,Gur(Jaggery),4551,4551,4551,10-10-2024
44,Chamrajnagar,Gur(Jaggery),4660,4660,4660,04-11-2024
45,Chamrajnagar,Gur(Jaggery),4700,4700,4700,18-09-2024
46,Chamrajnagar,Gur(Jaggery),4800,4800,4800,05-12-2024
47,Chamrajnagar,Gur(Jaggery),4800,4800,4800,12-11-2024
48,Chamrajnagar,Gur(Jaggery),4800,4800,4800,26-07-2024
49,Chamrajnagar,Gur(Jaggery),4900,4900,4900,02-08-2024
50,Chamrajnagar,Gur(Jaggery),4900,4900,4900,14-12-2024
51,Chamrajnagar,Gur(Jaggery),4900,4900,4900,14-09-2024
52,Chamrajnagar,Gur(Jaggery),4900,4900,4900,19-12-2024
53,Chamrajnagar,Gur(Jaggery),4900,4900,4900,23-08-2024
54,Chamrajnagar,Gur(Jaggery),4900,4900,4900,24-12-2024
55,Chamrajnagar,Gur(Jaggery),4900,5297,4900,09-09-2024
56,Chamrajnagar,Gur(Jaggery),5000,5000,5000,05-11-2024
57,Chamrajnagar,Gur(Jaggery),5000,5000,5000,08-11-2024
58,Chamrajnagar,Gur(Jaggery),5000,5000,5000,10-08-2024
59,Chamrajnagar,Gur(Jaggery),5000,5000,5000,16-11-2024
60,Chamrajnagar,Gur(Jaggery),5000,5000,5000,16-10-2024
61,Chamrajnagar,Gur(Jaggery),5000,5000,5000,17-08-2024
62,Chamrajnagar,Gur(Jaggery),5000,5000,5000,22-10-2024
63,Chamrajnagar,Gur(Jaggery),5000,5000,5000,31-08-2024
64,Chamrajnagar,Gur(Jaggery),5100,5100,5100,21-09-2024
65,Chamrajnagar,Gur(Jaggery),3626,3626,3626,30-07-2024
