Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chhindwara,Gur(Jaggery),2210,2301,2301,07-11-2024
2,Chhindwara,Gur(Jaggery),2400,2500,2500,13-10-2024
3,Chhindwara,Gur(Jaggery),2500,3125,2500,30-12-2024
4,Chhindwara,Gur(Jaggery),2600,3100,2700,30-09-2024
5,Chhindwara,Gur(Jaggery),2685,2701,2701,12-12-2024
6,Chhindwara,Gur(Jaggery),2729,2801,2779,26-09-2024
7,Chhindwara,Gur(Jaggery),2800,3000,2800,23-09-2024
8,Chhindwara,Gur(Jaggery),2800,3500,2800,19-09-2024
9,Chhindwara,Gur(Jaggery),2850,2850,2850,06-11-2024
10,Chhindwara,Gur(Jaggery),2875,2875,2875,16-10-2024
11,Chhindwara,Gur(Jaggery),3000,3000,3000,03-10-2024
12,Chhindwara,Gur(Jaggery),3000,3100,3100,02-09-2024
13,Chhindwara,Gur(Jaggery),3000,3700,3700,31-08-2024
14,Chhindwara,Gur(Jaggery),3010,3035,3035,16-12-2024
15,Chhindwara,Gur(Jaggery),3030,3030,3030,18-12-2024
16,Chhindwara,Gur(Jaggery),3090,3110,3110,23-12-2024
17,Chhindwara,Gur(Jaggery),3100,3100,3100,11-08-2024
18,Chhindwara,Gur(Jaggery),3100,3100,3100,22-12-2024
19,Chhindwara,Gur(Jaggery),3100,3100,3100,24-12-2024
20,Chhindwara,Gur(Jaggery),3105,3105,3105,25-12-2024
21,Chhindwara,Gur(Jaggery),3105,3105,3105,27-12-2024
22,Chhindwara,Gur(Jaggery),3125,3125,3125,29-12-2024
23,Chhindwara,Gur(Jaggery),3249,3250,3250,04-10-2024
24,Chhindwara,Gur(Jaggery),3300,3300,3300,02-10-2024
25,Chhindwara,Gur(Jaggery),3300,3300,3300,10-09-2024
26,Chhindwara,Gur(Jaggery),3300,3700,3700,09-09-2024
27,Chhindwara,Gur(Jaggery),3350,3350,3350,07-10-2024
28,Chhindwara,Gur(Jaggery),3395,3400,3400,05-08-2024
29,Chhindwara,Gur(Jaggery),3398,3400,3400,07-08-2024
30,Chhindwara,Gur(Jaggery),3400,3400,3400,06-08-2024
31,Chhindwara,Gur(Jaggery),3400,3400,3400,15-08-2024
32,Chhindwara,Gur(Jaggery),3400,3500,3400,13-08-2024
33,Chhindwara,Gur(Jaggery),3400,3500,3500,08-08-2024
34,Chhindwara,Gur(Jaggery),3400,3600,3600,16-08-2024
35,Chhindwara,Gur(Jaggery),3400,3650,3650,04-09-2024
36,Chhindwara,Gur(Jaggery),3450,3450,3450,12-08-2024
37,Chhindwara,Gur(Jaggery),3450,3450,3450,27-09-2024
38,Chhindwara,Gur(Jaggery),3475,3475,3475,10-08-2024
39,Chhindwara,Gur(Jaggery),3491,3600,3600,14-08-2024
40,Chhindwara,Gur(Jaggery),3500,3500,3500,22-08-2024
41,Chhindwara,Gur(Jaggery),3500,3600,3600,24-08-2024
42,Chhindwara,Gur(Jaggery),3550,3550,3550,12-09-2024
43,Chhindwara,Gur(Jaggery),3550,3550,3550,28-09-2024
44,Chhindwara,Gur(Jaggery),3575,3575,3575,21-09-2024
45,Chhindwara,Gur(Jaggery),3600,3600,3600,16-09-2024
46,Chhindwara,Gur(Jaggery),3600,3600,3600,29-08-2024
47,Chhindwara,Gur(Jaggery),3600,3721,3721,25-08-2024
48,Chhindwara,Gur(Jaggery),3600,3811,3650,27-08-2024
49,Chhindwara,Gur(Jaggery),3611,3625,3625,18-08-2024
50,Chhindwara,Gur(Jaggery),3645,3645,3645,05-09-2024
51,Chhindwara,Gur(Jaggery),3650,3650,3650,07-09-2024
52,Chhindwara,Gur(Jaggery),3650,3650,3650,23-08-2024
53,Chhindwara,Gur(Jaggery),3650,3650,3650,30-08-2024
54,Chhindwara,Gur(Jaggery),3675,3811,3811,28-08-2024
55,Chhindwara,Gur(Jaggery),3700,3700,3700,01-09-2024
