Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chitradurga,Gur(Jaggery),2080,3000,2566,27-08-2024
2,Chitradurga,Gur(Jaggery),2500,2500,2500,13-11-2024
3,Chitradurga,Gur(Jaggery),2500,2500,2500,14-11-2024
4,Chitradurga,Gur(Jaggery),2500,2500,2500,16-11-2024
5,Chitradurga,Gur(Jaggery),2500,2500,2500,21-08-2024
6,Chitradurga,Gur(Jaggery),2500,2500,2500,24-10-2024
7,Chitradurga,Gur(Jaggery),2500,2500,2500,31-08-2024
8,Chitradurga,Gur(Jaggery),2500,3250,2966,29-08-2024
9,Chitradurga,Gur(Jaggery),2500,3700,3033,05-09-2024
10,Chitradurga,Gur(Jaggery),3000,3000,3000,07-10-2024
11,Chitradurga,Gur(Jaggery),3000,3000,3000,17-09-2024
12,Chitradurga,Gur(Jaggery),3000,3000,3000,18-09-2024
13,Chitradurga,Gur(Jaggery),3500,4400,4164,30-08-2024
14,Chitradurga,Gur(Jaggery),3600,3700,3647,04-10-2024
15,Chitradurga,Gur(Jaggery),3600,4000,3785,23-08-2024
16,Chitradurga,Gur(Jaggery),3700,3700,3700,27-11-2024
17,Chitradurga,Gur(Jaggery),3800,3800,3800,13-09-2024
18,Chitradurga,Gur(Jaggery),4200,4200,4200,26-11-2024
