Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Chittor,Gur(Jaggery),3800,4400,4300,29-02-2024
2,Chittor,Gur(Jaggery),3800,4500,4500,29-03-2024
3,Chittor,Gur(Jaggery),3800,4600,4400,08-03-2024
4,Chittor,Gur(Jaggery),3800,4700,4400,27-02-2024
5,Chittor,Gur(Jaggery),4000,4400,4400,12-07-2024
6,Chittor,Gur(Jaggery),4000,4500,4500,16-03-2024
7,Chittor,Gur(Jaggery),4100,4500,4500,24-05-2024
8,Chittor,Gur(Jaggery),4300,4500,4500,03-04-2024
9,Chittor,Gur(Jaggery),4300,4500,4500,06-04-2024
10,Chittor,Gur(Jaggery),4300,4600,4500,07-04-2024
11,Chittor,Gur(Jaggery),4300,4600,4500,08-04-2024
12,Chittor,Gur(Jaggery),4300,4600,4500,09-07-2024
13,Chittor,Gur(Jaggery),4300,4800,4600,01-03-2024
14,Chittor,Gur(Jaggery),4400,4600,4500,04-04-2024
15,Chittor,Gur(Jaggery),3000,3200,3200,01-03-2024
16,Chittor,Gur(Jaggery),3000,3200,3200,03-02-2024
17,Chittor,Gur(Jaggery),3000,3200,3200,05-03-2024
18,Chittor,Gur(Jaggery),3000,3200,3200,06-02-2024
19,Chittor,Gur(Jaggery),3000,3200,3200,07-02-2024
20,Chittor,Gur(Jaggery),3000,3200,3200,07-03-2024
21,Chittor,Gur(Jaggery),3000,3200,3200,09-05-2024
22,Chittor,Gur(Jaggery),3000,3200,3200,11-02-2024
23,Chittor,Gur(Jaggery),3000,3200,3200,12-03-2024
24,Chittor,Gur(Jaggery),3000,3200,3200,14-02-2024
25,Chittor,Gur(Jaggery),3000,3200,3200,15-03-2024
26,Chittor,Gur(Jaggery),3000,3200,3200,16-04-2024
27,Chittor,Gur(Jaggery),3000,3200,3200,16-02-2024
28,Chittor,Gur(Jaggery),3000,3200,3200,16-03-2024
29,Chittor,Gur(Jaggery),3000,3200,3200,17-04-2024
30,Chittor,Gur(Jaggery),3000,3200,3200,17-02-2024
31,Chittor,Gur(Jaggery),3000,3200,3200,17-03-2024
32,Chittor,Gur(Jaggery),3000,3200,3200,19-02-2024
33,Chittor,Gur(Jaggery),3000,3200,3200,19-03-2024
34,Chittor,Gur(Jaggery),3000,3200,3200,20-01-2024
35,Chittor,Gur(Jaggery),3000,3200,3200,21-03-2024
36,Chittor,Gur(Jaggery),3000,3200,3200,22-02-2024
37,Chittor,Gur(Jaggery),3000,3200,3200,22-03-2024
38,Chittor,Gur(Jaggery),3000,3200,3200,25-01-2024
39,Chittor,Gur(Jaggery),3000,3200,3200,25-03-2024
40,Chittor,Gur(Jaggery),3000,3200,3200,26-03-2024
41,Chittor,Gur(Jaggery),3000,3200,3200,27-03-2024
42,Chittor,Gur(Jaggery),3000,3200,3200,29-02-2024
43,Chittor,Gur(Jaggery),3000,3200,3200,29-03-2024
44,Chittor,Gur(Jaggery),3000,3400,3200,04-02-2024
45,Chittor,Gur(Jaggery),3000,3400,3200,08-02-2024
46,Chittor,Gur(Jaggery),3000,3400,3200,08-03-2024
47,Chittor,Gur(Jaggery),3000,3400,3200,09-02-2024
48,Chittor,Gur(Jaggery),3000,3400,3200,09-03-2024
49,Chittor,Gur(Jaggery),3000,3400,3200,10-03-2024
50,Chittor,Gur(Jaggery),3000,3400,3200,13-02-2024
51,Chittor,Gur(Jaggery),3000,3400,3200,15-02-2024
52,Chittor,Gur(Jaggery),3000,3400,3200,18-03-2024
53,Chittor,Gur(Jaggery),3000,3500,3000,22-06-2024
54,Chittor,Gur(Jaggery),3000,3500,3200,01-07-2024
55,Chittor,Gur(Jaggery),3000,3500,3200,03-04-2024
56,Chittor,Gur(Jaggery),3000,3500,3200,06-04-2024
57,Chittor,Gur(Jaggery),3000,3500,3200,06-03-2024
58,Chittor,Gur(Jaggery),3000,3500,3200,10-02-2024
59,Chittor,Gur(Jaggery),3000,3500,3200,11-04-2024
60,Chittor,Gur(Jaggery),3000,3500,3200,11-03-2024
61,Chittor,Gur(Jaggery),3000,3500,3200,12-04-2024
62,Chittor,Gur(Jaggery),3000,3500,3200,14-04-2024
63,Chittor,Gur(Jaggery),3000,3500,3200,14-03-2024
64,Chittor,Gur(Jaggery),3000,3500,3200,15-04-2024
65,Chittor,Gur(Jaggery),3000,3500,3200,18-02-2024
66,Chittor,Gur(Jaggery),3000,3500,3200,20-03-2024
67,Chittor,Gur(Jaggery),3000,3500,3200,21-02-2024
68,Chittor,Gur(Jaggery),3000,3500,3200,23-02-2024
69,Chittor,Gur(Jaggery),3000,3500,3200,23-03-2024
70,Chittor,Gur(Jaggery),3000,3500,3200,24-02-2024
71,Chittor,Gur(Jaggery),3000,3500,3200,25-02-2024
72,Chittor,Gur(Jaggery),3000,3500,3200,26-02-2024
73,Chittor,Gur(Jaggery),3000,3500,3200,27-04-2024
