Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Erode,Gur(Jaggery),4139,4333,4139,24-04-2024
2,Erode,Gur(Jaggery),4200,4295,4250,15-04-2024
3,Erode,Gur(Jaggery),4217,4250,4233,02-03-2024
4,Erode,Gur(Jaggery),4240,4240,4240,05-05-2024
5,Erode,Gur(Jaggery),4250,4300,4267,06-04-2024
6,Erode,Gur(Jaggery),4283,4333,4300,20-04-2024
7,Erode,Gur(Jaggery),4333,4333,4333,07-05-2024
8,Erode,Gur(Jaggery),4333,4333,4333,26-01-2024
9,Erode,Gur(Jaggery),4387,4387,4387,04-03-2024
10,Erode,Gur(Jaggery),4400,4433,4417,16-03-2024
11,Erode,Gur(Jaggery),4500,4500,4500,14-03-2024
12,Erode,Gur(Jaggery),4500,4900,4700,18-03-2024
13,Erode,Gur(Jaggery),4583,4600,4600,01-06-2024
14,Erode,Gur(Jaggery),4583,4617,4583,04-05-2024
15,Erode,Gur(Jaggery),4583,4667,4633,18-05-2024
16,Erode,Gur(Jaggery),4600,4800,4700,27-03-2024
17,Erode,Gur(Jaggery),4633,4733,4633,21-05-2024
18,Erode,Gur(Jaggery),4683,4717,4700,15-06-2024
19,Erode,Gur(Jaggery),4700,4700,4700,10-06-2024
20,Erode,Gur(Jaggery),4733,4767,4750,05-01-2024
21,Erode,Gur(Jaggery),4750,4800,4767,20-01-2024
22,Erode,Gur(Jaggery),4783,4833,4817,09-01-2024
23,Erode,Gur(Jaggery),4800,4800,4800,09-04-2024
24,Erode,Gur(Jaggery),4800,4800,4800,22-04-2024
25,Erode,Gur(Jaggery),5000,5000,5000,06-02-2024
26,Erode,Gur(Jaggery),3333,3333,3333,11-06-2024
27,Erode,Gur(Jaggery),3333,3333,3333,27-01-2024
28,Erode,Gur(Jaggery),3333,3700,3500,19-03-2024
29,Erode,Gur(Jaggery),3333,3700,3500,30-03-2024
30,Erode,Gur(Jaggery),3417,3500,3433,13-03-2024
31,Erode,Gur(Jaggery),4117,4167,4150,02-03-2024
32,Erode,Gur(Jaggery),4133,4167,4167,06-04-2024
33,Erode,Gur(Jaggery),4183,4200,4200,20-04-2024
34,Erode,Gur(Jaggery),4233,4300,4300,01-06-2024
35,Erode,Gur(Jaggery),4283,4317,4300,16-03-2024
36,Erode,Gur(Jaggery),4400,4533,4417,15-06-2024
37,Erode,Gur(Jaggery),4417,4500,4500,04-05-2024
38,Erode,Gur(Jaggery),4417,4533,4467,18-05-2024
39,Erode,Gur(Jaggery),4633,4700,4667,20-01-2024
40,Erode,Gur(Jaggery),4633,4750,4717,09-01-2024
41,Erode,Gur(Jaggery),2900,3900,3333,27-02-2024
42,Erode,Gur(Jaggery),3333,3333,3333,06-01-2024
43,Erode,Gur(Jaggery),3333,3333,3333,08-04-2024
44,Erode,Gur(Jaggery),3333,3333,3333,12-05-2024
45,Erode,Gur(Jaggery),3333,3333,3333,15-05-2024
46,Erode,Gur(Jaggery),3333,3333,3333,20-05-2024
47,Erode,Gur(Jaggery),3333,3333,3333,29-04-2024
48,Erode,Gur(Jaggery),3333,3333,3333,29-03-2024
49,Erode,Gur(Jaggery),3333,3350,3350,03-02-2024
50,Erode,Gur(Jaggery),3333,3500,3400,17-04-2024
51,Erode,Gur(Jaggery),3333,3500,3450,21-02-2024
52,Erode,Gur(Jaggery),3333,4000,3633,25-05-2024
53,Erode,Gur(Jaggery),3333,4100,3933,28-02-2024
54,Erode,Gur(Jaggery),3333,4167,4000,09-03-2024
55,Erode,Gur(Jaggery),3667,3667,3667,11-02-2024
56,Erode,Gur(Jaggery),3667,3833,3833,27-04-2024
57,Erode,Gur(Jaggery),3733,4100,4000,11-05-2024
58,Erode,Gur(Jaggery),3800,4100,4000,15-02-2024
59,Erode,Gur(Jaggery),4000,4000,4000,17-02-2024
60,Erode,Gur(Jaggery),4000,4000,4000,24-02-2024
61,Erode,Gur(Jaggery),4200,4300,4250,10-02-2024
62,Erode,Gur(Jaggery),4400,4400,4400,26-02-2024
63,Erode,Gur(Jaggery),4583,4683,4667,05-01-2024
64,Erode,Gur(Jaggery),4800,4800,4800,10-03-2024
65,Erode,Gur(Jaggery),4900,4900,4900,07-05-2024
66,Erode,Gur(Jaggery),4900,4900,4900,15-06-2024
67,Erode,Gur(Jaggery),4900,4900,4900,28-05-2024
