Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jaipur,Gur(Jaggery),3000,4200,3600,12-11-2024
2,Jaipur,Gur(Jaggery),3000,4200,3600,21-11-2024
3,Jaipur,Gur(Jaggery),3700,4000,3850,02-12-2024
4,Jaipur,Gur(Jaggery),3700,4000,3850,29-11-2024
5,Jaipur,Gur(Jaggery),4000,4400,4200,17-09-2024
6,Jaipur,Gur(Jaggery),4000,4500,4250,20-09-2024
7,Jaipur,Gur(Jaggery),4000,4500,4250,24-09-2024
8,Jaipur,Gur(Jaggery),4100,4500,4300,08-10-2024
9,Jaipur,Gur(Jaggery),4100,4500,4300,26-09-2024
10,Jaipur,Gur(Jaggery),4100,4600,4350,17-12-2024
11,Jaipur,Gur(Jaggery),4200,4500,4350,19-09-2024
12,Jaipur,Gur(Jaggery),4200,4500,4350,23-09-2024
13,Jaipur,Gur(Jaggery),4200,4500,4350,25-09-2024
14,Jaipur,Gur(Jaggery),4200,4550,4375,05-11-2024
15,Jaipur,Gur(Jaggery),4200,4550,4375,08-11-2024
16,Jaipur,Gur(Jaggery),4200,4550,4375,16-10-2024
17,Jaipur,Gur(Jaggery),4200,4550,4375,17-10-2024
18,Jaipur,Gur(Jaggery),4200,4550,4375,18-10-2024
19,Jaipur,Gur(Jaggery),4200,4600,4400,27-12-2024
20,Jaipur,Gur(Jaggery),4300,4600,4450,06-11-2024
21,Jaipur,Gur(Jaggery),4300,4600,4450,09-12-2024
22,Jaipur,Gur(Jaggery),4300,4600,4450,11-12-2024
23,Jaipur,Gur(Jaggery),4300,4600,4450,16-12-2024
24,Jaipur,Gur(Jaggery),4300,4600,4450,30-12-2024
