Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Kolar,Gur(Jaggery),3000,3500,3300,26-02-2024
2,Kolar,Gur(Jaggery),3000,3500,3300,30-03-2024
3,Kolar,Gur(Jaggery),3500,4500,4000,03-10-2024
4,Kolar,Gur(Jaggery),3500,4200,3800,19-07-2024
5,Kolar,Gur(Jaggery),4500,5000,4800,12-09-2024
6,Kolar,Gur(Jaggery),3000,3240,3120,19-09-2024
7,Kolar,Gur(Jaggery),3000,3500,3300,13-03-2024
8,Kolar,Gur(Jaggery),3000,3600,3300,26-09-2024
9,Kolar,Gur(Jaggery),3500,4000,3800,26-07-2024
10,Kolar,Gur(Jaggery),3500,4500,4000,27-03-2024
11,Kolar,Gur(Jaggery),3500,4500,4000,03-05-2024
12,Kolar,Gur(Jaggery),3000,3200,3100,19-06-2024
13,Kolar,Gur(Jaggery),3000,3500,3300,12-03-2024
14,Kolar,Gur(Jaggery),3500,4000,3800,25-10-2024
15,Kolar,Gur(Jaggery),3500,4000,3800,03-12-2024
16,Kolar,Gur(Jaggery),3500,4500,4000,02-08-2024
17,Kolar,Gur(Jaggery),2800,3100,2900,03-02-2024
18,Kolar,Gur(Jaggery),3500,4000,3700,31-08-2024
19,Kolar,Gur(Jaggery),3500,4000,3800,19-11-2024
20,Kolar,Gur(Jaggery),3000,3600,3300,01-06-2024
21,Kolar,Gur(Jaggery),3500,4000,3800,01-04-2024
22,Kolar,Gur(Jaggery),3500,4200,4000,23-07-2024
23,Kolar,Gur(Jaggery),3000,3500,3200,26-11-2024
24,Kolar,Gur(Jaggery),4000,4500,4300,01-08-2024
25,Kolar,Gur(Jaggery),3250,5000,4708,29-08-2024
26,Kolar,Gur(Jaggery),3000,3300,3200,23-09-2024
27,Kolar,Gur(Jaggery),4000,4500,4300,22-07-2024
28,Kolar,Gur(Jaggery),3500,4000,3800,14-10-2024
29,Kolar,Gur(Jaggery),3000,3500,3400,08-02-2024
30,Kolar,Gur(Jaggery),2500,3100,2800,12-02-2024
31,Kolar,Gur(Jaggery),4000,4500,4300,14-11-2024
32,Kolar,Gur(Jaggery),3500,4000,3800,05-12-2024
33,Kolar,Gur(Jaggery),3500,4500,4000,31-07-2024
34,Kolar,Gur(Jaggery),4000,4500,4300,29-05-2024
35,Kolar,Gur(Jaggery),3500,4000,3800,13-09-2024
36,Kolar,Gur(Jaggery),3000,3500,3300,02-12-2024
37,Kolar,Gur(Jaggery),4000,4500,4300,30-08-2024
38,Kolar,Gur(Jaggery),3500,4000,3800,13-09-2024
39,Kolar,Gur(Jaggery),3500,4200,3800,15-05-2024
40,Kolar,Gur(Jaggery),3000,4000,3500,24-10-2024
41,Kolar,Gur(Jaggery),3500,4500,4000,08-07-2024
42,Kolar,Gur(Jaggery),3500,4500,4000,18-09-2024
43,Kolar,Gur(Jaggery),3500,4000,3800,18-12-2024
44,Kolar,Gur(Jaggery),3500,4000,3800,18-05-2024
45,Kolar,Gur(Jaggery),4000,4500,4300,06-06-2024
46,Kolar,Gur(Jaggery),3000,3600,3300,06-07-2024
47,Kolar,Gur(Jaggery),3000,3500,3300,16-12-2024
48,Kolar,Gur(Jaggery),3500,4000,3700,04-01-2024
49,Kolar,Gur(Jaggery),4000,4500,4300,25-03-2024
50,Kolar,Gur(Jaggery),3000,3500,3300,12-06-2024
51,Kolar,Gur(Jaggery),4000,4500,4300,19-04-2024
52,Kolar,Gur(Jaggery),3500,4500,4000,20-12-2024
53,Kolar,Gur(Jaggery),4000,4500,4300,04-04-2024
54,Kolar,Gur(Jaggery),3500,4200,3800,24-12-2024
55,Kolar,Gur(Jaggery),4500,5000,4800,06-09-2024
56,Kolar,Gur(Jaggery),4000,4500,4300,25-06-2024
57,Kolar,Gur(Jaggery),4500,5000,4800,07-11-2024
58,Kolar,Gur(Jaggery),3000,3500,3300,20-02-2024
59,Kolar,Gur(Jaggery),3500,4000,3800,12-08-2024
60,Kolar,Gur(Jaggery),4000,4500,4300,19-08-2024
61,Kolar,Gur(Jaggery),4000,4500,4300,06-04-2024
62,Kolar,Gur(Jaggery),3500,4200,3800,04-06-2024
63,Kolar,Gur(Jaggery),3500,4000,3800,04-05-2024
64,Kolar,Gur(Jaggery),3000,3500,3400,01-10-2024
65,Kolar,Gur(Jaggery),3000,3500,3300,20-09-2024
66,Kolar,Gur(Jaggery),3500,4000,3800,16-03-2024
67,Kolar,Gur(Jaggery),3500,4500,4000,03-09-2024
68,Kolar,Gur(Jaggery),3500,4000,3800,02-05-2024
69,Kolar,Gur(Jaggery),3500,4000,3800,20-11-2024
70,Kolar,Gur(Jaggery),3000,3800,3500,22-03-2024
71,Kolar,Gur(Jaggery),4000,4500,4300,05-04-2024
72,Kolar,Gur(Jaggery),3500,4600,4000,07-10-2024
73,Kolar,Gur(Jaggery),3500,4000,3800,24-09-2024
74,Kolar,Gur(Jaggery),3000,3500,3300,05-02-2024
75,Kolar,Gur(Jaggery),3500,4000,3800,10-12-2024
76,Kolar,Gur(Jaggery),3500,4000,3800,18-07-2024
77,Kolar,Gur(Jaggery),3500,4200,3800,08-08-2024
78,Kolar,Gur(Jaggery),3000,3500,3400,05-10-2024
