Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mahbubnagar,Gur(Jaggery),3000,4300,4000,01-07-2024
2,Mahbubnagar,Gur(Jaggery),3000,4300,4000,11-06-2024
3,Mahbubnagar,Gur(Jaggery),3000,4300,4000,11-07-2024
4,Mahbubnagar,Gur(Jaggery),3000,4300,4000,30-05-2024
5,Mahbubnagar,Gur(Jaggery),3000,4300,4000,01-08-2024
6,Mahbubnagar,Gur(Jaggery),3000,4300,4000,12-07-2024
7,Mahbubnagar,Gur(Jaggery),3000,4200,4000,27-05-2024
8,Mahbubnagar,Gur(Jaggery),3000,4300,4000,06-08-2024
9,Mahbubnagar,Gur(Jaggery),3000,4200,4000,28-05-2024
10,Mahbubnagar,Gur(Jaggery),3000,4300,4000,21-06-2024
11,Mahbubnagar,Gur(Jaggery),3000,4300,4000,02-07-2024
12,Mahbubnagar,Gur(Jaggery),3000,4200,4000,22-05-2024
13,Mahbubnagar,Gur(Jaggery),3000,4200,4000,12-08-2024
14,Mahbubnagar,Gur(Jaggery),3000,4200,4000,05-06-2024
15,Mahbubnagar,Gur(Jaggery),3000,4500,4000,21-08-2024
16,Mahbubnagar,Gur(Jaggery),3000,4300,4000,12-06-2024
17,Mahbubnagar,Gur(Jaggery),3000,4300,4000,08-07-2024
18,Mahbubnagar,Gur(Jaggery),3000,4300,4000,10-06-2024
19,Mahbubnagar,Gur(Jaggery),3000,4300,4000,31-07-2024
20,Mahbubnagar,Gur(Jaggery),3000,4300,4000,05-08-2024
21,Mahbubnagar,Gur(Jaggery),3000,4300,4000,09-07-2024
22,Mahbubnagar,Gur(Jaggery),3000,4300,4000,20-07-2024
