Sl no.,District Name,Commodity,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mumbai,Gur(Jaggery),FAQ,2800,7000,4900,06-09-2024
2,Mumbai,Gur(Jaggery),FAQ,2800,7000,4900,29-08-2024
3,Mumbai,Gur(Jaggery),FAQ,3800,4400,4100,02-07-2024
4,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,01-02-2024
5,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,01-01-2024
6,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,02-02-2024
7,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,02-01-2024
8,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,03-02-2024
9,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,03-01-2024
10,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,04-01-2024
11,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,05-02-2024
12,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,05-01-2024
13,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,06-02-2024
14,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,06-01-2024
15,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,07-02-2024
16,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,08-02-2024
17,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,08-01-2024
18,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,09-02-2024
19,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,09-01-2024
20,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,10-02-2024
21,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,10-01-2024
22,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,11-01-2024
23,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,12-02-2024
24,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,12-01-2024
25,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,13-01-2024
26,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,15-01-2024
27,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,16-01-2024
28,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,17-01-2024
29,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,18-01-2024
30,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,19-01-2024
31,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,23-01-2024
32,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,24-01-2024
33,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,29-01-2024
34,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,30-01-2024
35,Mumbai,Gur(Jaggery),FAQ,4700,5500,5100,31-01-2024
36,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,01-08-2024
37,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,02-08-2024
38,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,05-08-2024
39,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,06-08-2024
40,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,07-08-2024
41,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,08-08-2024
42,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,09-08-2024
43,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,11-07-2024
44,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,12-08-2024
45,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,13-08-2024
46,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,16-07-2024
47,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,18-07-2024
48,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,19-07-2024
49,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,22-07-2024
50,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,23-07-2024
51,Mumbai,Gur(Jaggery),FAQ,4700,5600,5150,24-07-2024
