Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mysore,Gur(Jaggery),3300,4000,3800,05-01-2024
2,Mysore,Gur(Jaggery),3800,4030,3800,22-06-2024
3,Mysore,Gur(Jaggery),3850,4050,4050,25-05-2024
4,Mysore,Gur(Jaggery),3933,4050,4050,09-11-2024
5,Mysore,Gur(Jaggery),3970,4600,4300,20-03-2024
6,Mysore,Gur(Jaggery),4000,4000,4000,17-08-2024
7,Mysore,Gur(Jaggery),4000,4280,4250,20-02-2024
8,Mysore,Gur(Jaggery),4000,4484,4000,24-05-2024
9,Mysore,Gur(Jaggery),4000,4500,4200,17-04-2024
10,Mysore,Gur(Jaggery),4000,4500,4200,18-04-2024
11,Mysore,Gur(Jaggery),4000,4500,4250,09-01-2024
12,Mysore,Gur(Jaggery),4000,4500,4250,13-04-2024
13,Mysore,Gur(Jaggery),4000,4500,4250,20-01-2024
14,Mysore,Gur(Jaggery),4000,4500,4300,04-06-2024
15,Mysore,Gur(Jaggery),4000,4500,4300,19-04-2024
16,Mysore,Gur(Jaggery),4000,4717,4000,18-03-2024
17,Mysore,Gur(Jaggery),4000,4800,4300,07-11-2024
18,Mysore,Gur(Jaggery),4000,4800,4500,15-02-2024
19,Mysore,Gur(Jaggery),4000,4800,4500,16-08-2024
20,Mysore,Gur(Jaggery),4000,4830,4500,24-02-2024
21,Mysore,Gur(Jaggery),4000,4960,4500,14-05-2024
22,Mysore,Gur(Jaggery),4000,4980,4500,05-11-2024
23,Mysore,Gur(Jaggery),4000,5000,4800,17-02-2024
24,Mysore,Gur(Jaggery),4000,5200,4500,24-01-2024
25,Mysore,Gur(Jaggery),4016,4016,4016,28-02-2024
26,Mysore,Gur(Jaggery),4066,4066,4066,09-03-2024
27,Mysore,Gur(Jaggery),4100,4100,4100,10-08-2024
28,Mysore,Gur(Jaggery),4100,4650,4100,30-03-2024
29,Mysore,Gur(Jaggery),4100,5240,4850,04-09-2024
30,Mysore,Gur(Jaggery),4133,4954,4500,22-05-2024
31,Mysore,Gur(Jaggery),4155,4500,4300,22-02-2024
32,Mysore,Gur(Jaggery),4200,4200,4200,15-05-2024
33,Mysore,Gur(Jaggery),4200,4200,4200,19-11-2024
34,Mysore,Gur(Jaggery),4200,4200,4200,27-02-2024
35,Mysore,Gur(Jaggery),4200,4300,4200,24-04-2024
36,Mysore,Gur(Jaggery),4200,4350,4350,30-11-2024
37,Mysore,Gur(Jaggery),4200,4600,4200,31-12-2024
38,Mysore,Gur(Jaggery),4200,4600,4300,18-10-2024
