Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Narsinghpur,Gur(Jaggery),2700,3511,2951,08-12-2024
2,Narsinghpur,Gur(Jaggery),2701,3745,3176,22-12-2024
3,Narsinghpur,Gur(Jaggery),2777,3440,3200,15-12-2024
4,Narsinghpur,Gur(Jaggery),2800,2800,2800,16-10-2024
5,Narsinghpur,Gur(Jaggery),2800,2800,2800,22-10-2024
6,Narsinghpur,Gur(Jaggery),2800,2920,2920,28-11-2024
7,Narsinghpur,Gur(Jaggery),2800,2925,2925,14-12-2024
8,Narsinghpur,Gur(Jaggery),2800,3201,3201,17-12-2024
9,Narsinghpur,Gur(Jaggery),2897,3771,3100,29-12-2024
10,Narsinghpur,Gur(Jaggery),2900,2901,2901,03-12-2024
11,Narsinghpur,Gur(Jaggery),2900,2910,2910,09-12-2024
12,Narsinghpur,Gur(Jaggery),2900,3000,3000,26-12-2024
13,Narsinghpur,Gur(Jaggery),2905,3000,3000,13-12-2024
14,Narsinghpur,Gur(Jaggery),3000,3000,3000,09-11-2024
15,Narsinghpur,Gur(Jaggery),3000,3000,3000,23-12-2024
16,Narsinghpur,Gur(Jaggery),3000,3000,3000,24-12-2024
17,Narsinghpur,Gur(Jaggery),3000,3000,3000,27-12-2024
18,Narsinghpur,Gur(Jaggery),3000,3000,3000,30-10-2024
19,Narsinghpur,Gur(Jaggery),3000,3025,3025,19-12-2024
20,Narsinghpur,Gur(Jaggery),3000,4395,3000,21-12-2024
21,Narsinghpur,Gur(Jaggery),3005,3010,3010,26-11-2024
22,Narsinghpur,Gur(Jaggery),3005,3110,3110,22-11-2024
23,Narsinghpur,Gur(Jaggery),3100,3100,3100,08-11-2024
24,Narsinghpur,Gur(Jaggery),3100,3200,3200,16-11-2024
25,Narsinghpur,Gur(Jaggery),3100,3600,3300,07-11-2024
26,Narsinghpur,Gur(Jaggery),3105,3110,3110,19-11-2024
27,Narsinghpur,Gur(Jaggery),3110,3120,3120,21-11-2024
28,Narsinghpur,Gur(Jaggery),3200,3200,3200,10-11-2024
29,Narsinghpur,Gur(Jaggery),3200,3205,3205,03-11-2024
30,Narsinghpur,Gur(Jaggery),3300,3550,3550,28-08-2024
31,Narsinghpur,Gur(Jaggery),3364,3364,3364,09-09-2024
32,Narsinghpur,Gur(Jaggery),3400,3400,3400,23-10-2024
33,Narsinghpur,Gur(Jaggery),3415,3650,3650,04-10-2024
34,Narsinghpur,Gur(Jaggery),3110,3110,3110,22-11-2024
