Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Pune,Gur(Jaggery),3800,3800,3800,24-05-2024
2,Pune,Gur(Jaggery),3900,4150,4130,20-05-2024
3,Pune,Gur(Jaggery),3700,3900,3800,04-07-2024
4,Pune,Gur(Jaggery),3850,3950,3950,01-08-2024
5,Pune,Gur(Jaggery),3930,4050,3950,27-06-2024
6,Pune,Gur(Jaggery),3600,3750,3750,06-05-2024
7,Pune,Gur(Jaggery),3700,3750,3750,05-03-2024
8,Pune,Gur(Jaggery),3750,3800,3750,08-11-2024
9,Pune,Gur(Jaggery),3575,4100,3675,21-12-2024
10,Pune,Gur(Jaggery),3800,3950,3811,02-09-2024
11,Pune,Gur(Jaggery),3550,3850,3600,15-02-2024
12,Pune,Gur(Jaggery),3700,3950,3900,30-08-2024
13,Pune,Gur(Jaggery),3550,3700,3675,09-02-2024
14,Pune,Gur(Jaggery),3700,3900,3850,25-01-2024
15,Pune,Gur(Jaggery),3925,4100,4000,19-07-2024
16,Pune,Gur(Jaggery),3700,3800,3750,07-02-2024
17,Pune,Gur(Jaggery),3700,3900,3875,13-06-2024
18,Pune,Gur(Jaggery),3700,4150,4130,26-04-2024
19,Pune,Gur(Jaggery),3400,3700,3600,06-04-2024
20,Pune,Gur(Jaggery),3800,3900,3900,02-08-2024
21,Pune,Gur(Jaggery),3700,3850,3750,19-03-2024
22,Pune,Gur(Jaggery),3400,3400,3400,22-11-2024
23,Pune,Gur(Jaggery),3875,4000,3900,09-11-2024
24,Pune,Gur(Jaggery),3400,3950,3750,07-12-2024
25,Pune,Gur(Jaggery),3800,4150,3900,06-11-2024
26,Pune,Gur(Jaggery),3750,4000,3750,22-02-2024
27,Pune,Gur(Jaggery),3650,3900,3800,25-11-2024
28,Pune,Gur(Jaggery),3950,4100,4000,19-01-2024
29,Pune,Gur(Jaggery),3550,3950,3900,20-07-2024
30,Pune,Gur(Jaggery),3750,3750,3750,03-01-2024
31,Pune,Gur(Jaggery),3500,3850,3850,27-05-2024
32,Pune,Gur(Jaggery),3725,3725,3725,18-09-2024
33,Pune,Gur(Jaggery),4000,4100,4100,18-07-2024
34,Pune,Gur(Jaggery),3150,3150,3150,13-11-2024
35,Pune,Gur(Jaggery),4050,4500,4400,31-08-2024
36,Pune,Gur(Jaggery),3500,3700,3700,30-04-2024
37,Pune,Gur(Jaggery),4250,4400,4275,06-09-2024
38,Pune,Gur(Jaggery),3775,3800,3800,23-05-2024
39,Pune,Gur(Jaggery),4000,4300,4150,22-01-2024
40,Pune,Gur(Jaggery),3600,4050,3850,30-12-2024
41,Pune,Gur(Jaggery),3400,3750,3401,28-03-2024
