Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,PurbaBardhaman,Gur(Jaggery),3700,4000,3900,06-06-2024
2,PurbaBardhaman,Gur(Jaggery),4000,4300,4100,20-07-2024
3,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,20-08-2024
4,PurbaBardhaman,Gur(Jaggery),4000,4400,4200,13-12-2024
5,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,18-02-2024
6,PurbaBardhaman,Gur(Jaggery),3800,4100,4000,25-06-2024
7,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,03-09-2024
8,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,15-10-2024
9,PurbaBardhaman,Gur(Jaggery),3700,4000,3800,02-01-2024
10,PurbaBardhaman,Gur(Jaggery),3700,4200,4000,11-05-2024
11,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,10-09-2024
12,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,27-07-2024
13,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,28-02-2024
14,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,07-09-2024
15,PurbaBardhaman,Gur(Jaggery),3700,4000,3900,09-01-2024
16,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,01-12-2024
17,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,05-12-2024
18,PurbaBardhaman,Gur(Jaggery),3700,4000,3800,21-03-2024
19,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,02-11-2024
20,PurbaBardhaman,Gur(Jaggery),3700,4000,3900,25-03-2024
21,PurbaBardhaman,Gur(Jaggery),3700,4200,4000,08-04-2024
22,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,26-07-2024
23,PurbaBardhaman,Gur(Jaggery),3800,4200,4000,13-01-2024
24,PurbaBardhaman,Gur(Jaggery),4000,4500,4200,03-12-2024
25,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,09-03-2024
26,PurbaBardhaman,Gur(Jaggery),3800,4200,4000,12-07-2024
27,PurbaBardhaman,Gur(Jaggery),3800,4200,4000,17-07-2024
28,PurbaBardhaman,Gur(Jaggery),3700,4000,3800,19-01-2024
29,PurbaBardhaman,Gur(Jaggery),3800,4000,3800,04-02-2024
30,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,26-12-2024
31,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,08-08-2024
32,PurbaBardhaman,Gur(Jaggery),3700,4200,4000,28-05-2024
33,PurbaBardhaman,Gur(Jaggery),3700,4000,3800,01-04-2024
34,PurbaBardhaman,Gur(Jaggery),3800,4200,3900,12-06-2024
35,PurbaBardhaman,Gur(Jaggery),3700,4200,4000,28-04-2024
36,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,30-12-2024
37,PurbaBardhaman,Gur(Jaggery),3800,4200,4000,25-02-2024
38,PurbaBardhaman,Gur(Jaggery),3800,4200,4000,15-07-2024
39,PurbaBardhaman,Gur(Jaggery),3700,4000,3900,15-06-2024
40,PurbaBardhaman,Gur(Jaggery),4000,4400,4200,21-08-2024
41,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,19-11-2024
42,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,17-02-2024
43,PurbaBardhaman,Gur(Jaggery),3700,4200,4000,13-04-2024
44,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,02-08-2024
45,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,01-09-2024
46,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,10-02-2024
47,PurbaBardhaman,Gur(Jaggery),3800,4200,4000,08-07-2024
48,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,01-02-2024
49,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,02-02-2024
50,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,12-03-2024
51,PurbaBardhaman,Gur(Jaggery),3700,4100,3900,22-06-2024
52,PurbaBardhaman,Gur(Jaggery),4000,4300,4100,30-07-2024
53,PurbaBardhaman,Gur(Jaggery),3700,4000,3800,22-03-2024
54,PurbaBardhaman,Gur(Jaggery),3700,4000,3800,30-03-2024
55,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,16-10-2024
56,PurbaBardhaman,Gur(Jaggery),3700,4200,4000,16-05-2024
57,PurbaBardhaman,Gur(Jaggery),3700,4000,3800,20-03-2024
58,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,27-09-2024
59,PurbaBardhaman,Gur(Jaggery),3700,4000,3800,19-03-2024
60,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,05-03-2024
61,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,08-10-2024
62,PurbaBardhaman,Gur(Jaggery),3800,4100,4000,07-02-2024
63,PurbaBardhaman,Gur(Jaggery),3800,4200,4000,10-07-2024
64,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,04-03-2024
65,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,19-09-2024
66,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,01-10-2024
67,PurbaBardhaman,Gur(Jaggery),4000,4500,4200,11-11-2024
68,PurbaBardhaman,Gur(Jaggery),3800,4200,4000,05-07-2024
69,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,26-02-2024
70,PurbaBardhaman,Gur(Jaggery),3700,4000,3800,29-01-2024
71,PurbaBardhaman,Gur(Jaggery),3800,4200,4000,27-04-2024
72,PurbaBardhaman,Gur(Jaggery),3800,4000,4000,03-02-2024
73,PurbaBardhaman,Gur(Jaggery),3700,4000,3800,18-01-2024
74,PurbaBardhaman,Gur(Jaggery),4000,4300,4100,07-08-2024
75,PurbaBardhaman,Gur(Jaggery),4000,4300,4200,14-12-2024
