Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Puruliya,Gur(Jaggery),3500,3600,3570,17-01-2024
2,Puruliya,Gur(Jaggery),3450,3550,3500,11-02-2024
3,Puruliya,Gur(Jaggery),3250,3440,3325,05-07-2024
4,Puruliya,Gur(Jaggery),3375,3600,3450,15-06-2024
5,Puruliya,Gur(Jaggery),3600,3700,3650,30-07-2024
6,Puruliya,Gur(Jaggery),3700,3825,3750,05-12-2024
7,Puruliya,Gur(Jaggery),3475,3620,3550,21-02-2024
8,Puruliya,Gur(Jaggery),3480,3600,3530,29-03-2024
9,Puruliya,Gur(Jaggery),3375,3500,3425,18-05-2024
10,Puruliya,Gur(Jaggery),3450,3600,3500,30-06-2024
11,Puruliya,Gur(Jaggery),3400,3500,3440,10-07-2024
12,Puruliya,Gur(Jaggery),3600,3700,3675,28-07-2024
13,Puruliya,Gur(Jaggery),3350,3475,3400,13-07-2024
14,Puruliya,Gur(Jaggery),3760,3880,3800,25-12-2024
15,Puruliya,Gur(Jaggery),3500,3625,3560,29-06-2024
16,Puruliya,Gur(Jaggery),3430,3550,3480,20-05-2024
17,Puruliya,Gur(Jaggery),3400,3525,3450,01-05-2024
18,Puruliya,Gur(Jaggery),3400,3500,3440,22-03-2024
19,Puruliya,Gur(Jaggery),3475,3600,3525,01-08-2024
20,Puruliya,Gur(Jaggery),3700,3850,3750,06-12-2024
21,Puruliya,Gur(Jaggery),3400,3550,3500,10-02-2024
22,Puruliya,Gur(Jaggery),3475,3560,3500,14-02-2024
23,Puruliya,Gur(Jaggery),3500,3620,3560,06-06-2024
24,Puruliya,Gur(Jaggery),3650,3740,3700,13-11-2024
25,Puruliya,Gur(Jaggery),3460,3550,3500,08-03-2024
26,Puruliya,Gur(Jaggery),3650,3800,3700,18-08-2024
27,Puruliya,Gur(Jaggery),3500,3620,3550,20-04-2024
28,Puruliya,Gur(Jaggery),3750,3840,3800,23-12-2024
29,Puruliya,Gur(Jaggery),3380,3500,3430,07-07-2024
30,Puruliya,Gur(Jaggery),3400,3500,3450,12-05-2024
31,Puruliya,Gur(Jaggery),3700,3850,3780,08-11-2024
32,Puruliya,Gur(Jaggery),3475,3600,3525,21-06-2024
33,Puruliya,Gur(Jaggery),3700,3825,3760,09-10-2024
34,Puruliya,Gur(Jaggery),3420,3540,3480,13-03-2024
35,Puruliya,Gur(Jaggery),3580,3750,3650,01-09-2024
36,Puruliya,Gur(Jaggery),3400,3540,3475,07-04-2024
37,Puruliya,Gur(Jaggery),3700,3840,3750,12-12-2024
38,Puruliya,Gur(Jaggery),3500,3600,3570,28-02-2024
39,Puruliya,Gur(Jaggery),3350,3475,3400,10-03-2024
40,Puruliya,Gur(Jaggery),3460,3600,3520,27-06-2024
41,Puruliya,Gur(Jaggery),3500,3650,3575,26-07-2024
42,Puruliya,Gur(Jaggery),3700,3830,3750,05-11-2024
43,Puruliya,Gur(Jaggery),3550,3750,3625,08-09-2024
44,Puruliya,Gur(Jaggery),3500,3600,3540,09-02-2024
45,Puruliya,Gur(Jaggery),3700,3850,3770,07-10-2024
46,Puruliya,Gur(Jaggery),3480,3600,3540,10-04-2024
47,Puruliya,Gur(Jaggery),3625,3750,3700,27-09-2024
