Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sangli,Gur(Jaggery),3350,4040,3695,24-07-2024
2,Sangli,Gur(Jaggery),3300,3951,3626,14-09-2024
3,Sangli,Gur(Jaggery),3300,3860,3580,15-04-2024
4,Sangli,Gur(Jaggery),3350,4040,3695,21-12-2024
5,Sangli,Gur(Jaggery),3300,3900,3600,20-08-2024
6,Sangli,Gur(Jaggery),3350,4011,3681,03-10-2024
7,Sangli,Gur(Jaggery),3300,4225,3763,19-03-2024
8,Sangli,Gur(Jaggery),3350,4000,3675,26-08-2024
9,Sangli,Gur(Jaggery),3300,3891,3596,10-09-2024
10,Sangli,Gur(Jaggery),3350,3880,3615,01-07-2024
11,Sangli,Gur(Jaggery),3300,3940,3620,29-01-2024
12,Sangli,Gur(Jaggery),3350,4060,3705,16-12-2024
13,Sangli,Gur(Jaggery),3300,4040,3670,01-02-2024
14,Sangli,Gur(Jaggery),3300,7075,3688,08-05-2024
15,Sangli,Gur(Jaggery),3300,3685,3493,29-02-2024
16,Sangli,Gur(Jaggery),3300,3961,3631,16-03-2024
17,Sangli,Gur(Jaggery),3300,3980,3640,26-04-2024
18,Sangli,Gur(Jaggery),3350,4125,3738,25-10-2024
19,Sangli,Gur(Jaggery),3300,3901,3601,25-04-2024
20,Sangli,Gur(Jaggery),3300,3982,3641,15-03-2024
21,Sangli,Gur(Jaggery),3350,4051,3701,06-12-2024
22,Sangli,Gur(Jaggery),3350,4000,3675,27-11-2024
23,Sangli,Gur(Jaggery),3300,3825,3563,23-01-2024
24,Sangli,Gur(Jaggery),3300,3916,3608,06-09-2024
25,Sangli,Gur(Jaggery),3350,4165,3758,24-12-2024
26,Sangli,Gur(Jaggery),3300,4000,3650,19-04-2024
27,Sangli,Gur(Jaggery),3300,3950,3625,13-05-2024
28,Sangli,Gur(Jaggery),3350,3931,3641,13-09-2024
29,Sangli,Gur(Jaggery),3300,3923,3612,09-10-2024
30,Sangli,Gur(Jaggery),3300,4035,3668,16-05-2024
31,Sangli,Gur(Jaggery),3300,4090,3695,19-10-2024
32,Sangli,Gur(Jaggery),3350,4100,3725,01-01-2024
33,Sangli,Gur(Jaggery),3300,3850,3575,21-05-2024
34,Sangli,Gur(Jaggery),3300,3945,3623,16-10-2024
35,Sangli,Gur(Jaggery),3300,3999,3650,24-05-2024
36,Sangli,Gur(Jaggery),3350,4025,3688,07-12-2024
37,Sangli,Gur(Jaggery),3350,4050,3700,04-07-2024
38,Sangli,Gur(Jaggery),3350,4015,3683,08-08-2024
