Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Shimoga,Gur(Jaggery),3300,4000,3591,12-11-2024
2,Shimoga,Gur(Jaggery),6281,6281,6281,19-06-2024
3,Shimoga,Gur(Jaggery),2500,4860,2874,02-09-2024
4,Shimoga,Gur(Jaggery),2512,3583,2524,16-10-2024
5,Shimoga,Gur(Jaggery),2535,2535,2535,29-10-2024
6,Shimoga,Gur(Jaggery),2558,2558,2558,23-09-2024
7,Shimoga,Gur(Jaggery),2800,4407,3351,04-12-2024
8,Shimoga,Gur(Jaggery),2800,4466,2997,20-11-2024
9,Shimoga,Gur(Jaggery),2900,4241,3057,09-12-2024
10,Shimoga,Gur(Jaggery),3036,4460,3357,13-11-2024
11,Shimoga,Gur(Jaggery),3044,4677,3537,28-10-2024
12,Shimoga,Gur(Jaggery),3100,3100,3100,13-12-2024
13,Shimoga,Gur(Jaggery),3133,4850,3705,24-09-2024
14,Shimoga,Gur(Jaggery),3200,3200,3200,03-10-2024
15,Shimoga,Gur(Jaggery),3200,5250,3330,08-10-2024
16,Shimoga,Gur(Jaggery),3300,3300,3300,26-11-2024
17,Shimoga,Gur(Jaggery),3500,3500,3500,14-06-2024
18,Shimoga,Gur(Jaggery),3500,3500,3500,20-09-2024
19,Shimoga,Gur(Jaggery),3500,3500,3500,21-09-2024
20,Shimoga,Gur(Jaggery),3500,3500,3500,26-09-2024
21,Shimoga,Gur(Jaggery),3500,3600,3550,27-09-2024
22,Shimoga,Gur(Jaggery),3600,3600,3600,24-10-2024
23,Shimoga,Gur(Jaggery),3600,5333,4528,26-12-2024
24,Shimoga,Gur(Jaggery),3700,3700,3700,22-05-2024
25,Shimoga,Gur(Jaggery),3700,3700,3700,27-11-2024
26,Shimoga,Gur(Jaggery),3800,3800,3800,06-11-2024
27,Shimoga,Gur(Jaggery),4000,4000,4000,15-11-2024
28,Shimoga,Gur(Jaggery),4000,4000,4000,18-07-2024
29,Shimoga,Gur(Jaggery),4000,5286,4996,30-05-2024
30,Shimoga,Gur(Jaggery),4505,4505,4505,18-12-2024
31,Shimoga,Gur(Jaggery),4585,4585,4585,20-12-2024
32,Shimoga,Gur(Jaggery),4664,4664,4664,05-09-2024
33,Shimoga,Gur(Jaggery),4980,4980,4980,22-08-2024
34,Shimoga,Gur(Jaggery),5000,5000,5000,05-12-2024
35,Shimoga,Gur(Jaggery),5416,5416,5416,15-10-2024
36,Shimoga,Gur(Jaggery),6500,6500,6500,07-11-2024
37,Shimoga,Gur(Jaggery),35199,50109,44817,19-07-2024
