Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Sholapur,Gur(Jaggery),2700,3741,3741,05-03-2024
2,Sholapur,Gur(Jaggery),2700,4075,4000,13-12-2024
3,Sholapur,Gur(Jaggery),2701,4070,4001,10-12-2024
4,Sholapur,Gur(Jaggery),2800,4000,3926,28-02-2024
5,Sholapur,Gur(Jaggery),2811,3875,3751,25-01-2024
6,Sholapur,Gur(Jaggery),2880,3920,3700,23-01-2024
7,Sholapur,Gur(Jaggery),2940,3865,3625,14-10-2024
8,Sholapur,Gur(Jaggery),2951,3400,3400,25-03-2024
9,Sholapur,Gur(Jaggery),3000,3665,3570,16-02-2024
10,Sholapur,Gur(Jaggery),3000,3830,3700,17-10-2024
11,Sholapur,Gur(Jaggery),3000,3841,3839,02-04-2024
12,Sholapur,Gur(Jaggery),3000,4075,3935,16-12-2024
13,Sholapur,Gur(Jaggery),3080,3875,3858,13-04-2024
14,Sholapur,Gur(Jaggery),3100,3702,3506,20-02-2024
15,Sholapur,Gur(Jaggery),3100,4020,3881,07-12-2024
16,Sholapur,Gur(Jaggery),3112,3902,3900,10-02-2024
17,Sholapur,Gur(Jaggery),3130,3731,3610,21-02-2024
18,Sholapur,Gur(Jaggery),3160,3785,3760,16-05-2024
19,Sholapur,Gur(Jaggery),3165,4051,3900,08-05-2024
20,Sholapur,Gur(Jaggery),3177,3648,3648,09-02-2024
21,Sholapur,Gur(Jaggery),3177,3651,3501,13-02-2024
22,Sholapur,Gur(Jaggery),3200,3765,3651,07-02-2024
23,Sholapur,Gur(Jaggery),3200,3800,3800,14-02-2024
24,Sholapur,Gur(Jaggery),3200,3802,3710,02-02-2024
25,Sholapur,Gur(Jaggery),3200,3820,3700,31-01-2024
26,Sholapur,Gur(Jaggery),3200,3860,3801,02-12-2024
27,Sholapur,Gur(Jaggery),3201,4125,3910,12-12-2024
28,Sholapur,Gur(Jaggery),3215,3911,3700,05-02-2024
29,Sholapur,Gur(Jaggery),3225,3401,3401,06-03-2024
30,Sholapur,Gur(Jaggery),3256,3600,3550,01-02-2024
31,Sholapur,Gur(Jaggery),3260,4201,4050,27-12-2024
32,Sholapur,Gur(Jaggery),3261,3818,3810,29-08-2024
33,Sholapur,Gur(Jaggery),3261,3950,3950,09-08-2024
34,Sholapur,Gur(Jaggery),3261,4211,4211,22-08-2024
35,Sholapur,Gur(Jaggery),3280,3800,3755,31-05-2024
36,Sholapur,Gur(Jaggery),3282,3851,3715,01-03-2024
37,Sholapur,Gur(Jaggery),3300,3350,3300,19-01-2024
38,Sholapur,Gur(Jaggery),3300,3705,3630,28-03-2024
39,Sholapur,Gur(Jaggery),3300,3800,3750,30-01-2024
40,Sholapur,Gur(Jaggery),3300,3800,3800,02-03-2024
41,Sholapur,Gur(Jaggery),3300,3801,3680,08-02-2024
42,Sholapur,Gur(Jaggery),3300,3802,3701,27-01-2024
43,Sholapur,Gur(Jaggery),3300,3840,3840,22-04-2024
44,Sholapur,Gur(Jaggery),3300,3881,3881,04-03-2024
45,Sholapur,Gur(Jaggery),3300,3895,3886,14-03-2024
46,Sholapur,Gur(Jaggery),3300,3901,3700,17-02-2024
47,Sholapur,Gur(Jaggery),3300,3901,3701,29-02-2024
48,Sholapur,Gur(Jaggery),3300,4001,3801,10-01-2024
49,Sholapur,Gur(Jaggery),3300,4125,4000,12-01-2024
50,Sholapur,Gur(Jaggery),3300,4300,4151,14-12-2024
51,Sholapur,Gur(Jaggery),3301,3752,3752,07-03-2024
52,Sholapur,Gur(Jaggery),3301,3843,3831,06-01-2024
53,Sholapur,Gur(Jaggery),3301,3985,3846,17-12-2024
54,Sholapur,Gur(Jaggery),3309,3952,3800,06-02-2024
55,Sholapur,Gur(Jaggery),3310,3950,3950,03-02-2024
56,Sholapur,Gur(Jaggery),3325,3835,3802,13-01-2024
57,Sholapur,Gur(Jaggery),3325,4051,3700,03-12-2024
58,Sholapur,Gur(Jaggery),3326,4125,4100,04-01-2024
59,Sholapur,Gur(Jaggery),3330,3550,3550,23-03-2024
60,Sholapur,Gur(Jaggery),3330,4156,3950,21-05-2024
61,Sholapur,Gur(Jaggery),3342,4016,4016,20-01-2024
62,Sholapur,Gur(Jaggery),3350,3725,3725,04-04-2024
63,Sholapur,Gur(Jaggery),3350,3800,3800,16-03-2024
64,Sholapur,Gur(Jaggery),3350,4001,4001,17-01-2024
65,Sholapur,Gur(Jaggery),3350,4125,4075,08-01-2024
66,Sholapur,Gur(Jaggery),3351,4004,3901,03-04-2024
67,Sholapur,Gur(Jaggery),3356,3830,3791,18-01-2024
68,Sholapur,Gur(Jaggery),3360,3647,3647,19-03-2024
69,Sholapur,Gur(Jaggery),3370,3800,3715,24-01-2024
70,Sholapur,Gur(Jaggery),3370,4011,4001,20-03-2024
71,Sholapur,Gur(Jaggery),3372,3805,3716,16-01-2024
72,Sholapur,Gur(Jaggery),3380,3800,3800,12-02-2024
73,Sholapur,Gur(Jaggery),3380,3925,3845,20-12-2024
74,Sholapur,Gur(Jaggery),3380,3955,3955,30-05-2024
75,Sholapur,Gur(Jaggery),3400,3455,3455,27-03-2024
76,Sholapur,Gur(Jaggery),3400,3551,3551,21-03-2024
77,Sholapur,Gur(Jaggery),3400,3901,3851,01-04-2024
78,Sholapur,Gur(Jaggery),3400,3980,3885,01-01-2025
79,Sholapur,Gur(Jaggery),3400,4000,3950,28-12-2024
80,Sholapur,Gur(Jaggery),3400,4025,4025,01-01-2024
81,Sholapur,Gur(Jaggery),3400,4171,4055,31-12-2024
82,Sholapur,Gur(Jaggery),3401,3911,3851,05-01-2024
83,Sholapur,Gur(Jaggery),3401,3951,3901,09-01-2024
84,Sholapur,Gur(Jaggery),3401,4101,4019,03-01-2024
85,Sholapur,Gur(Jaggery),3426,3875,3710,29-01-2024
86,Sholapur,Gur(Jaggery),3430,3641,3641,26-04-2024
87,Sholapur,Gur(Jaggery),3440,3775,3760,20-06-2024
88,Sholapur,Gur(Jaggery),3445,3900,3826,08-04-2024
89,Sholapur,Gur(Jaggery),3450,3651,3590,15-02-2024
90,Sholapur,Gur(Jaggery),3450,3852,3852,18-03-2024
91,Sholapur,Gur(Jaggery),3450,4051,4001,19-11-2024
92,Sholapur,Gur(Jaggery),3450,4100,3946,17-05-2024
93,Sholapur,Gur(Jaggery),3461,3911,3911,19-04-2024
94,Sholapur,Gur(Jaggery),3465,4000,4000,08-06-2024
95,Sholapur,Gur(Jaggery),3475,3796,3640,22-10-2024
96,Sholapur,Gur(Jaggery),3476,3900,3480,06-04-2024
97,Sholapur,Gur(Jaggery),3491,4201,4001,25-12-2024
98,Sholapur,Gur(Jaggery),3500,3751,3730,02-01-2024
99,Sholapur,Gur(Jaggery),3500,3800,3800,06-11-2024
100,Sholapur,Gur(Jaggery),3500,3891,3876,22-03-2024
101,Sholapur,Gur(Jaggery),3500,3990,3830,11-12-2024
102,Sholapur,Gur(Jaggery),3500,4175,4050,24-12-2024
103,Sholapur,Gur(Jaggery),3501,3901,3851,04-05-2024
104,Sholapur,Gur(Jaggery),3502,3921,3921,01-08-2024
105,Sholapur,Gur(Jaggery),3516,3691,3650,21-11-2024
106,Sholapur,Gur(Jaggery),3525,4251,4000,23-12-2024
107,Sholapur,Gur(Jaggery),3550,3775,3775,18-07-2024
108,Sholapur,Gur(Jaggery),3550,3810,3690,03-05-2024
109,Sholapur,Gur(Jaggery),3550,4013,4013,25-11-2024
110,Sholapur,Gur(Jaggery),3551,4030,3980,30-04-2024
111,Sholapur,Gur(Jaggery),3551,4065,3916,28-11-2024
112,Sholapur,Gur(Jaggery),3552,4080,4076,27-04-2024
113,Sholapur,Gur(Jaggery),3575,3900,3575,29-04-2024
114,Sholapur,Gur(Jaggery),3591,3591,3591,05-08-2024
115,Sholapur,Gur(Jaggery),3600,3611,3600,18-11-2024
116,Sholapur,Gur(Jaggery),3600,3925,3875,05-11-2024
117,Sholapur,Gur(Jaggery),3600,4052,4052,11-07-2024
118,Sholapur,Gur(Jaggery),3601,3721,3651,26-12-2024
119,Sholapur,Gur(Jaggery),3601,4005,3851,09-12-2024
120,Sholapur,Gur(Jaggery),3625,3625,3625,12-11-2024
121,Sholapur,Gur(Jaggery),3625,4100,3951,21-06-2024
122,Sholapur,Gur(Jaggery),3640,3640,3640,25-04-2024
123,Sholapur,Gur(Jaggery),3650,3919,3900,15-04-2024
124,Sholapur,Gur(Jaggery),3651,3975,3900,05-04-2024
125,Sholapur,Gur(Jaggery),3660,3760,3660,15-07-2024
126,Sholapur,Gur(Jaggery),3700,3700,3700,15-05-2024
127,Sholapur,Gur(Jaggery),3700,3840,3821,13-06-2024
128,Sholapur,Gur(Jaggery),3700,3880,3811,29-05-2024
129,Sholapur,Gur(Jaggery),3700,3955,3925,02-08-2024
130,Sholapur,Gur(Jaggery),3701,3701,3701,13-05-2024
131,Sholapur,Gur(Jaggery),3710,3740,3740,22-06-2024
132,Sholapur,Gur(Jaggery),3711,3711,3711,14-06-2024
133,Sholapur,Gur(Jaggery),3715,4050,4050,20-07-2024
134,Sholapur,Gur(Jaggery),3721,3805,3735,22-11-2024
135,Sholapur,Gur(Jaggery),3735,4202,4100,18-09-2024
136,Sholapur,Gur(Jaggery),3740,3740,3740,22-05-2024
137,Sholapur,Gur(Jaggery),3751,3771,3771,04-07-2024
138,Sholapur,Gur(Jaggery),3751,3935,3801,11-11-2024
139,Sholapur,Gur(Jaggery),3753,3966,3951,08-11-2024
140,Sholapur,Gur(Jaggery),3764,3950,3936,16-11-2024
141,Sholapur,Gur(Jaggery),3765,3950,3911,14-11-2024
142,Sholapur,Gur(Jaggery),3771,3811,3781,13-07-2024
143,Sholapur,Gur(Jaggery),3775,3795,3786,24-05-2024
144,Sholapur,Gur(Jaggery),3801,3901,3900,09-11-2024
145,Sholapur,Gur(Jaggery),3825,3901,3850,23-07-2024
146,Sholapur,Gur(Jaggery),3835,3925,3902,06-07-2024
147,Sholapur,Gur(Jaggery),3850,3850,3850,10-05-2024
148,Sholapur,Gur(Jaggery),3851,3851,3851,26-03-2024
149,Sholapur,Gur(Jaggery),3860,3900,3875,20-09-2024
150,Sholapur,Gur(Jaggery),3900,3900,3900,16-07-2024
151,Sholapur,Gur(Jaggery),3900,3905,3900,24-06-2024
152,Sholapur,Gur(Jaggery),3901,3927,3927,26-11-2024
153,Sholapur,Gur(Jaggery),3901,4100,3951,05-12-2024
154,Sholapur,Gur(Jaggery),3955,4025,4025,19-07-2024
155,Sholapur,Gur(Jaggery),4000,4000,4000,11-05-2024
156,Sholapur,Gur(Jaggery),4021,4191,4111,06-08-2024
157,Sholapur,Gur(Jaggery),4025,4025,4025,14-05-2024
158,Sholapur,Gur(Jaggery),4100,4100,4100,03-07-2024
159,Sholapur,Gur(Jaggery),4111,4111,4111,09-05-2024
160,Sholapur,Gur(Jaggery),4125,4160,4160,21-12-2024
