Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Udaipur,Gur(Jaggery),3050,3250,3150,02-01-2024
2,Udaipur,Gur(Jaggery),3050,3250,3150,06-01-2024
3,Udaipur,Gur(Jaggery),3050,3250,3150,17-01-2024
4,Udaipur,Gur(Jaggery),3050,3250,3150,18-01-2024
5,Udaipur,Gur(Jaggery),3050,3250,3150,24-01-2024
6,Udaipur,Gur(Jaggery),3100,3300,3200,03-02-2024
7,Udaipur,Gur(Jaggery),3100,3300,3200,03-01-2024
8,Udaipur,Gur(Jaggery),3100,3300,3200,05-01-2024
9,Udaipur,Gur(Jaggery),3100,3300,3200,08-02-2024
10,Udaipur,Gur(Jaggery),3100,3300,3200,09-02-2024
11,Udaipur,Gur(Jaggery),3100,3300,3200,12-01-2024
12,Udaipur,Gur(Jaggery),3100,3300,3200,15-01-2024
13,Udaipur,Gur(Jaggery),3100,3300,3200,16-01-2024
14,Udaipur,Gur(Jaggery),3100,3300,3200,22-01-2024
15,Udaipur,Gur(Jaggery),3100,3300,3200,23-01-2024
16,Udaipur,Gur(Jaggery),3100,3300,3200,26-01-2024
17,Udaipur,Gur(Jaggery),3100,3300,3200,27-01-2024
18,Udaipur,Gur(Jaggery),3100,3300,3200,30-01-2024
19,Udaipur,Gur(Jaggery),3150,3350,3250,01-02-2024
20,Udaipur,Gur(Jaggery),3150,3350,3250,04-01-2024
21,Udaipur,Gur(Jaggery),3150,3350,3250,05-02-2024
22,Udaipur,Gur(Jaggery),3150,3350,3250,06-02-2024
23,Udaipur,Gur(Jaggery),3150,3350,3250,08-01-2024
24,Udaipur,Gur(Jaggery),3150,3350,3250,10-01-2024
25,Udaipur,Gur(Jaggery),3150,3350,3250,11-01-2024
26,Udaipur,Gur(Jaggery),3150,3350,3250,25-01-2024
27,Udaipur,Gur(Jaggery),3150,3350,3250,29-01-2024
28,Udaipur,Gur(Jaggery),3150,3350,3250,31-01-2024
29,Udaipur,Gur(Jaggery),3200,3400,3300,12-02-2024
30,Udaipur,Gur(Jaggery),3200,3400,3300,14-02-2024
31,Udaipur,Gur(Jaggery),3200,3400,3300,15-02-2024
32,Udaipur,Gur(Jaggery),3300,3500,3400,16-02-2024
33,Udaipur,Gur(Jaggery),3300,3700,3500,19-06-2024
34,Udaipur,Gur(Jaggery),3400,3600,3500,17-02-2024
35,Udaipur,Gur(Jaggery),3400,3600,3500,21-02-2024
36,Udaipur,Gur(Jaggery),3400,3600,3500,22-02-2024
37,Udaipur,Gur(Jaggery),3400,3600,3500,27-02-2024
38,Udaipur,Gur(Jaggery),3400,3800,3600,06-03-2024
39,Udaipur,Gur(Jaggery),3450,3650,3550,20-02-2024
40,Udaipur,Gur(Jaggery),3500,3700,3600,28-02-2024
41,Udaipur,Gur(Jaggery),3500,3900,3700,01-08-2024
42,Udaipur,Gur(Jaggery),3500,3900,3700,01-07-2024
43,Udaipur,Gur(Jaggery),3500,3900,3700,02-08-2024
44,Udaipur,Gur(Jaggery),3500,3900,3700,02-12-2024
45,Udaipur,Gur(Jaggery),3500,3900,3700,02-11-2024
46,Udaipur,Gur(Jaggery),3500,3900,3700,02-10-2024
47,Udaipur,Gur(Jaggery),3500,3900,3700,02-09-2024
48,Udaipur,Gur(Jaggery),3500,3900,3700,03-08-2024
49,Udaipur,Gur(Jaggery),3500,3900,3700,03-07-2024
50,Udaipur,Gur(Jaggery),3500,3900,3700,03-09-2024
51,Udaipur,Gur(Jaggery),3500,3900,3700,04-12-2024
52,Udaipur,Gur(Jaggery),3500,3900,3700,04-07-2024
53,Udaipur,Gur(Jaggery),3500,3900,3700,04-11-2024
54,Udaipur,Gur(Jaggery),3500,3900,3700,04-10-2024
55,Udaipur,Gur(Jaggery),3500,3900,3700,04-09-2024
56,Udaipur,Gur(Jaggery),3500,3900,3700,05-08-2024
57,Udaipur,Gur(Jaggery),3500,3900,3700,05-03-2024
58,Udaipur,Gur(Jaggery),3500,3900,3700,05-11-2024
59,Udaipur,Gur(Jaggery),3500,3900,3700,05-10-2024
60,Udaipur,Gur(Jaggery),3500,3900,3700,05-09-2024
61,Udaipur,Gur(Jaggery),3500,3900,3700,06-12-2024
62,Udaipur,Gur(Jaggery),3500,3900,3700,06-09-2024
63,Udaipur,Gur(Jaggery),3500,3900,3700,07-03-2024
64,Udaipur,Gur(Jaggery),3500,3900,3700,07-11-2024
65,Udaipur,Gur(Jaggery),3500,3900,3700,07-10-2024
66,Udaipur,Gur(Jaggery),3500,3900,3700,07-09-2024
67,Udaipur,Gur(Jaggery),3500,3900,3700,08-08-2024
68,Udaipur,Gur(Jaggery),3500,3900,3700,08-11-2024
69,Udaipur,Gur(Jaggery),3500,3900,3700,09-11-2024
70,Udaipur,Gur(Jaggery),3500,3900,3700,09-10-2024
71,Udaipur,Gur(Jaggery),3500,3900,3700,10-08-2024
72,Udaipur,Gur(Jaggery),3500,3900,3700,10-07-2024
73,Udaipur,Gur(Jaggery),3500,3900,3700,10-10-2024
74,Udaipur,Gur(Jaggery),3500,3900,3700,10-09-2024
75,Udaipur,Gur(Jaggery),3500,3900,3700,11-07-2024
76,Udaipur,Gur(Jaggery),3500,3900,3700,11-11-2024
77,Udaipur,Gur(Jaggery),3500,3900,3700,12-08-2024
78,Udaipur,Gur(Jaggery),3500,3900,3700,12-07-2024
79,Udaipur,Gur(Jaggery),3500,3900,3700,12-03-2024
80,Udaipur,Gur(Jaggery),3500,3900,3700,12-10-2024
81,Udaipur,Gur(Jaggery),3500,3900,3700,12-09-2024
82,Udaipur,Gur(Jaggery),3500,3900,3700,13-08-2024
83,Udaipur,Gur(Jaggery),3500,3900,3700,13-12-2024
84,Udaipur,Gur(Jaggery),3500,3900,3700,13-07-2024
85,Udaipur,Gur(Jaggery),3500,3900,3700,13-03-2024
86,Udaipur,Gur(Jaggery),3500,3900,3700,14-12-2024
87,Udaipur,Gur(Jaggery),3500,3900,3700,14-03-2024
88,Udaipur,Gur(Jaggery),3500,3900,3700,14-10-2024
89,Udaipur,Gur(Jaggery),3500,3900,3700,14-09-2024
90,Udaipur,Gur(Jaggery),3500,3900,3700,15-07-2024
91,Udaipur,Gur(Jaggery),3500,3900,3700,15-10-2024
92,Udaipur,Gur(Jaggery),3500,3900,3700,16-12-2024
93,Udaipur,Gur(Jaggery),3500,3900,3700,16-07-2024
94,Udaipur,Gur(Jaggery),3500,3900,3700,16-03-2024
95,Udaipur,Gur(Jaggery),3500,3900,3700,16-11-2024
96,Udaipur,Gur(Jaggery),3500,3900,3700,16-10-2024
97,Udaipur,Gur(Jaggery),3500,3900,3700,17-12-2024
98,Udaipur,Gur(Jaggery),3500,3900,3700,17-07-2024
99,Udaipur,Gur(Jaggery),3500,3900,3700,17-10-2024
100,Udaipur,Gur(Jaggery),3500,3900,3700,17-09-2024
101,Udaipur,Gur(Jaggery),3500,3900,3700,18-07-2024
102,Udaipur,Gur(Jaggery),3500,3900,3700,18-06-2024
103,Udaipur,Gur(Jaggery),3500,3900,3700,18-03-2024
104,Udaipur,Gur(Jaggery),3500,3900,3700,18-11-2024
105,Udaipur,Gur(Jaggery),3500,3900,3700,18-10-2024
106,Udaipur,Gur(Jaggery),3500,3900,3700,18-09-2024
107,Udaipur,Gur(Jaggery),3500,3900,3700,19-07-2024
108,Udaipur,Gur(Jaggery),3500,3900,3700,19-11-2024
109,Udaipur,Gur(Jaggery),3500,3900,3700,19-10-2024
110,Udaipur,Gur(Jaggery),3500,3900,3700,19-09-2024
111,Udaipur,Gur(Jaggery),3500,3900,3700,20-08-2024
112,Udaipur,Gur(Jaggery),3500,3900,3700,20-12-2024
113,Udaipur,Gur(Jaggery),3500,3900,3700,20-07-2024
114,Udaipur,Gur(Jaggery),3500,3900,3700,20-11-2024
115,Udaipur,Gur(Jaggery),3500,3900,3700,21-08-2024
116,Udaipur,Gur(Jaggery),3500,3900,3700,21-12-2024
117,Udaipur,Gur(Jaggery),3500,3900,3700,21-11-2024
118,Udaipur,Gur(Jaggery),3500,3900,3700,21-10-2024
119,Udaipur,Gur(Jaggery),3500,3900,3700,21-09-2024
120,Udaipur,Gur(Jaggery),3500,3900,3700,22-08-2024
121,Udaipur,Gur(Jaggery),3500,3900,3700,22-07-2024
122,Udaipur,Gur(Jaggery),3500,3900,3700,23-12-2024
123,Udaipur,Gur(Jaggery),3500,3900,3700,23-07-2024
124,Udaipur,Gur(Jaggery),3500,3900,3700,23-11-2024
125,Udaipur,Gur(Jaggery),3500,3900,3700,23-10-2024
126,Udaipur,Gur(Jaggery),3500,3900,3700,24-12-2024
127,Udaipur,Gur(Jaggery),3500,3900,3700,24-07-2024
128,Udaipur,Gur(Jaggery),3500,3900,3700,24-10-2024
129,Udaipur,Gur(Jaggery),3500,3900,3700,24-09-2024
130,Udaipur,Gur(Jaggery),3500,3900,3700,25-07-2024
131,Udaipur,Gur(Jaggery),3500,3900,3700,25-11-2024
132,Udaipur,Gur(Jaggery),3500,3900,3700,25-10-2024
133,Udaipur,Gur(Jaggery),3500,3900,3700,25-09-2024
