Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Visakhapatnam,Gur(Jaggery),3180,4100,3640,02-12-2024
2,Visakhapatnam,Gur(Jaggery),3190,3900,3545,26-11-2024
3,Visakhapatnam,Gur(Jaggery),3200,4000,3600,25-11-2024
4,Visakhapatnam,Gur(Jaggery),3220,4070,3645,23-11-2024
5,Visakhapatnam,Gur(Jaggery),3230,3950,3590,30-11-2024
6,Visakhapatnam,Gur(Jaggery),3280,3880,3580,29-11-2024
7,Visakhapatnam,Gur(Jaggery),3380,3800,3590,28-11-2024
8,Visakhapatnam,Gur(Jaggery),3410,4280,3845,05-12-2024
9,Visakhapatnam,Gur(Jaggery),3420,3730,3575,22-11-2024
10,Visakhapatnam,Gur(Jaggery),3420,4210,3815,14-12-2024
11,Visakhapatnam,Gur(Jaggery),3430,4200,3815,04-12-2024
12,Visakhapatnam,Gur(Jaggery),3440,4120,3780,10-02-2024
13,Visakhapatnam,Gur(Jaggery),3440,4140,3790,18-12-2024
14,Visakhapatnam,Gur(Jaggery),3440,4250,3845,18-11-2024
15,Visakhapatnam,Gur(Jaggery),3440,4380,3910,16-12-2024
16,Visakhapatnam,Gur(Jaggery),3450,4000,3725,20-11-2024
17,Visakhapatnam,Gur(Jaggery),3460,4060,3760,12-02-2024
18,Visakhapatnam,Gur(Jaggery),3460,4190,3825,17-12-2024
19,Visakhapatnam,Gur(Jaggery),3480,4100,3790,09-02-2024
20,Visakhapatnam,Gur(Jaggery),3480,4100,3790,19-12-2024
21,Visakhapatnam,Gur(Jaggery),3480,4150,3815,27-11-2024
22,Visakhapatnam,Gur(Jaggery),3490,4000,3745,21-11-2024
23,Visakhapatnam,Gur(Jaggery),3490,4270,3880,01-03-2024
24,Visakhapatnam,Gur(Jaggery),3490,4320,3905,15-03-2024
25,Visakhapatnam,Gur(Jaggery),3500,4050,3775,27-03-2024
26,Visakhapatnam,Gur(Jaggery),3500,4060,3780,14-02-2024
27,Visakhapatnam,Gur(Jaggery),3500,4090,3795,01-04-2024
28,Visakhapatnam,Gur(Jaggery),3500,4150,3825,13-11-2024
29,Visakhapatnam,Gur(Jaggery),3500,4170,3835,13-12-2024
30,Visakhapatnam,Gur(Jaggery),3500,4250,3875,15-04-2024
31,Visakhapatnam,Gur(Jaggery),3500,4300,3900,06-03-2024
32,Visakhapatnam,Gur(Jaggery),3500,4300,3900,19-11-2024
33,Visakhapatnam,Gur(Jaggery),3500,4390,3945,06-12-2024
34,Visakhapatnam,Gur(Jaggery),3510,4070,3790,13-02-2024
35,Visakhapatnam,Gur(Jaggery),3510,4200,3855,11-12-2024
36,Visakhapatnam,Gur(Jaggery),3510,4250,3880,09-12-2024
37,Visakhapatnam,Gur(Jaggery),3510,4330,3920,29-02-2024
38,Visakhapatnam,Gur(Jaggery),3520,4100,3810,18-01-2024
39,Visakhapatnam,Gur(Jaggery),3520,4120,3820,08-02-2024
40,Visakhapatnam,Gur(Jaggery),3520,4130,3825,02-04-2024
41,Visakhapatnam,Gur(Jaggery),3520,4150,3835,19-03-2024
42,Visakhapatnam,Gur(Jaggery),3520,4150,3835,29-03-2024
43,Visakhapatnam,Gur(Jaggery),3520,4160,3840,12-12-2024
44,Visakhapatnam,Gur(Jaggery),3520,4240,3880,21-03-2024
45,Visakhapatnam,Gur(Jaggery),3530,4010,3770,19-01-2024
46,Visakhapatnam,Gur(Jaggery),3530,4070,3800,28-03-2024
47,Visakhapatnam,Gur(Jaggery),3530,4090,3810,23-03-2024
48,Visakhapatnam,Gur(Jaggery),3530,4250,3890,28-02-2024
49,Visakhapatnam,Gur(Jaggery),3530,4310,3920,21-02-2024
50,Visakhapatnam,Gur(Jaggery),3530,4450,3990,03-12-2024
51,Visakhapatnam,Gur(Jaggery),3540,4210,3875,22-03-2024
52,Visakhapatnam,Gur(Jaggery),3540,4250,3895,20-02-2024
53,Visakhapatnam,Gur(Jaggery),3540,4290,3915,07-03-2024
54,Visakhapatnam,Gur(Jaggery),3540,4300,3920,07-12-2024
55,Visakhapatnam,Gur(Jaggery),3550,4240,3895,20-03-2024
56,Visakhapatnam,Gur(Jaggery),3550,4320,3935,16-03-2024
57,Visakhapatnam,Gur(Jaggery),3550,4430,3990,16-04-2024
58,Visakhapatnam,Gur(Jaggery),3550,4590,4070,27-04-2024
59,Visakhapatnam,Gur(Jaggery),3560,4000,3780,03-04-2024
60,Visakhapatnam,Gur(Jaggery),3560,4030,3795,05-02-2024
61,Visakhapatnam,Gur(Jaggery),3560,4100,3830,02-02-2024
62,Visakhapatnam,Gur(Jaggery),3560,4100,3830,07-02-2024
63,Visakhapatnam,Gur(Jaggery),3560,4110,3835,26-03-2024
64,Visakhapatnam,Gur(Jaggery),3560,4120,3840,25-03-2024
65,Visakhapatnam,Gur(Jaggery),3560,4340,3950,13-03-2024
66,Visakhapatnam,Gur(Jaggery),3560,4390,3975,13-04-2024
67,Visakhapatnam,Gur(Jaggery),3560,4390,3975,26-04-2024
68,Visakhapatnam,Gur(Jaggery),3570,4060,3815,06-02-2024
69,Visakhapatnam,Gur(Jaggery),3570,4090,3830,04-04-2024
70,Visakhapatnam,Gur(Jaggery),3570,4160,3865,22-01-2024
71,Visakhapatnam,Gur(Jaggery),3570,4330,3950,14-03-2024
72,Visakhapatnam,Gur(Jaggery),3570,4370,3970,12-04-2024
73,Visakhapatnam,Gur(Jaggery),3580,4100,3840,24-01-2024
74,Visakhapatnam,Gur(Jaggery),3580,4150,3865,20-12-2024
75,Visakhapatnam,Gur(Jaggery),3580,4160,3870,06-04-2024
76,Visakhapatnam,Gur(Jaggery),3580,4240,3910,19-02-2024
77,Visakhapatnam,Gur(Jaggery),3580,4270,3925,18-03-2024
78,Visakhapatnam,Gur(Jaggery),3580,4370,3975,27-02-2024
79,Visakhapatnam,Gur(Jaggery),3590,4160,3875,15-02-2024
80,Visakhapatnam,Gur(Jaggery),3590,4260,3925,10-12-2024
81,Visakhapatnam,Gur(Jaggery),3590,4360,3975,11-04-2024
82,Visakhapatnam,Gur(Jaggery),3600,4020,3810,25-01-2024
83,Visakhapatnam,Gur(Jaggery),3600,4030,3815,01-02-2024
84,Visakhapatnam,Gur(Jaggery),3600,4040,3820,03-02-2024
85,Visakhapatnam,Gur(Jaggery),3600,4060,3830,05-04-2024
86,Visakhapatnam,Gur(Jaggery),3600,4250,3925,23-12-2024
87,Visakhapatnam,Gur(Jaggery),3600,4260,3930,11-03-2024
88,Visakhapatnam,Gur(Jaggery),3600,4270,3935,23-02-2024
89,Visakhapatnam,Gur(Jaggery),3600,4280,3940,08-03-2024
90,Visakhapatnam,Gur(Jaggery),3600,4330,3965,24-02-2024
91,Visakhapatnam,Gur(Jaggery),3600,4580,4090,29-04-2024
92,Visakhapatnam,Gur(Jaggery),3610,4010,3810,31-01-2024
93,Visakhapatnam,Gur(Jaggery),3610,4100,3855,29-01-2024
94,Visakhapatnam,Gur(Jaggery),3610,4140,3875,13-01-2024
95,Visakhapatnam,Gur(Jaggery),3610,4240,3925,17-02-2024
96,Visakhapatnam,Gur(Jaggery),3620,4010,3815,12-01-2024
97,Visakhapatnam,Gur(Jaggery),3620,4200,3910,04-03-2024
98,Visakhapatnam,Gur(Jaggery),3620,4270,3945,10-04-2024
99,Visakhapatnam,Gur(Jaggery),3620,4670,4145,06-11-2024
100,Visakhapatnam,Gur(Jaggery),3630,4100,3865,20-01-2024
101,Visakhapatnam,Gur(Jaggery),3630,4100,3865,23-01-2024
102,Visakhapatnam,Gur(Jaggery),3630,4240,3935,16-02-2024
103,Visakhapatnam,Gur(Jaggery),3630,4260,3945,05-03-2024
104,Visakhapatnam,Gur(Jaggery),3630,4290,3960,22-02-2024
105,Visakhapatnam,Gur(Jaggery),3630,4380,4005,24-12-2024
106,Visakhapatnam,Gur(Jaggery),3640,4310,3975,14-11-2024
107,Visakhapatnam,Gur(Jaggery),3640,4350,3995,15-11-2024
108,Visakhapatnam,Gur(Jaggery),3640,4670,4155,02-05-2024
109,Visakhapatnam,Gur(Jaggery),3650,4130,3890,30-01-2024
110,Visakhapatnam,Gur(Jaggery),3660,4400,4030,12-11-2024
111,Visakhapatnam,Gur(Jaggery),3660,4600,4130,28-10-2024
112,Visakhapatnam,Gur(Jaggery),3660,4830,4245,04-11-2024
113,Visakhapatnam,Gur(Jaggery),3660,5050,4355,29-10-2024
114,Visakhapatnam,Gur(Jaggery),3670,4250,3960,02-03-2024
115,Visakhapatnam,Gur(Jaggery),3690,4640,4165,03-05-2024
116,Visakhapatnam,Gur(Jaggery),3700,4090,3895,10-01-2024
117,Visakhapatnam,Gur(Jaggery),3700,4300,4000,26-02-2024
118,Visakhapatnam,Gur(Jaggery),3700,4440,4070,12-03-2024
119,Visakhapatnam,Gur(Jaggery),3710,4070,3890,11-01-2024
120,Visakhapatnam,Gur(Jaggery),3720,4800,4260,04-05-2024
121,Visakhapatnam,Gur(Jaggery),3740,4370,4055,09-01-2024
122,Visakhapatnam,Gur(Jaggery),3760,4230,3995,08-01-2024
123,Visakhapatnam,Gur(Jaggery),3760,4300,4030,30-12-2024
124,Visakhapatnam,Gur(Jaggery),3780,4450,4115,11-11-2024
125,Visakhapatnam,Gur(Jaggery),3800,4180,3990,21-12-2024
126,Visakhapatnam,Gur(Jaggery),3800,4200,4000,26-12-2024
127,Visakhapatnam,Gur(Jaggery),3810,4300,4055,27-12-2024
128,Visakhapatnam,Gur(Jaggery),3820,4670,4245,03-01-2024
129,Visakhapatnam,Gur(Jaggery),3830,4200,4015,28-12-2024
130,Visakhapatnam,Gur(Jaggery),3840,4500,4170,25-12-2024
131,Visakhapatnam,Gur(Jaggery),3880,4450,4165,09-11-2024
132,Visakhapatnam,Gur(Jaggery),3890,4750,4320,09-05-2024
133,Visakhapatnam,Gur(Jaggery),3900,4580,4240,07-11-2024
134,Visakhapatnam,Gur(Jaggery),3900,4580,4240,26-10-2024
135,Visakhapatnam,Gur(Jaggery),3900,4880,4390,06-05-2024
136,Visakhapatnam,Gur(Jaggery),3900,4890,4395,25-10-2024
137,Visakhapatnam,Gur(Jaggery),3900,4930,4415,25-05-2024
138,Visakhapatnam,Gur(Jaggery),3910,4610,4260,31-12-2024
139,Visakhapatnam,Gur(Jaggery),3910,4640,4275,04-01-2024
140,Visakhapatnam,Gur(Jaggery),3940,4360,4150,08-11-2024
141,Visakhapatnam,Gur(Jaggery),3940,4900,4420,02-11-2024
142,Visakhapatnam,Gur(Jaggery),3950,4500,4225,02-01-2024
143,Visakhapatnam,Gur(Jaggery),3970,5370,4670,21-05-2024
144,Visakhapatnam,Gur(Jaggery),4000,4800,4400,08-05-2024
145,Visakhapatnam,Gur(Jaggery),4000,4980,4490,25-09-2024
146,Visakhapatnam,Gur(Jaggery),4000,5250,4625,30-10-2024
147,Visakhapatnam,Gur(Jaggery),4000,5280,4640,11-10-2024
148,Visakhapatnam,Gur(Jaggery),4010,5000,4505,01-11-2024
149,Visakhapatnam,Gur(Jaggery),4080,4940,4510,04-09-2024
150,Visakhapatnam,Gur(Jaggery),4100,4200,4150,05-09-2024
151,Visakhapatnam,Gur(Jaggery),4100,4630,4365,05-01-2024
152,Visakhapatnam,Gur(Jaggery),4100,4750,4425,17-05-2024
153,Visakhapatnam,Gur(Jaggery),4100,4780,4440,30-04-2024
154,Visakhapatnam,Gur(Jaggery),4110,4630,4370,06-01-2024
155,Visakhapatnam,Gur(Jaggery),4110,5100,4605,20-08-2024
