Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Ajmer,Jowar(Sorghum),1001,4121,3991,14-11-2024
2,Ajmer,Jowar(Sorghum),1200,4003,2646,17-10-2024
3,Ajmer,Jowar(Sorghum),1200,4500,4091,11-11-2024
4,Ajmer,Jowar(Sorghum),1276,3376,2440,10-07-2024
5,Ajmer,Jowar(Sorghum),1301,3576,1782,13-07-2024
6,Ajmer,Jowar(Sorghum),1341,3575,2310,15-10-2024
7,Ajmer,Jowar(Sorghum),1400,2875,1800,20-03-2024
8,Ajmer,Jowar(Sorghum),1400,4141,2631,10-11-2024
9,Ajmer,Jowar(Sorghum),1401,2776,1950,03-08-2024
10,Ajmer,Jowar(Sorghum),1499,5000,4141,05-11-2024
11,Ajmer,Jowar(Sorghum),1500,2536,2401,23-08-2024
12,Ajmer,Jowar(Sorghum),1500,3375,2180,24-10-2024
13,Ajmer,Jowar(Sorghum),1500,4171,3701,06-12-2024
14,Ajmer,Jowar(Sorghum),1500,4390,2651,15-11-2024
15,Ajmer,Jowar(Sorghum),1501,3950,3850,10-12-2024
16,Ajmer,Jowar(Sorghum),1501,4200,1968,31-07-2024
17,Ajmer,Jowar(Sorghum),1526,4501,2420,08-11-2024
18,Ajmer,Jowar(Sorghum),1550,4141,4050,06-11-2024
19,Ajmer,Jowar(Sorghum),1591,4025,3801,30-11-2024
20,Ajmer,Jowar(Sorghum),1600,2500,2500,28-09-2024
21,Ajmer,Jowar(Sorghum),1600,3500,1600,08-07-2024
22,Ajmer,Jowar(Sorghum),1600,3541,1905,09-07-2024
23,Ajmer,Jowar(Sorghum),1600,4151,3930,25-11-2024
24,Ajmer,Jowar(Sorghum),1601,3676,2176,23-07-2024
25,Ajmer,Jowar(Sorghum),1601,4750,3891,22-11-2024
26,Ajmer,Jowar(Sorghum),1610,4344,4344,22-06-2024
27,Ajmer,Jowar(Sorghum),1650,2900,2900,18-05-2024
28,Ajmer,Jowar(Sorghum),1650,4300,1951,06-07-2024
29,Ajmer,Jowar(Sorghum),1651,1901,1651,11-07-2024
30,Ajmer,Jowar(Sorghum),1651,3475,2931,18-07-2024
31,Ajmer,Jowar(Sorghum),1651,4146,2550,27-11-2024
32,Ajmer,Jowar(Sorghum),1660,3300,2325,24-06-2024
33,Ajmer,Jowar(Sorghum),1700,2180,2180,29-07-2024
34,Ajmer,Jowar(Sorghum),1700,2631,2325,09-09-2024
