Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bangalore,Jowar(Sorghum),2800,3600,3200,27-09-2024
2,Bangalore,Jowar(Sorghum),2500,3200,2850,04-11-2024
3,Bangalore,Jowar(Sorghum),2500,3200,2850,07-11-2024
4,Bangalore,Jowar(Sorghum),2500,3200,2850,08-11-2024
5,Bangalore,Jowar(Sorghum),2500,3200,2850,21-10-2024
6,Bangalore,Jowar(Sorghum),2500,3200,2850,24-10-2024
7,Bangalore,Jowar(Sorghum),2500,3200,2850,25-10-2024
8,Bangalore,Jowar(Sorghum),2500,3200,2850,28-10-2024
9,Bangalore,Jowar(Sorghum),2500,3200,2850,29-10-2024
10,Bangalore,Jowar(Sorghum),2500,3200,2850,30-10-2024
11,Bangalore,Jowar(Sorghum),2500,3500,3000,11-03-2024
12,Bangalore,Jowar(Sorghum),2500,3500,3000,12-03-2024
13,Bangalore,Jowar(Sorghum),2500,3500,3000,13-03-2024
14,Bangalore,Jowar(Sorghum),2500,3500,3000,14-03-2024
15,Bangalore,Jowar(Sorghum),2500,3500,3000,15-03-2024
16,Bangalore,Jowar(Sorghum),2500,3500,3000,18-03-2024
17,Bangalore,Jowar(Sorghum),2500,3500,3000,20-03-2024
18,Bangalore,Jowar(Sorghum),2500,3500,3000,21-03-2024
19,Bangalore,Jowar(Sorghum),2500,3500,3000,22-03-2024
20,Bangalore,Jowar(Sorghum),2500,3500,3000,25-03-2024
21,Bangalore,Jowar(Sorghum),2500,3500,3000,26-03-2024
22,Bangalore,Jowar(Sorghum),2500,3500,3000,27-03-2024
23,Bangalore,Jowar(Sorghum),2800,3400,3100,02-12-2024
24,Bangalore,Jowar(Sorghum),2800,3400,3100,03-12-2024
25,Bangalore,Jowar(Sorghum),2800,3400,3100,04-12-2024
26,Bangalore,Jowar(Sorghum),2800,3400,3100,06-12-2024
27,Bangalore,Jowar(Sorghum),2800,3400,3100,07-12-2024
28,Bangalore,Jowar(Sorghum),2800,3400,3100,16-12-2024
29,Bangalore,Jowar(Sorghum),2800,3400,3100,17-12-2024
30,Bangalore,Jowar(Sorghum),2800,3400,3100,19-12-2024
31,Bangalore,Jowar(Sorghum),2800,3400,3100,20-12-2024
32,Bangalore,Jowar(Sorghum),2800,3400,3100,21-12-2024
33,Bangalore,Jowar(Sorghum),2800,3400,3100,23-12-2024
34,Bangalore,Jowar(Sorghum),2800,3400,3100,24-12-2024
35,Bangalore,Jowar(Sorghum),2800,3400,3100,26-12-2024
36,Bangalore,Jowar(Sorghum),2800,3400,3100,30-12-2024
37,Bangalore,Jowar(Sorghum),2800,3400,3100,31-12-2024
38,Bangalore,Jowar(Sorghum),2800,3600,3200,01-10-2024
39,Bangalore,Jowar(Sorghum),2800,3600,3200,03-10-2024
40,Bangalore,Jowar(Sorghum),2800,3600,3200,07-10-2024
41,Bangalore,Jowar(Sorghum),2800,3600,3200,08-10-2024
42,Bangalore,Jowar(Sorghum),2800,3600,3200,09-10-2024
43,Bangalore,Jowar(Sorghum),2800,3600,3200,10-10-2024
44,Bangalore,Jowar(Sorghum),2800,3600,3200,12-09-2024
45,Bangalore,Jowar(Sorghum),2800,3600,3200,13-09-2024
46,Bangalore,Jowar(Sorghum),2800,3600,3200,14-10-2024
47,Bangalore,Jowar(Sorghum),2800,3600,3200,15-10-2024
48,Bangalore,Jowar(Sorghum),2800,3600,3200,16-10-2024
49,Bangalore,Jowar(Sorghum),2800,3600,3200,17-09-2024
50,Bangalore,Jowar(Sorghum),2800,3600,3200,18-10-2024
51,Bangalore,Jowar(Sorghum),2800,3600,3200,18-09-2024
52,Bangalore,Jowar(Sorghum),2800,3600,3200,19-10-2024
53,Bangalore,Jowar(Sorghum),2800,3600,3200,19-09-2024
54,Bangalore,Jowar(Sorghum),2800,3600,3200,20-09-2024
55,Bangalore,Jowar(Sorghum),2800,3600,3200,21-09-2024
56,Bangalore,Jowar(Sorghum),2800,3600,3200,23-09-2024
57,Bangalore,Jowar(Sorghum),2800,3600,3200,24-09-2024
58,Bangalore,Jowar(Sorghum),2800,3600,3200,25-09-2024
59,Bangalore,Jowar(Sorghum),2800,3600,3200,30-09-2024
60,Bangalore,Jowar(Sorghum),2800,3800,3300,06-05-2024
61,Bangalore,Jowar(Sorghum),2800,3800,3300,07-05-2024
