Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Banaskanth,,Jowar(Sorghum),3000,3000,3000,11-06-2024
2,Banaskanth,,Jowar(Sorghum),3300,3300,3300,27-07-2024
3,Banaskanth,,Jowar(Sorghum),5305,5305,5305,04-01-2024
4,Banaskanth,,Jowar(Sorghum),5305,5305,5305,11-01-2024
5,Banaskanth,,Jowar(Sorghum),5325,5325,5325,05-01-2024
6,Banaskanth,,Jowar(Sorghum),5345,5345,5345,12-01-2024
7,Banaskanth,,Jowar(Sorghum),5350,5350,5350,17-01-2024
8,Banaskanth,,Jowar(Sorghum),5375,5375,5375,05-02-2024
9,Banaskanth,,Jowar(Sorghum),5405,5405,5405,06-01-2024
10,Banaskanth,,Jowar(Sorghum),5455,5455,5455,16-01-2024
11,Banaskanth,,Jowar(Sorghum),2505,2505,2505,12-11-2024
12,Banaskanth,,Jowar(Sorghum),3950,3950,3950,16-08-2024
13,Banaskanth,,Jowar(Sorghum),1750,2500,2120,27-06-2024
14,Banaskanth,,Jowar(Sorghum),2100,2100,2100,25-04-2024
15,Banaskanth,,Jowar(Sorghum),2260,5035,3780,10-07-2024
16,Banaskanth,,Jowar(Sorghum),2300,2650,2475,30-11-2024
17,Banaskanth,,Jowar(Sorghum),2325,2325,2325,03-05-2024
18,Banaskanth,,Jowar(Sorghum),2335,2335,2335,06-09-2024
19,Banaskanth,,Jowar(Sorghum),2360,2360,2360,25-05-2024
20,Banaskanth,,Jowar(Sorghum),2380,2500,2440,28-06-2024
21,Banaskanth,,Jowar(Sorghum),2405,2405,2405,12-11-2024
22,Banaskanth,,Jowar(Sorghum),2410,2410,2410,20-09-2024
23,Banaskanth,,Jowar(Sorghum),2500,2500,2500,25-10-2024
24,Banaskanth,,Jowar(Sorghum),2505,2505,2505,09-03-2024
25,Banaskanth,,Jowar(Sorghum),2505,2505,2505,22-03-2024
26,Banaskanth,,Jowar(Sorghum),2515,2515,2515,18-07-2024
27,Banaskanth,,Jowar(Sorghum),2550,2550,2550,26-07-2024
28,Banaskanth,,Jowar(Sorghum),2560,2560,2560,24-10-2024
29,Banaskanth,,Jowar(Sorghum),2600,2600,2600,09-08-2024
30,Banaskanth,,Jowar(Sorghum),2625,2625,2625,20-11-2024
31,Banaskanth,,Jowar(Sorghum),2630,2630,2630,28-11-2024
32,Banaskanth,,Jowar(Sorghum),2700,3225,2990,23-07-2024
33,Banaskanth,,Jowar(Sorghum),2800,2800,2800,29-01-2024
34,Banaskanth,,Jowar(Sorghum),2850,2850,2850,23-01-2024
35,Banaskanth,,Jowar(Sorghum),3000,3000,3000,21-09-2024
36,Banaskanth,,Jowar(Sorghum),3110,3110,3110,12-03-2024
37,Banaskanth,,Jowar(Sorghum),3125,3125,3125,24-07-2024
38,Banaskanth,,Jowar(Sorghum),3250,3250,3250,15-07-2024
39,Banaskanth,,Jowar(Sorghum),3400,3400,3400,10-12-2024
40,Banaskanth,,Jowar(Sorghum),3470,3470,3470,19-10-2024
41,Banaskanth,,Jowar(Sorghum),3540,3540,3540,06-07-2024
42,Banaskanth,,Jowar(Sorghum),3800,3800,3800,22-07-2024
43,Banaskanth,,Jowar(Sorghum),4000,4000,4000,11-03-2024
44,Banaskanth,,Jowar(Sorghum),4255,4255,4255,15-06-2024
45,Banaskanth,,Jowar(Sorghum),4500,4500,4500,16-07-2024
46,Banaskanth,,Jowar(Sorghum),4755,4755,4755,20-01-2024
47,Banaskanth,,Jowar(Sorghum),4800,4800,4800,24-01-2024
48,Banaskanth,,Jowar(Sorghum),4930,4930,4930,09-07-2024
49,Banaskanth,,Jowar(Sorghum),4000,5055,4527,18-12-2024
50,Banaskanth,,Jowar(Sorghum),4000,5105,4552,19-12-2024
51,Banaskanth,,Jowar(Sorghum),4055,5105,4580,23-12-2024
52,Banaskanth,,Jowar(Sorghum),4255,5155,4705,20-12-2024
53,Banaskanth,,Jowar(Sorghum),4275,5150,4712,27-12-2024
54,Banaskanth,,Jowar(Sorghum),4350,4805,4577,26-11-2024
55,Banaskanth,,Jowar(Sorghum),4400,5115,4757,25-12-2024
56,Banaskanth,,Jowar(Sorghum),4450,5085,4767,17-12-2024
57,Banaskanth,,Jowar(Sorghum),4500,4925,4712,13-12-2024
58,Banaskanth,,Jowar(Sorghum),4500,5605,5052,26-02-2024
59,Banaskanth,,Jowar(Sorghum),4520,5005,4762,28-11-2024
60,Banaskanth,,Jowar(Sorghum),4555,4970,4762,14-12-2024
61,Banaskanth,,Jowar(Sorghum),4650,5050,4850,16-08-2024
62,Banaskanth,,Jowar(Sorghum),4650,5080,4865,28-12-2024
63,Banaskanth,,Jowar(Sorghum),4660,5120,4890,30-11-2024
64,Banaskanth,,Jowar(Sorghum),4665,5125,4895,26-12-2024
65,Banaskanth,,Jowar(Sorghum),4725,5105,4915,24-12-2024
66,Banaskanth,,Jowar(Sorghum),4750,5155,4952,31-12-2024
67,Banaskanth,,Jowar(Sorghum),4750,5375,5062,21-02-2024
68,Banaskanth,,Jowar(Sorghum),4755,5130,4942,29-11-2024
69,Banaskanth,,Jowar(Sorghum),4755,5805,5280,30-01-2024
70,Banaskanth,,Jowar(Sorghum),4775,5300,5037,22-08-2024
71,Banaskanth,,Jowar(Sorghum),4800,5005,4902,16-12-2024
72,Banaskanth,,Jowar(Sorghum),4805,5175,4990,24-07-2024
73,Banaskanth,,Jowar(Sorghum),4850,5055,4952,29-07-2024
74,Banaskanth,,Jowar(Sorghum),4850,5140,4995,02-08-2024
75,Banaskanth,,Jowar(Sorghum),4850,5180,5015,30-12-2024
76,Banaskanth,,Jowar(Sorghum),4875,5205,5040,17-08-2024
77,Banaskanth,,Jowar(Sorghum),4900,4955,4927,27-11-2024
78,Banaskanth,,Jowar(Sorghum),4900,5300,5100,21-08-2024
79,Banaskanth,,Jowar(Sorghum),4900,5335,5117,27-02-2024
80,Banaskanth,,Jowar(Sorghum),4975,5355,5165,20-08-2024
81,Banaskanth,,Jowar(Sorghum),5000,5055,5027,20-07-2024
82,Banaskanth,,Jowar(Sorghum),5000,5075,5037,01-08-2024
83,Banaskanth,,Jowar(Sorghum),5000,5465,5232,03-07-2024
84,Banaskanth,,Jowar(Sorghum),5000,5605,5303,03-01-2024
85,Banaskanth,,Jowar(Sorghum),5025,5105,5065,27-07-2024
86,Banaskanth,,Jowar(Sorghum),5035,5225,5130,23-07-2024
87,Banaskanth,,Jowar(Sorghum),5055,5125,5090,21-12-2024
88,Banaskanth,,Jowar(Sorghum),5055,5325,5190,08-07-2024
89,Banaskanth,,Jowar(Sorghum),5055,5450,5253,17-01-2024
90,Banaskanth,,Jowar(Sorghum),5055,5500,5278,15-01-2024
91,Banaskanth,,Jowar(Sorghum),5055,5525,5290,06-01-2024
92,Banaskanth,,Jowar(Sorghum),5055,5595,5325,10-01-2024
93,Banaskanth,,Jowar(Sorghum),5065,5475,5270,29-06-2024
94,Banaskanth,,Jowar(Sorghum),5075,5300,5187,05-03-2024
95,Banaskanth,,Jowar(Sorghum),5105,5565,5335,12-01-2024
96,Banaskanth,,Jowar(Sorghum),5125,5150,5137,19-07-2024
97,Banaskanth,,Jowar(Sorghum),5125,5200,5162,13-07-2024
98,Banaskanth,,Jowar(Sorghum),5125,5610,5368,04-01-2024
99,Banaskanth,,Jowar(Sorghum),5130,5325,5227,12-03-2024
100,Banaskanth,,Jowar(Sorghum),5155,5275,5215,28-02-2024
101,Banaskanth,,Jowar(Sorghum),5200,5200,5200,06-03-2024
102,Banaskanth,,Jowar(Sorghum),5200,5500,5350,20-02-2024
103,Banaskanth,,Jowar(Sorghum),5200,5655,5427,22-02-2024
104,Banaskanth,,Jowar(Sorghum),5200,5675,5437,07-02-2024
105,Banaskanth,,Jowar(Sorghum),5210,5275,5242,15-07-2024
106,Banaskanth,,Jowar(Sorghum),5210,5275,5242,17-07-2024
