Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Belgaum,Jowar(Sorghum),1900,2100,2030,13-09-2024
2,Belgaum,Jowar(Sorghum),3000,4000,3500,01-08-2024
3,Belgaum,Jowar(Sorghum),3000,4000,3500,02-09-2024
4,Belgaum,Jowar(Sorghum),3000,4000,3500,03-08-2024
5,Belgaum,Jowar(Sorghum),3000,4000,3500,03-07-2024
6,Belgaum,Jowar(Sorghum),3000,4000,3500,04-07-2024
7,Belgaum,Jowar(Sorghum),3000,4000,3500,04-09-2024
8,Belgaum,Jowar(Sorghum),3000,4000,3500,05-09-2024
9,Belgaum,Jowar(Sorghum),3000,4000,3500,06-08-2024
10,Belgaum,Jowar(Sorghum),3000,4000,3500,06-07-2024
11,Belgaum,Jowar(Sorghum),3000,4000,3500,06-09-2024
12,Belgaum,Jowar(Sorghum),3000,4000,3500,10-08-2024
13,Belgaum,Jowar(Sorghum),3000,4000,3500,11-07-2024
14,Belgaum,Jowar(Sorghum),3000,4000,3500,11-09-2024
15,Belgaum,Jowar(Sorghum),3000,4000,3500,12-07-2024
16,Belgaum,Jowar(Sorghum),3000,4000,3500,12-09-2024
17,Belgaum,Jowar(Sorghum),3000,4000,3500,13-09-2024
18,Belgaum,Jowar(Sorghum),3000,4000,3500,15-07-2024
19,Belgaum,Jowar(Sorghum),3000,4000,3500,16-08-2024
20,Belgaum,Jowar(Sorghum),3000,4000,3500,19-08-2024
21,Belgaum,Jowar(Sorghum),3000,4000,3500,19-07-2024
22,Belgaum,Jowar(Sorghum),3000,4000,3500,20-08-2024
23,Belgaum,Jowar(Sorghum),3000,4000,3500,20-07-2024
24,Belgaum,Jowar(Sorghum),3000,4000,3500,22-08-2024
25,Belgaum,Jowar(Sorghum),3000,4000,3500,22-07-2024
26,Belgaum,Jowar(Sorghum),3000,4000,3500,23-07-2024
27,Belgaum,Jowar(Sorghum),3000,4000,3500,24-08-2024
28,Belgaum,Jowar(Sorghum),3000,4000,3500,25-07-2024
29,Belgaum,Jowar(Sorghum),3000,4000,3500,26-06-2024
30,Belgaum,Jowar(Sorghum),3000,4000,3500,29-08-2024
31,Belgaum,Jowar(Sorghum),3000,4000,3500,29-07-2024
32,Belgaum,Jowar(Sorghum),3000,4000,3500,29-06-2024
33,Belgaum,Jowar(Sorghum),3000,4000,3500,29-10-2024
34,Belgaum,Jowar(Sorghum),3000,4000,3500,31-08-2024
35,Belgaum,Jowar(Sorghum),3000,4200,3800,02-10-2024
36,Belgaum,Jowar(Sorghum),3000,4200,3800,04-12-2024
37,Belgaum,Jowar(Sorghum),3000,4200,3800,04-10-2024
38,Belgaum,Jowar(Sorghum),3000,4200,3800,06-12-2024
39,Belgaum,Jowar(Sorghum),3000,4200,3800,07-10-2024
40,Belgaum,Jowar(Sorghum),3000,4200,3800,08-10-2024
41,Belgaum,Jowar(Sorghum),3000,4200,3800,09-10-2024
42,Belgaum,Jowar(Sorghum),3000,4200,3800,14-11-2024
43,Belgaum,Jowar(Sorghum),3000,4200,3800,14-10-2024
44,Belgaum,Jowar(Sorghum),3000,4200,3800,14-09-2024
45,Belgaum,Jowar(Sorghum),3000,4200,3800,15-11-2024
46,Belgaum,Jowar(Sorghum),3000,4200,3800,15-10-2024
47,Belgaum,Jowar(Sorghum),3000,4200,3800,16-11-2024
48,Belgaum,Jowar(Sorghum),3000,4200,3800,19-10-2024
49,Belgaum,Jowar(Sorghum),3000,4200,3800,19-09-2024
50,Belgaum,Jowar(Sorghum),3000,4200,3800,21-09-2024
51,Belgaum,Jowar(Sorghum),3000,4200,3800,25-10-2024
52,Belgaum,Jowar(Sorghum),3000,4200,3800,25-09-2024
53,Belgaum,Jowar(Sorghum),3000,4200,3800,26-10-2024
54,Belgaum,Jowar(Sorghum),3000,4200,3800,27-11-2024
55,Belgaum,Jowar(Sorghum),3000,5200,4500,08-12-2024
56,Belgaum,Jowar(Sorghum),3000,5200,4500,09-12-2024
57,Belgaum,Jowar(Sorghum),3000,5200,4500,12-12-2024
58,Belgaum,Jowar(Sorghum),3000,5200,4500,13-12-2024
59,Belgaum,Jowar(Sorghum),3000,5200,4500,16-12-2024
60,Belgaum,Jowar(Sorghum),3000,5200,4500,20-12-2024
61,Belgaum,Jowar(Sorghum),3000,5200,4500,27-12-2024
62,Belgaum,Jowar(Sorghum),3000,5200,4500,28-12-2024
63,Belgaum,Jowar(Sorghum),4000,6000,5000,01-03-2024
64,Belgaum,Jowar(Sorghum),4000,6000,5000,02-04-2024
65,Belgaum,Jowar(Sorghum),4000,6000,5000,02-03-2024
66,Belgaum,Jowar(Sorghum),4000,6000,5000,03-04-2024
67,Belgaum,Jowar(Sorghum),4000,6000,5000,03-05-2024
68,Belgaum,Jowar(Sorghum),4000,6000,5000,05-04-2024
69,Belgaum,Jowar(Sorghum),4000,6000,5000,05-06-2024
70,Belgaum,Jowar(Sorghum),4000,6000,5000,05-03-2024
71,Belgaum,Jowar(Sorghum),4000,6000,5000,06-04-2024
72,Belgaum,Jowar(Sorghum),4000,6000,5000,06-03-2024
73,Belgaum,Jowar(Sorghum),4000,6000,5000,07-06-2024
74,Belgaum,Jowar(Sorghum),4000,6000,5000,08-06-2024
75,Belgaum,Jowar(Sorghum),4000,6000,5000,11-05-2024
76,Belgaum,Jowar(Sorghum),4000,6000,5000,13-06-2024
77,Belgaum,Jowar(Sorghum),4000,6000,5000,13-03-2024
78,Belgaum,Jowar(Sorghum),4000,6000,5000,15-06-2024
79,Belgaum,Jowar(Sorghum),4000,6000,5000,15-03-2024
80,Belgaum,Jowar(Sorghum),4000,6000,5000,16-03-2024
81,Belgaum,Jowar(Sorghum),4000,6000,5000,16-05-2024
