Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bellary,Jowar(Sorghum),1809,2436,2087,22-10-2024
2,Bellary,Jowar(Sorghum),1839,2649,2082,27-03-2024
3,Bellary,Jowar(Sorghum),2636,3346,2828,31-05-2024
4,Bellary,Jowar(Sorghum),717,2255,2128,26-10-2024
5,Bellary,Jowar(Sorghum),1849,3587,2602,13-05-2024
6,Bellary,Jowar(Sorghum),2475,2548,2499,13-06-2024
7,Bellary,Jowar(Sorghum),1009,3463,2342,12-03-2024
8,Bellary,Jowar(Sorghum),1122,2274,2021,27-11-2024
9,Bellary,Jowar(Sorghum),1130,3551,2476,16-03-2024
10,Bellary,Jowar(Sorghum),1200,2635,2281,31-08-2024
11,Bellary,Jowar(Sorghum),1234,3217,2515,26-01-2024
12,Bellary,Jowar(Sorghum),1239,2653,2357,15-03-2024
13,Bellary,Jowar(Sorghum),1255,2659,2521,26-06-2024
14,Bellary,Jowar(Sorghum),1300,2281,2120,20-09-2024
15,Bellary,Jowar(Sorghum),1315,3333,2328,02-04-2024
16,Bellary,Jowar(Sorghum),1345,2680,2164,18-04-2024
17,Bellary,Jowar(Sorghum),1345,2829,2306,03-05-2024
18,Bellary,Jowar(Sorghum),1389,3840,2551,18-03-2024
19,Bellary,Jowar(Sorghum),1396,3266,2567,30-04-2024
20,Bellary,Jowar(Sorghum),1415,3216,2460,01-04-2024
21,Bellary,Jowar(Sorghum),1456,2930,2498,29-01-2024
22,Bellary,Jowar(Sorghum),1459,2267,1867,12-11-2024
23,Bellary,Jowar(Sorghum),1469,2556,2110,17-09-2024
24,Bellary,Jowar(Sorghum),1501,3119,2533,22-01-2024
25,Bellary,Jowar(Sorghum),1513,2945,2518,24-06-2024
26,Bellary,Jowar(Sorghum),1515,3250,2433,20-02-2024
27,Bellary,Jowar(Sorghum),1516,3236,2470,24-01-2024
28,Bellary,Jowar(Sorghum),1516,3581,2530,16-02-2024
29,Bellary,Jowar(Sorghum),1519,3150,2529,27-02-2024
30,Bellary,Jowar(Sorghum),1539,2639,2325,26-03-2024
31,Bellary,Jowar(Sorghum),1567,3125,2486,28-02-2024
32,Bellary,Jowar(Sorghum),1567,3190,2514,23-01-2024
33,Bellary,Jowar(Sorghum),1567,3415,2641,10-01-2024
34,Bellary,Jowar(Sorghum),1569,2329,2159,04-11-2024
35,Bellary,Jowar(Sorghum),1569,3133,2487,31-01-2024
36,Bellary,Jowar(Sorghum),1589,3900,2811,02-01-2024
37,Bellary,Jowar(Sorghum),1600,3350,2449,11-03-2024
38,Bellary,Jowar(Sorghum),1600,3441,2460,12-02-2024
39,Bellary,Jowar(Sorghum),1617,2380,2266,23-12-2024
40,Bellary,Jowar(Sorghum),1619,2389,2187,16-09-2024
41,Bellary,Jowar(Sorghum),1619,4019,2482,13-03-2024
42,Bellary,Jowar(Sorghum),1625,2282,2130,18-09-2024
43,Bellary,Jowar(Sorghum),1652,2129,1717,06-11-2024
44,Bellary,Jowar(Sorghum),1669,5000,2422,30-01-2024
45,Bellary,Jowar(Sorghum),1678,2304,2183,15-10-2024
46,Bellary,Jowar(Sorghum),1679,2830,2028,10-05-2024
47,Bellary,Jowar(Sorghum),1689,3465,2503,22-05-2024
48,Bellary,Jowar(Sorghum),1700,2276,2168,23-09-2024
49,Bellary,Jowar(Sorghum),1701,2216,2104,26-11-2024
50,Bellary,Jowar(Sorghum),1701,3601,2425,30-03-2024
51,Bellary,Jowar(Sorghum),1709,2831,2454,19-06-2024
52,Bellary,Jowar(Sorghum),1709,3181,2478,05-03-2024
53,Bellary,Jowar(Sorghum),1709,3389,2465,10-02-2024
54,Bellary,Jowar(Sorghum),1718,3203,2340,12-09-2024
55,Bellary,Jowar(Sorghum),1719,3156,2444,01-02-2024
56,Bellary,Jowar(Sorghum),1719,3540,2416,28-03-2024
57,Bellary,Jowar(Sorghum),1720,3434,2717,06-01-2024
58,Bellary,Jowar(Sorghum),1726,3146,2580,20-06-2024
59,Bellary,Jowar(Sorghum),1726,3439,2452,18-06-2024
60,Bellary,Jowar(Sorghum),1739,2256,2086,19-09-2024
61,Bellary,Jowar(Sorghum),1739,3210,2473,06-03-2024
62,Bellary,Jowar(Sorghum),1739,3366,2389,15-04-2024
63,Bellary,Jowar(Sorghum),1762,3100,2501,25-01-2024
64,Bellary,Jowar(Sorghum),1766,3371,2474,05-02-2024
65,Bellary,Jowar(Sorghum),1769,2301,2210,24-09-2024
66,Bellary,Jowar(Sorghum),1769,2422,2265,03-10-2024
67,Bellary,Jowar(Sorghum),1778,2426,2124,28-10-2024
68,Bellary,Jowar(Sorghum),1779,2254,2138,21-09-2024
69,Bellary,Jowar(Sorghum),1786,2342,2252,07-10-2024
70,Bellary,Jowar(Sorghum),1786,3090,2295,23-04-2024
71,Bellary,Jowar(Sorghum),1786,3162,2484,27-01-2024
72,Bellary,Jowar(Sorghum),1786,3334,2268,09-05-2024
73,Bellary,Jowar(Sorghum),1786,3537,2593,12-01-2024
74,Bellary,Jowar(Sorghum),1789,2305,2166,25-09-2024
75,Bellary,Jowar(Sorghum),1789,2459,2380,10-09-2024
76,Bellary,Jowar(Sorghum),1789,2465,2140,10-10-2024
77,Bellary,Jowar(Sorghum),1796,3629,2405,17-02-2024
78,Bellary,Jowar(Sorghum),1796,5444,2444,02-02-2024
79,Bellary,Jowar(Sorghum),1800,3489,2570,18-01-2024
80,Bellary,Jowar(Sorghum),1801,2860,2296,16-04-2024
81,Bellary,Jowar(Sorghum),1805,3366,2497,13-02-2024
82,Bellary,Jowar(Sorghum),1806,3439,2663,09-01-2024
83,Bellary,Jowar(Sorghum),1809,2856,2459,06-04-2024
84,Bellary,Jowar(Sorghum),1810,3510,2679,13-01-2024
85,Bellary,Jowar(Sorghum),1819,2387,2246,01-10-2024
86,Bellary,Jowar(Sorghum),1819,4101,2597,19-01-2024
87,Bellary,Jowar(Sorghum),1822,2682,2260,26-09-2024
88,Bellary,Jowar(Sorghum),1829,2456,2229,30-09-2024
89,Bellary,Jowar(Sorghum),1850,3109,2496,06-02-2024
90,Bellary,Jowar(Sorghum),1850,3609,2430,07-06-2024
91,Bellary,Jowar(Sorghum),1852,2352,2189,08-10-2024
92,Bellary,Jowar(Sorghum),1859,2745,2360,29-08-2024
