Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Indore,Jowar(Sorghum),1950,1950,1950,02-08-2024
2,Indore,Jowar(Sorghum),1744,1744,1744,18-03-2024
3,Indore,Jowar(Sorghum),1790,1790,1790,22-03-2024
4,Indore,Jowar(Sorghum),1891,1891,1891,25-06-2024
5,Indore,Jowar(Sorghum),1945,1945,1945,14-05-2024
6,Indore,Jowar(Sorghum),1950,1950,1950,26-08-2024
7,Indore,Jowar(Sorghum),1955,1955,1955,07-05-2024
8,Indore,Jowar(Sorghum),1962,1962,1962,21-05-2024
9,Indore,Jowar(Sorghum),1995,1995,1995,22-06-2024
10,Indore,Jowar(Sorghum),2000,2000,2000,03-04-2024
11,Indore,Jowar(Sorghum),2000,2000,2000,09-10-2024
12,Indore,Jowar(Sorghum),2000,2000,2000,14-03-2024
13,Indore,Jowar(Sorghum),2010,2010,2010,13-11-2024
14,Indore,Jowar(Sorghum),2013,2013,2013,28-07-2024
15,Indore,Jowar(Sorghum),2025,2025,2025,17-06-2024
16,Indore,Jowar(Sorghum),2035,2035,2035,05-08-2024
17,Indore,Jowar(Sorghum),2038,2038,2038,16-07-2024
18,Indore,Jowar(Sorghum),2040,2040,2040,01-08-2024
19,Indore,Jowar(Sorghum),2051,2051,2051,07-03-2024
20,Indore,Jowar(Sorghum),2060,2060,2060,17-12-2024
21,Indore,Jowar(Sorghum),2071,2071,2071,21-12-2024
22,Indore,Jowar(Sorghum),2091,2091,2091,29-06-2024
23,Indore,Jowar(Sorghum),2095,2095,2095,30-08-2024
24,Indore,Jowar(Sorghum),2125,2125,2125,07-09-2024
25,Indore,Jowar(Sorghum),2125,2125,2125,25-11-2024
26,Indore,Jowar(Sorghum),2136,2136,2136,17-07-2024
27,Indore,Jowar(Sorghum),2145,2830,2830,07-10-2024
28,Indore,Jowar(Sorghum),2185,2185,2185,28-08-2024
29,Indore,Jowar(Sorghum),2185,2185,2185,30-09-2024
30,Indore,Jowar(Sorghum),2190,2190,2190,20-08-2024
31,Indore,Jowar(Sorghum),2194,2194,2194,23-08-2024
32,Indore,Jowar(Sorghum),2200,2200,2200,27-01-2024
33,Indore,Jowar(Sorghum),2215,2215,2215,27-09-2024
34,Indore,Jowar(Sorghum),2225,2225,2225,17-09-2024
35,Indore,Jowar(Sorghum),2250,2422,2422,06-03-2024
36,Indore,Jowar(Sorghum),2300,2300,2300,19-12-2024
37,Indore,Jowar(Sorghum),2300,2300,2300,30-12-2024
38,Indore,Jowar(Sorghum),2375,2375,2375,08-07-2024
39,Indore,Jowar(Sorghum),2401,2800,2800,05-07-2024
40,Indore,Jowar(Sorghum),2421,2421,2421,11-07-2024
41,Indore,Jowar(Sorghum),2425,2425,2425,15-07-2024
42,Indore,Jowar(Sorghum),2475,2475,2475,20-07-2024
43,Indore,Jowar(Sorghum),2500,2500,2500,19-11-2024
44,Indore,Jowar(Sorghum),2600,2600,2600,27-06-2024
45,Indore,Jowar(Sorghum),2731,2731,2731,12-06-2024
46,Indore,Jowar(Sorghum),2770,2770,2770,11-09-2024
47,Indore,Jowar(Sorghum),2800,2800,2800,29-10-2024
48,Indore,Jowar(Sorghum),2811,2811,2811,26-10-2024
49,Indore,Jowar(Sorghum),2850,2850,2850,02-07-2024
50,Indore,Jowar(Sorghum),2870,2870,2870,04-12-2024
51,Indore,Jowar(Sorghum),3000,3000,3000,16-03-2024
52,Indore,Jowar(Sorghum),2401,2401,2401,27-07-2024
53,Indore,Jowar(Sorghum),2550,2550,2550,09-08-2024
54,Indore,Jowar(Sorghum),2090,2090,2090,10-05-2024
55,Indore,Jowar(Sorghum),2150,2150,2150,28-05-2024
56,Indore,Jowar(Sorghum),2175,2175,2175,28-06-2024
57,Indore,Jowar(Sorghum),2199,2199,2199,19-11-2024
58,Indore,Jowar(Sorghum),2200,2200,2200,21-10-2024
59,Indore,Jowar(Sorghum),2225,2225,2225,16-08-2024
60,Indore,Jowar(Sorghum),2325,2325,2325,30-08-2024
61,Indore,Jowar(Sorghum),2400,2400,2400,25-09-2024
