Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Jodhpur,Jowar(Sorghum),2700,3200,2950,08-11-2024
2,Jodhpur,Jowar(Sorghum),2780,3600,3190,16-11-2024
3,Jodhpur,Jowar(Sorghum),2800,2900,2850,17-07-2024
4,Jodhpur,Jowar(Sorghum),2800,3200,3000,05-11-2024
5,Jodhpur,Jowar(Sorghum),2800,3200,3000,29-04-2024
6,Jodhpur,Jowar(Sorghum),2800,3300,3050,07-11-2024
7,Jodhpur,Jowar(Sorghum),2800,3400,3100,17-10-2024
8,Jodhpur,Jowar(Sorghum),2800,3400,3100,25-10-2024
9,Jodhpur,Jowar(Sorghum),2800,3500,3150,02-09-2024
10,Jodhpur,Jowar(Sorghum),2800,3500,3150,03-09-2024
11,Jodhpur,Jowar(Sorghum),2800,3500,3150,06-05-2024
12,Jodhpur,Jowar(Sorghum),2800,3500,3150,07-06-2024
13,Jodhpur,Jowar(Sorghum),2800,3500,3150,11-10-2024
14,Jodhpur,Jowar(Sorghum),2800,3500,3150,12-11-2024
15,Jodhpur,Jowar(Sorghum),2800,3500,3150,14-10-2024
16,Jodhpur,Jowar(Sorghum),2800,3500,3150,19-05-2024
17,Jodhpur,Jowar(Sorghum),2800,3500,3150,19-09-2024
18,Jodhpur,Jowar(Sorghum),2800,3500,3150,22-05-2024
19,Jodhpur,Jowar(Sorghum),2800,3500,3150,31-08-2024
20,Jodhpur,Jowar(Sorghum),2800,3550,3175,08-02-2024
21,Jodhpur,Jowar(Sorghum),2800,3570,3185,25-11-2024
22,Jodhpur,Jowar(Sorghum),2800,3580,3190,01-12-2024
23,Jodhpur,Jowar(Sorghum),2800,3580,3190,08-12-2024
24,Jodhpur,Jowar(Sorghum),2800,3580,3190,09-12-2024
25,Jodhpur,Jowar(Sorghum),2800,3580,3190,14-12-2024
26,Jodhpur,Jowar(Sorghum),2800,3580,3190,20-11-2024
27,Jodhpur,Jowar(Sorghum),2800,3580,3190,21-11-2024
28,Jodhpur,Jowar(Sorghum),2800,3580,3190,24-04-2024
29,Jodhpur,Jowar(Sorghum),2800,3600,3200,02-04-2024
30,Jodhpur,Jowar(Sorghum),2800,3600,3200,02-12-2024
31,Jodhpur,Jowar(Sorghum),2800,3600,3200,03-12-2024
