Sl no.,Centre Name,,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Latur,,Jowar(Sorghum),1400,2900,2261,16-05-2024
2,Latur,,Jowar(Sorghum),1500,2100,1800,18-10-2024
3,Latur,,Jowar(Sorghum),1700,2150,2000,18-11-2024
4,Latur,,Jowar(Sorghum),1821,1875,1848,02-12-2024
5,Latur,,Jowar(Sorghum),1860,1860,1860,26-10-2024
6,Latur,,Jowar(Sorghum),1900,2335,2145,16-11-2024
7,Latur,,Jowar(Sorghum),2000,2000,2000,13-09-2024
8,Latur,,Jowar(Sorghum),2000,2200,2100,14-05-2024
9,Latur,,Jowar(Sorghum),2000,2371,2157,22-11-2024
10,Latur,,Jowar(Sorghum),2000,2371,2217,03-10-2024
11,Latur,,Jowar(Sorghum),2000,2750,2375,17-05-2024
12,Latur,,Jowar(Sorghum),2000,3100,2496,13-05-2024
13,Latur,,Jowar(Sorghum),2000,3300,2553,07-06-2024
14,Latur,,Jowar(Sorghum),2100,2100,2100,27-06-2024
15,Latur,,Jowar(Sorghum),2100,2500,2301,24-07-2024
16,Latur,,Jowar(Sorghum),2100,2700,2370,29-06-2024
17,Latur,,Jowar(Sorghum),2200,2200,2200,25-10-2024
18,Latur,,Jowar(Sorghum),2211,2300,2256,20-09-2024
19,Latur,,Jowar(Sorghum),2226,2400,2313,15-05-2024
20,Latur,,Jowar(Sorghum),2241,2451,2346,06-12-2024
21,Latur,,Jowar(Sorghum),2250,3031,2640,28-12-2024
22,Latur,,Jowar(Sorghum),2275,2500,2388,19-09-2024
23,Latur,,Jowar(Sorghum),2300,2300,2300,29-08-2024
24,Latur,,Jowar(Sorghum),2300,2452,2401,09-12-2024
25,Latur,,Jowar(Sorghum),2301,2301,2301,25-11-2024
26,Latur,,Jowar(Sorghum),2350,2350,2350,18-12-2024
27,Latur,,Jowar(Sorghum),2351,2351,2351,30-08-2024
28,Latur,,Jowar(Sorghum),2352,2352,2352,04-12-2024
29,Latur,,Jowar(Sorghum),2400,2400,2400,17-12-2024
30,Latur,,Jowar(Sorghum),2400,2400,2400,18-09-2024
31,Latur,,Jowar(Sorghum),2400,2400,2400,20-05-2024
32,Latur,,Jowar(Sorghum),2400,2500,2450,03-12-2024
33,Latur,,Jowar(Sorghum),2400,2600,2500,16-12-2024
34,Latur,,Jowar(Sorghum),2500,2500,2500,23-12-2024
35,Latur,,Jowar(Sorghum),2501,2501,2501,01-01-2025
36,Latur,,Jowar(Sorghum),2501,2501,2501,02-08-2024
37,Latur,,Jowar(Sorghum),2501,2501,2501,10-06-2024
38,Latur,,Jowar(Sorghum),2550,2550,2550,08-06-2024
39,Latur,,Jowar(Sorghum),2600,2600,2600,05-09-2024
40,Latur,,Jowar(Sorghum),2600,2600,2600,07-12-2024
41,Latur,,Jowar(Sorghum),2800,3130,2936,09-05-2024
42,Latur,,Jowar(Sorghum),2801,3500,3150,05-06-2024
43,Latur,,Jowar(Sorghum),2836,2836,2836,26-08-2024
44,Latur,,Jowar(Sorghum),2850,2850,2850,12-07-2024
45,Latur,,Jowar(Sorghum),2900,2900,2900,18-05-2024
46,Latur,,Jowar(Sorghum),2900,2900,2900,22-08-2024
47,Latur,,Jowar(Sorghum),2900,3900,3400,27-05-2024
48,Latur,,Jowar(Sorghum),2930,2930,2930,28-08-2024
49,Latur,,Jowar(Sorghum),3001,3001,3001,20-07-2024
50,Latur,,Jowar(Sorghum),3300,3300,3300,10-07-2024
51,Latur,,Jowar(Sorghum),3500,3500,3500,01-07-2024
52,Latur,,Jowar(Sorghum),3700,3700,3700,31-05-2024
53,Latur,,Jowar(Sorghum),3752,3752,3752,03-07-2024
54,Latur,,Jowar(Sorghum),1000,2211,2001,27-05-2024
55,Latur,,Jowar(Sorghum),1401,2452,2044,18-10-2024
56,Latur,,Jowar(Sorghum),1500,2561,2169,05-12-2024
57,Latur,,Jowar(Sorghum),1500,3101,2336,20-05-2024
58,Latur,,Jowar(Sorghum),1500,3200,2265,30-05-2024
59,Latur,,Jowar(Sorghum),1501,2800,2229,08-07-2024
60,Latur,,Jowar(Sorghum),1600,2212,1982,24-10-2024
61,Latur,,Jowar(Sorghum),1600,2453,2164,19-12-2024
62,Latur,,Jowar(Sorghum),1600,2501,2172,08-06-2024
63,Latur,,Jowar(Sorghum),1600,2552,2276,22-11-2024
64,Latur,,Jowar(Sorghum),1700,2322,2060,25-10-2024
65,Latur,,Jowar(Sorghum),1700,2450,2129,31-07-2024
66,Latur,,Jowar(Sorghum),1700,3174,2344,21-05-2024
67,Latur,,Jowar(Sorghum),1750,3011,2273,22-05-2024
68,Latur,,Jowar(Sorghum),1800,2500,2097,28-12-2024
69,Latur,,Jowar(Sorghum),1800,2500,2226,07-12-2024
70,Latur,,Jowar(Sorghum),1800,2551,2234,09-12-2024
71,Latur,,Jowar(Sorghum),1800,2600,2244,04-06-2024
72,Latur,,Jowar(Sorghum),1800,3100,2365,10-06-2024
73,Latur,,Jowar(Sorghum),1800,3111,2292,24-05-2024
74,Latur,,Jowar(Sorghum),1800,3125,2353,28-05-2024
75,Latur,,Jowar(Sorghum),1800,3251,2392,15-05-2024
76,Latur,,Jowar(Sorghum),1812,2500,2228,06-12-2024
77,Latur,,Jowar(Sorghum),1850,1850,1850,04-05-2024
78,Latur,,Jowar(Sorghum),1851,2511,2182,27-09-2024
79,Latur,,Jowar(Sorghum),1886,2426,2298,12-09-2024
80,Latur,,Jowar(Sorghum),1900,2411,2103,01-01-2025
81,Latur,,Jowar(Sorghum),1900,2500,2149,14-12-2024
82,Latur,,Jowar(Sorghum),1900,3000,2341,01-07-2024
83,Latur,,Jowar(Sorghum),1950,2150,2050,18-05-2024
84,Latur,,Jowar(Sorghum),1950,2501,2346,18-09-2024
85,Latur,,Jowar(Sorghum),1950,2952,2353,14-05-2024
86,Latur,,Jowar(Sorghum),1950,3051,2389,04-07-2024
87,Latur,,Jowar(Sorghum),1951,2200,2067,03-10-2024
88,Latur,,Jowar(Sorghum),1975,2400,2104,23-10-2024
89,Latur,,Jowar(Sorghum),1980,2600,2307,25-11-2024
90,Latur,,Jowar(Sorghum),2000,2000,2000,03-05-2024
91,Latur,,Jowar(Sorghum),2000,2111,2070,06-05-2024
92,Latur,,Jowar(Sorghum),2000,2300,2147,24-12-2024
93,Latur,,Jowar(Sorghum),2000,2350,2057,26-10-2024
94,Latur,,Jowar(Sorghum),2000,2350,2233,13-05-2024
95,Latur,,Jowar(Sorghum),2000,2370,2264,23-08-2024
96,Latur,,Jowar(Sorghum),2000,2401,2180,11-05-2024
97,Latur,,Jowar(Sorghum),2000,2441,2214,09-07-2024
98,Latur,,Jowar(Sorghum),2000,2445,2260,29-08-2024
99,Latur,,Jowar(Sorghum),2000,2500,2267,16-11-2024
100,Latur,,Jowar(Sorghum),2000,2533,2203,23-11-2024
101,Latur,,Jowar(Sorghum),2000,2600,2217,26-12-2024
102,Latur,,Jowar(Sorghum),2000,2622,2182,27-12-2024
103,Latur,,Jowar(Sorghum),2000,2701,2254,13-07-2024
