Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Mahbubnagar,Jowar(Sorghum),1800,2000,1900,06-Feb-24
2,Mahbubnagar,Jowar(Sorghum),1601,1802,1669,18-Sep-24
3,Mahbubnagar,Jowar(Sorghum),1810,2017,1810,23-Sep-24
4,Mahbubnagar,Jowar(Sorghum),2010,2010,2010,05-Nov-24
5,Mahbubnagar,Jowar(Sorghum),2061,2061,2061,05-Dec-24
6,Mahbubnagar,Jowar(Sorghum),2061,2061,2061,06-Dec-24
7,Mahbubnagar,Jowar(Sorghum),2069,2069,2069,04-Oct-24
8,Mahbubnagar,Jowar(Sorghum),2070,4000,2070,25-Sep-24
9,Mahbubnagar,Jowar(Sorghum),2079,2079,2079,07-Oct-24
10,Mahbubnagar,Jowar(Sorghum),2119,2119,2119,30-Sep-24
11,Mahbubnagar,Jowar(Sorghum),2129,2129,2129,01-Oct-24
12,Mahbubnagar,Jowar(Sorghum),2222,2222,2222,21-Sep-24
13,Mahbubnagar,Jowar(Sorghum),2769,5009,2769,20-Sep-24
14,Mahbubnagar,Jowar(Sorghum),3077,3077,3077,22-Nov-24
15,Mahbubnagar,Jowar(Sorghum),3202,3202,3202,26-Nov-24
16,Mahbubnagar,Jowar(Sorghum),4670,4670,4670,03-Dec-24
17,Mahbubnagar,Jowar(Sorghum),4805,4805,4805,23-Dec-24
18,Mahbubnagar,Jowar(Sorghum),1818,2021,2021,06-Oct-24
19,Mahbubnagar,Jowar(Sorghum),1919,1919,1919,29-Nov-24
20,Mahbubnagar,Jowar(Sorghum),1961,1961,1961,10-Nov-24
21,Mahbubnagar,Jowar(Sorghum),2012,2012,2012,20-Oct-24
22,Mahbubnagar,Jowar(Sorghum),2061,2061,2061,06-Nov-24
23,Mahbubnagar,Jowar(Sorghum),1750,2225,2225,23-Sep-24
24,Mahbubnagar,Jowar(Sorghum),1850,4439,3321,10-Jul-24
25,Mahbubnagar,Jowar(Sorghum),1901,1901,1901,12-Jul-24
26,Mahbubnagar,Jowar(Sorghum),2151,2211,2211,04-Jun-24
