Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Medak,Jowar(Sorghum),2000,2300,2150,16-06-2024
2,Medak,Jowar(Sorghum),2200,2200,2200,23-09-2024
3,Medak,Jowar(Sorghum),2300,2300,2300,06-10-2024
4,Medak,Jowar(Sorghum),1515,2136,2030,25-10-2024
5,Medak,Jowar(Sorghum),1616,2580,2401,07-08-2024
6,Medak,Jowar(Sorghum),1855,2403,2340,28-08-2024
7,Medak,Jowar(Sorghum),2000,2609,2304,05-06-2024
8,Medak,Jowar(Sorghum),2011,2011,2011,14-06-2024
9,Medak,Jowar(Sorghum),2051,2222,2222,13-11-2024
10,Medak,Jowar(Sorghum),2100,2100,2100,06-04-2024
11,Medak,Jowar(Sorghum),2111,2111,2111,09-11-2024
12,Medak,Jowar(Sorghum),2121,2651,2155,03-07-2024
13,Medak,Jowar(Sorghum),2125,2351,2351,11-07-2024
14,Medak,Jowar(Sorghum),2150,2304,2304,19-04-2024
15,Medak,Jowar(Sorghum),2150,2466,2150,27-06-2024
16,Medak,Jowar(Sorghum),2151,2151,2151,05-10-2024
17,Medak,Jowar(Sorghum),2151,2151,2151,12-04-2024
18,Medak,Jowar(Sorghum),2155,2400,2211,12-06-2024
19,Medak,Jowar(Sorghum),2158,2201,2158,07-06-2024
20,Medak,Jowar(Sorghum),2161,2313,2161,20-04-2024
21,Medak,Jowar(Sorghum),2175,2200,2175,15-04-2024
22,Medak,Jowar(Sorghum),2175,2211,2211,08-06-2024
23,Medak,Jowar(Sorghum),2175,2261,2261,08-07-2024
24,Medak,Jowar(Sorghum),2178,3200,2178,22-04-2024
25,Medak,Jowar(Sorghum),2185,2241,2185,18-06-2024
26,Medak,Jowar(Sorghum),2189,2412,2412,19-06-2024
27,Medak,Jowar(Sorghum),2200,2275,2200,27-04-2024
28,Medak,Jowar(Sorghum),2201,2201,2201,06-11-2024
29,Medak,Jowar(Sorghum),2202,2222,2202,01-06-2024
30,Medak,Jowar(Sorghum),2205,2205,2205,24-04-2024
31,Medak,Jowar(Sorghum),2206,2206,2206,11-11-2024
32,Medak,Jowar(Sorghum),2207,2207,2207,25-06-2024
33,Medak,Jowar(Sorghum),2209,2350,2350,11-06-2024
34,Medak,Jowar(Sorghum),2213,2350,2350,13-06-2024
35,Medak,Jowar(Sorghum),2215,2451,2215,10-06-2024
36,Medak,Jowar(Sorghum),2221,2275,2275,02-05-2024
37,Medak,Jowar(Sorghum),2222,2222,2222,01-07-2024
38,Medak,Jowar(Sorghum),2222,2241,2241,29-04-2024
39,Medak,Jowar(Sorghum),2222,2424,2424,24-05-2024
40,Medak,Jowar(Sorghum),2222,3637,2401,14-08-2024
41,Medak,Jowar(Sorghum),2223,2223,2223,23-09-2024
42,Medak,Jowar(Sorghum),2227,2605,2227,06-07-2024
43,Medak,Jowar(Sorghum),2229,2229,2229,04-06-2024
