Sl no.,Centre Name,Market Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Shimoga,Bhadravathi,Jowar(Sorghum),3216,3216,3216,19-12-2024
2,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,01-01-2025
3,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,04-11-2024
4,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,05-12-2024
5,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,06-12-2024
6,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,11-11-2024
7,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,14-11-2024
8,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,14-10-2024
9,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,16-12-2024
10,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,19-12-2024
11,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,19-11-2024
12,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,20-12-2024
13,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,24-12-2024
14,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,26-12-2024
15,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,27-11-2024
16,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,30-12-2024
17,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,30-10-2024
18,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3650,31-12-2024
19,Shimoga,Shimoga,Jowar(Sorghum),3000,4300,3750,20-11-2024
20,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3200,07-10-2024
21,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3200,09-10-2024
22,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,02-09-2024
23,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,03-10-2024
24,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,03-09-2024
25,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,04-09-2024
26,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,10-09-2024
27,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,11-09-2024
28,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,12-09-2024
29,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,13-09-2024
30,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,17-09-2024
31,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,19-10-2024
32,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,21-09-2024
33,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,22-08-2024
34,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,24-10-2024
35,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,25-10-2024
36,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,26-08-2024
37,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,29-08-2024
38,Shimoga,Shimoga,Jowar(Sorghum),3000,4800,3900,31-08-2024
39,Shimoga,Shimoga,Jowar(Sorghum),3500,4500,4000,05-02-2024
40,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,3900,20-08-2024
41,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4000,05-08-2024
42,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,01-08-2024
43,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,02-08-2024
44,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,02-07-2024
45,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,05-07-2024
46,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,07-08-2024
47,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,08-07-2024
48,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,11-07-2024
49,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,12-08-2024
50,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,16-08-2024
51,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,18-07-2024
52,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,23-07-2024
53,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4150,24-07-2024
54,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4200,13-08-2024
55,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4200,14-08-2024
56,Shimoga,Shimoga,Jowar(Sorghum),3500,4800,4200,30-07-2024
57,Shimoga,Shimoga,Jowar(Sorghum),3500,5000,3750,13-02-2024
58,Shimoga,Shimoga,Jowar(Sorghum),3500,5000,3750,14-02-2024
59,Shimoga,Shimoga,Jowar(Sorghum),3500,5000,3750,20-02-2024
60,Shimoga,Shimoga,Jowar(Sorghum),3500,5000,4200,06-02-2024
61,Shimoga,Shimoga,Jowar(Sorghum),3500,5000,4200,24-01-2024
62,Shimoga,Shimoga,Jowar(Sorghum),3500,5000,4250,26-02-2024
63,Shimoga,Shimoga,Jowar(Sorghum),3500,5000,4500,22-01-2024
64,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4200,23-04-2024
65,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,04-06-2024
66,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,05-06-2024
67,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,07-06-2024
68,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,09-05-2024
69,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,10-06-2024
70,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,14-05-2024
71,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,15-05-2024
72,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,18-05-2024
73,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,20-04-2024
74,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,21-05-2024
75,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,24-05-2024
76,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,25-04-2024
77,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,28-05-2024
78,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,29-04-2024
79,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4300,30-05-2024
80,Shimoga,Shimoga,Jowar(Sorghum),3600,5000,4500,17-04-2024
81,Shimoga,Shimoga,Jowar(Sorghum),3800,4200,4000,17-12-2024
82,Shimoga,Shimoga,Jowar(Sorghum),3800,4800,4150,15-07-2024
83,Shimoga,Shimoga,Jowar(Sorghum),4000,5000,4500,03-04-2024
84,Shimoga,Shimoga,Jowar(Sorghum),4000,5000,4500,06-04-2024
85,Shimoga,Shimoga,Jowar(Sorghum),4000,5000,4500,08-05-2024
86,Shimoga,Shimoga,Jowar(Sorghum),4000,5000,4500,11-03-2024
