Sl no.,Centre Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Tonk,Jowar(Sorghum),1600,3600,2600,24-07-2024
2,Tonk,Jowar(Sorghum),1600,3700,2650,08-07-2024
3,Tonk,Jowar(Sorghum),1600,3800,2700,10-07-2024
4,Tonk,Jowar(Sorghum),1600,3800,2700,11-07-2024
5,Tonk,Jowar(Sorghum),1600,3800,2700,12-07-2024
6,Tonk,Jowar(Sorghum),1600,3800,2700,13-07-2024
7,Tonk,Jowar(Sorghum),1600,3800,2700,16-07-2024
8,Tonk,Jowar(Sorghum),1600,3800,2700,19-07-2024
9,Tonk,Jowar(Sorghum),1600,3800,2700,22-07-2024
10,Tonk,Jowar(Sorghum),1600,3900,2750,02-07-2024
11,Tonk,Jowar(Sorghum),1600,4100,2850,01-07-2024
12,Tonk,Jowar(Sorghum),1900,3200,2550,10-04-2024
13,Tonk,Jowar(Sorghum),1900,3200,2550,11-04-2024
14,Tonk,Jowar(Sorghum),1900,3200,2550,12-04-2024
15,Tonk,Jowar(Sorghum),1900,3400,2650,16-05-2024
16,Tonk,Jowar(Sorghum),1900,3450,2675,06-05-2024
17,Tonk,Jowar(Sorghum),1900,3450,2675,09-05-2024
18,Tonk,Jowar(Sorghum),1900,3600,2750,21-05-2024
19,Tonk,Jowar(Sorghum),1900,3800,2850,15-04-2024
20,Tonk,Jowar(Sorghum),1900,3900,2900,01-03-2024
21,Tonk,Jowar(Sorghum),1900,3900,2900,02-03-2024
22,Tonk,Jowar(Sorghum),1900,3900,2900,03-05-2024
23,Tonk,Jowar(Sorghum),1900,3900,2900,04-05-2024
24,Tonk,Jowar(Sorghum),1900,3900,2900,11-05-2024
25,Tonk,Jowar(Sorghum),1900,3900,2900,13-05-2024
26,Tonk,Jowar(Sorghum),1900,3900,2900,17-04-2024
27,Tonk,Jowar(Sorghum),1900,3900,2900,19-02-2024
28,Tonk,Jowar(Sorghum),1900,3900,2900,20-02-2024
29,Tonk,Jowar(Sorghum),1900,3900,2900,21-02-2024
30,Tonk,Jowar(Sorghum),1900,3900,2900,24-04-2024
31,Tonk,Jowar(Sorghum),1900,3900,2900,25-04-2024
32,Tonk,Jowar(Sorghum),1900,3900,2900,27-04-2024
33,Tonk,Jowar(Sorghum),1900,3900,2900,28-02-2024
34,Tonk,Jowar(Sorghum),1900,3900,2900,29-04-2024
35,Tonk,Jowar(Sorghum),1900,4000,2950,04-04-2024
36,Tonk,Jowar(Sorghum),1900,4000,2950,05-04-2024
37,Tonk,Jowar(Sorghum),1900,4000,2950,06-04-2024
38,Tonk,Jowar(Sorghum),1900,4000,2950,08-04-2024
39,Tonk,Jowar(Sorghum),1900,4000,2950,09-04-2024
40,Tonk,Jowar(Sorghum),1900,4000,2950,11-03-2024
41,Tonk,Jowar(Sorghum),1900,4000,2950,18-03-2024
42,Tonk,Jowar(Sorghum),1900,4000,2950,20-03-2024
43,Tonk,Jowar(Sorghum),1900,4000,2950,26-03-2024
44,Tonk,Jowar(Sorghum),1900,4000,2950,27-03-2024
45,Tonk,Jowar(Sorghum),1900,4000,2950,27-05-2024
46,Tonk,Jowar(Sorghum),1900,4000,2950,28-03-2024
47,Tonk,Jowar(Sorghum),1900,4000,2950,28-05-2024
48,Tonk,Jowar(Sorghum),1900,4100,3000,06-02-2024
49,Tonk,Jowar(Sorghum),1900,4100,3000,14-02-2024
50,Tonk,Jowar(Sorghum),1900,4100,3000,16-02-2024
51,Tonk,Jowar(Sorghum),1900,4100,3000,17-02-2024
52,Tonk,Jowar(Sorghum),1900,4200,3050,06-03-2024
53,Tonk,Jowar(Sorghum),2000,2500,2250,14-09-2024
54,Tonk,Jowar(Sorghum),2000,2500,2250,19-04-2024
55,Tonk,Jowar(Sorghum),2000,2600,2300,21-09-2024
56,Tonk,Jowar(Sorghum),2000,2800,2400,12-11-2024
57,Tonk,Jowar(Sorghum),2000,2800,2400,15-11-2024
58,Tonk,Jowar(Sorghum),2000,3000,2500,01-10-2024
59,Tonk,Jowar(Sorghum),2000,3000,2500,04-11-2024
60,Tonk,Jowar(Sorghum),2000,3000,2500,06-11-2024
61,Tonk,Jowar(Sorghum),2000,3000,2500,09-11-2024
62,Tonk,Jowar(Sorghum),2000,3000,2500,11-10-2024
63,Tonk,Jowar(Sorghum),2000,3000,2500,12-12-2024
64,Tonk,Jowar(Sorghum),2000,3000,2500,14-11-2024
65,Tonk,Jowar(Sorghum),2000,3000,2500,15-10-2024
66,Tonk,Jowar(Sorghum),2000,3000,2500,18-09-2024
67,Tonk,Jowar(Sorghum),2000,3000,2500,19-12-2024
68,Tonk,Jowar(Sorghum),2000,3000,2500,19-10-2024
69,Tonk,Jowar(Sorghum),2000,3000,2500,20-12-2024
70,Tonk,Jowar(Sorghum),2000,3000,2500,23-12-2024
71,Tonk,Jowar(Sorghum),2000,3000,2500,24-10-2024
72,Tonk,Jowar(Sorghum),2000,3000,2500,24-09-2024
73,Tonk,Jowar(Sorghum),2000,3000,2500,25-10-2024
74,Tonk,Jowar(Sorghum),2000,3000,2500,25-09-2024
75,Tonk,Jowar(Sorghum),2000,3000,2500,27-12-2024
76,Tonk,Jowar(Sorghum),2000,3000,2500,27-09-2024
77,Tonk,Jowar(Sorghum),2000,3000,2500,28-10-2024
78,Tonk,Jowar(Sorghum),2000,3000,2500,29-10-2024
79,Tonk,Jowar(Sorghum),2000,3000,2500,30-04-2024
80,Tonk,Jowar(Sorghum),2000,3000,2600,18-10-2024
81,Tonk,Jowar(Sorghum),2000,3200,2600,05-11-2024
82,Tonk,Jowar(Sorghum),2000,3200,2600,05-10-2024
83,Tonk,Jowar(Sorghum),2000,3200,2600,07-11-2024
84,Tonk,Jowar(Sorghum),2000,3200,2600,07-10-2024
85,Tonk,Jowar(Sorghum),2000,3200,2600,08-11-2024
86,Tonk,Jowar(Sorghum),2000,3200,2600,09-10-2024
87,Tonk,Jowar(Sorghum),2000,3200,2600,11-11-2024
88,Tonk,Jowar(Sorghum),2000,3200,2600,13-12-2024
89,Tonk,Jowar(Sorghum),2000,3200,2600,16-10-2024
90,Tonk,Jowar(Sorghum),2000,3200,2600,17-12-2024
