Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Amritsar,Maize,1750,2040,2040,25-06-2024
2,Amritsar,Maize,1875,2230,2230,01-07-2024
3,Amritsar,Maize,2230,2230,2230,05-07-2024
4,Amritsar,Maize,1180,1200,1200,14-06-2024
5,Amritsar,Maize,1200,1300,1250,16-06-2024
6,Amritsar,Maize,1400,2130,2060,18-06-2024
7,Amritsar,Maize,1430,2150,2150,26-06-2024
8,Amritsar,Maize,1430,2210,2085,25-06-2024
9,Amritsar,Maize,1430,2250,2050,29-06-2024
10,Amritsar,Maize,1430,2300,2150,03-07-2024
11,Amritsar,Maize,1430,2300,2200,11-07-2024
12,Amritsar,Maize,1600,1600,1600,09-06-2024
13,Amritsar,Maize,1600,2150,2050,23-06-2024
14,Amritsar,Maize,1800,1800,1800,23-08-2024
15,Amritsar,Maize,1900,2135,2100,13-06-2024
16,Amritsar,Maize,1900,2150,2060,19-06-2024
17,Amritsar,Maize,1900,2150,2060,20-06-2024
18,Amritsar,Maize,2010,2050,2050,30-06-2024
19,Amritsar,Maize,2050,2210,2050,02-07-2024
20,Amritsar,Maize,2100,2100,2100,06-07-2024
21,Amritsar,Maize,2100,2100,2100,07-07-2024
22,Amritsar,Maize,2150,2150,2150,04-08-2024
23,Amritsar,Maize,2175,2175,2175,04-07-2024
24,Amritsar,Maize,2200,2200,2200,14-07-2024
25,Amritsar,Maize,2200,2200,2200,21-07-2024
26,Amritsar,Maize,2250,2250,2250,28-07-2024
