Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Anantapur,Maize,3000,3200,3100,13-11-2024
2,Anantapur,Maize,3000,3200,3100,15-10-2024
3,Anantapur,Maize,3000,3300,3200,28-10-2024
4,Anantapur,Maize,3500,4500,4000,26-10-2024
5,Anantapur,Maize,3500,5000,4000,25-10-2024
6,Anantapur,Maize,1900,2200,2000,23-12-2024
7,Anantapur,Maize,1900,2200,2000,24-12-2024
8,Anantapur,Maize,1900,2200,2000,26-12-2024
9,Anantapur,Maize,1900,2200,2000,27-12-2024
10,Anantapur,Maize,1900,2200,2000,30-12-2024
11,Anantapur,Maize,1900,2200,2000,31-12-2024
12,Anantapur,Maize,3000,3200,3100,15-10-2024
13,Anantapur,Maize,3000,3200,3100,22-10-2024
14,Anantapur,Maize,3000,3200,3100,29-10-2024
15,Anantapur,Maize,3000,3300,3200,16-11-2024
16,Anantapur,Maize,3000,3500,3200,02-12-2024
17,Anantapur,Maize,3000,3500,3200,03-12-2024
18,Anantapur,Maize,3000,3500,3200,05-12-2024
19,Anantapur,Maize,3000,3500,3200,08-11-2024
20,Anantapur,Maize,3000,3500,3200,10-12-2024
21,Anantapur,Maize,3000,3500,3200,30-11-2024
22,Anantapur,Maize,3000,4000,3500,06-12-2024
23,Anantapur,Maize,3000,4000,3500,07-12-2024
24,Anantapur,Maize,3000,4000,3500,07-11-2024
25,Anantapur,Maize,3000,4000,3500,11-12-2024
26,Anantapur,Maize,3000,4000,3500,13-12-2024
27,Anantapur,Maize,3000,4000,3500,17-12-2024
28,Anantapur,Maize,3000,4000,3500,18-12-2024
29,Anantapur,Maize,3000,4000,3500,19-12-2024
30,Anantapur,Maize,3000,4000,3500,20-12-2024
31,Anantapur,Maize,3000,4000,3500,20-11-2024
32,Anantapur,Maize,3000,4000,3500,21-12-2024
33,Anantapur,Maize,3000,4000,3500,21-11-2024
34,Anantapur,Maize,3000,4000,3500,26-11-2024
35,Anantapur,Maize,3000,4000,3500,27-11-2024
36,Anantapur,Maize,3000,4000,3500,28-11-2024
37,Anantapur,Maize,3000,4000,3500,29-11-2024
38,Anantapur,Maize,3200,3500,3400,12-11-2024
39,Anantapur,Maize,3500,4100,4000,05-11-2024
40,Anantapur,Maize,4000,4500,4200,23-11-2024
41,Anantapur,Maize,2000,2200,2100,06-02-2024
42,Anantapur,Maize,2000,2200,2100,07-02-2024
43,Anantapur,Maize,2000,2200,2100,14-02-2024
44,Anantapur,Maize,2000,2250,2100,08-02-2024
45,Anantapur,Maize,2000,2200,2100,11-02-2024
46,Anantapur,Maize,2000,2200,2100,12-02-2024
47,Anantapur,Maize,2000,2200,2100,13-02-2024
48,Anantapur,Maize,2000,2200,2100,16-02-2024
49,Anantapur,Maize,2000,2200,2100,17-02-2024
50,Anantapur,Maize,2000,2200,2100,24-01-2024
51,Anantapur,Maize,2000,2200,2100,28-02-2024
52,Anantapur,Maize,2100,2300,2200,27-02-2024
53,Anantapur,Maize,1800,2200,2000,24-12-2024
54,Anantapur,Maize,1900,2000,2000,23-12-2024
55,Anantapur,Maize,1900,2200,2000,26-12-2024
56,Anantapur,Maize,1900,2200,2000,27-12-2024
57,Anantapur,Maize,1900,2200,2000,30-12-2024
58,Anantapur,Maize,1900,2200,2000,31-12-2024
59,Anantapur,Maize,2200,3000,2500,28-11-2024
60,Anantapur,Maize,2200,3000,2500,29-11-2024
61,Anantapur,Maize,3000,3500,3200,02-12-2024
62,Anantapur,Maize,3000,3500,3200,03-12-2024
63,Anantapur,Maize,3000,3500,3200,30-11-2024
64,Anantapur,Maize,3000,4000,3500,05-12-2024
65,Anantapur,Maize,3000,4000,3500,06-12-2024
66,Anantapur,Maize,3000,4000,3500,07-12-2024
67,Anantapur,Maize,3000,4000,3500,10-12-2024
68,Anantapur,Maize,3000,4000,3500,11-12-2024
69,Anantapur,Maize,3000,4000,3500,13-12-2024
70,Anantapur,Maize,3000,4000,3500,17-12-2024
71,Anantapur,Maize,3000,4000,3500,18-12-2024
72,Anantapur,Maize,3000,4000,3500,19-12-2024
73,Anantapur,Maize,3000,4000,3500,20-12-2024
74,Anantapur,Maize,3000,4000,3500,21-12-2024
