Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bangalore,Maize,2200,2400,2300,01-01-2024
2,Bangalore,Maize,2200,2400,2300,02-01-2024
3,Bangalore,Maize,2200,2400,2300,04-01-2024
4,Bangalore,Maize,2200,2400,2300,05-01-2024
5,Bangalore,Maize,2200,2400,2300,06-01-2024
6,Bangalore,Maize,2200,2400,2300,09-01-2024
7,Bangalore,Maize,2200,2400,2300,10-01-2024
8,Bangalore,Maize,2200,2500,2350,11-03-2024
9,Bangalore,Maize,2200,2500,2350,12-03-2024
10,Bangalore,Maize,2200,2500,2350,14-03-2024
11,Bangalore,Maize,2200,2500,2350,15-03-2024
12,Bangalore,Maize,2200,2500,2350,18-03-2024
13,Bangalore,Maize,2200,2500,2350,21-03-2024
14,Bangalore,Maize,2200,2500,2350,25-03-2024
15,Bangalore,Maize,2200,2500,2350,26-03-2024
16,Bangalore,Maize,2200,2500,2350,27-03-2024
17,Bangalore,Maize,2200,2500,2350,28-03-2024
18,Bangalore,Maize,2200,2600,2400,01-03-2024
19,Bangalore,Maize,2200,2600,2400,02-03-2024
20,Bangalore,Maize,2200,2600,2400,04-03-2024
21,Bangalore,Maize,2200,2600,2400,05-03-2024
22,Bangalore,Maize,2200,2600,2400,14-02-2024
23,Bangalore,Maize,2200,2600,2400,17-02-2024
24,Bangalore,Maize,2200,2600,2400,19-02-2024
25,Bangalore,Maize,2200,2600,2400,21-02-2024
26,Bangalore,Maize,2200,2600,2400,27-02-2024
27,Bangalore,Maize,2200,2600,2400,29-02-2024
28,Bangalore,Maize,2300,2500,2400,01-02-2024
29,Bangalore,Maize,2300,2500,2400,02-02-2024
30,Bangalore,Maize,2300,2500,2400,03-02-2024
31,Bangalore,Maize,2300,2500,2400,07-02-2024
32,Bangalore,Maize,2300,2500,2400,19-01-2024
33,Bangalore,Maize,2300,2500,2400,20-01-2024
34,Bangalore,Maize,2300,2500,2400,22-01-2024
35,Bangalore,Maize,2300,2500,2400,23-01-2024
36,Bangalore,Maize,2300,2500,2400,24-01-2024
37,Bangalore,Maize,2300,2500,2400,25-01-2024
38,Bangalore,Maize,2300,2500,2400,29-01-2024
39,Bangalore,Maize,2300,2500,2400,30-01-2024
40,Bangalore,Maize,2400,2600,2500,01-01-2025
41,Bangalore,Maize,2400,2600,2500,03-12-2024
42,Bangalore,Maize,2400,2600,2500,04-12-2024
43,Bangalore,Maize,2400,2600,2500,06-12-2024
44,Bangalore,Maize,2400,2600,2500,07-12-2024
45,Bangalore,Maize,2400,2600,2500,16-12-2024
46,Bangalore,Maize,2400,2600,2500,17-12-2024
47,Bangalore,Maize,2400,2600,2500,19-12-2024
48,Bangalore,Maize,2400,2600,2500,20-12-2024
49,Bangalore,Maize,2400,2600,2500,21-12-2024
50,Bangalore,Maize,2400,2600,2500,23-12-2024
51,Bangalore,Maize,2400,2600,2500,24-12-2024
52,Bangalore,Maize,2400,2600,2500,26-12-2024
53,Bangalore,Maize,2400,2600,2500,30-12-2024
54,Bangalore,Maize,2400,2600,2500,31-12-2024
55,Bangalore,Maize,2400,2700,2550,01-08-2024
56,Bangalore,Maize,2400,2700,2550,01-07-2024
57,Bangalore,Maize,2400,2700,2550,01-10-2024
58,Bangalore,Maize,2400,2700,2550,02-08-2024
59,Bangalore,Maize,2400,2700,2550,02-07-2024
60,Bangalore,Maize,2400,2700,2550,03-08-2024
61,Bangalore,Maize,2400,2700,2550,03-07-2024
62,Bangalore,Maize,2400,2700,2550,03-06-2024
63,Bangalore,Maize,2400,2700,2550,03-05-2024
64,Bangalore,Maize,2400,2700,2550,03-10-2024
65,Bangalore,Maize,2400,2700,2550,04-07-2024
66,Bangalore,Maize,2400,2700,2550,04-06-2024
67,Bangalore,Maize,2400,2700,2550,04-11-2024
68,Bangalore,Maize,2400,2700,2550,05-04-2024
69,Bangalore,Maize,2400,2700,2550,05-07-2024
70,Bangalore,Maize,2400,2700,2550,06-08-2024
71,Bangalore,Maize,2400,2700,2550,06-07-2024
72,Bangalore,Maize,2400,2700,2550,06-06-2024
73,Bangalore,Maize,2400,2700,2550,06-05-2024
74,Bangalore,Maize,2400,2700,2550,07-08-2024
75,Bangalore,Maize,2400,2700,2550,07-05-2024
76,Bangalore,Maize,2400,2700,2550,07-11-2024
77,Bangalore,Maize,2400,2700,2550,07-10-2024
78,Bangalore,Maize,2400,2700,2550,08-08-2024
79,Bangalore,Maize,2400,2700,2550,08-11-2024
80,Bangalore,Maize,2400,2700,2550,08-10-2024
81,Bangalore,Maize,2400,2700,2550,09-08-2024
82,Bangalore,Maize,2400,2700,2550,09-07-2024
83,Bangalore,Maize,2400,2700,2550,09-10-2024
84,Bangalore,Maize,2400,2700,2550,09-09-2024
85,Bangalore,Maize,2400,2700,2550,10-07-2024
86,Bangalore,Maize,2400,2700,2550,10-06-2024
87,Bangalore,Maize,2400,2700,2550,10-10-2024
88,Bangalore,Maize,2400,2700,2550,10-09-2024
89,Bangalore,Maize,2400,2700,2550,11-06-2024
90,Bangalore,Maize,2400,2700,2550,11-09-2024
91,Bangalore,Maize,2400,2700,2550,12-06-2024
92,Bangalore,Maize,2400,2700,2550,12-09-2024
93,Bangalore,Maize,2400,2700,2550,13-08-2024
94,Bangalore,Maize,2400,2700,2550,13-05-2024
95,Bangalore,Maize,2400,2700,2550,13-09-2024
96,Bangalore,Maize,2400,2700,2550,14-06-2024
97,Bangalore,Maize,2400,2700,2550,14-05-2024
98,Bangalore,Maize,2400,2700,2550,14-10-2024
99,Bangalore,Maize,2400,2700,2550,15-04-2024
100,Bangalore,Maize,2400,2700,2550,15-07-2024
101,Bangalore,Maize,2400,2700,2550,15-06-2024
102,Bangalore,Maize,2400,2700,2550,15-05-2024
103,Bangalore,Maize,2400,2700,2550,15-10-2024
104,Bangalore,Maize,2400,2700,2550,16-04-2024
105,Bangalore,Maize,2400,2700,2550,16-08-2024
106,Bangalore,Maize,2400,2700,2550,16-05-2024
107,Bangalore,Maize,2400,2700,2550,16-10-2024
108,Bangalore,Maize,2400,2700,2550,17-04-2024
109,Bangalore,Maize,2400,2700,2550,17-08-2024
110,Bangalore,Maize,2400,2700,2550,17-09-2024
111,Bangalore,Maize,2400,2700,2550,18-04-2024
112,Bangalore,Maize,2400,2700,2550,18-06-2024
