Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bharuch,Maize,1700,2100,1900,01-06-2024
2,Bharuch,Maize,1700,2100,1900,02-02-2024
3,Bharuch,Maize,1700,2100,1900,02-03-2024
4,Bharuch,Maize,1700,2100,1900,03-08-2024
5,Bharuch,Maize,1700,2100,1900,04-07-2024
6,Bharuch,Maize,1700,2100,1900,04-05-2024
7,Bharuch,Maize,1700,2100,1900,05-04-2024
8,Bharuch,Maize,1700,2100,1900,06-02-2024
9,Bharuch,Maize,1700,2100,1900,06-01-2024
10,Bharuch,Maize,1700,2100,1900,07-12-2024
11,Bharuch,Maize,1700,2100,1900,07-02-2024
12,Bharuch,Maize,1700,2100,1900,07-06-2024
13,Bharuch,Maize,1700,2100,1900,08-04-2024
14,Bharuch,Maize,1700,2100,1900,08-02-2024
15,Bharuch,Maize,1700,2100,1900,08-05-2024
16,Bharuch,Maize,1700,2100,1900,09-01-2024
17,Bharuch,Maize,1700,2100,1900,10-12-2024
18,Bharuch,Maize,1700,2100,1900,10-01-2024
19,Bharuch,Maize,1700,2100,1900,12-04-2024
20,Bharuch,Maize,1700,2100,1900,12-07-2024
21,Bharuch,Maize,1700,2100,1900,13-06-2024
22,Bharuch,Maize,1700,2100,1900,16-12-2024
23,Bharuch,Maize,1700,2100,1900,16-05-2024
24,Bharuch,Maize,1700,2100,1900,17-01-2024
25,Bharuch,Maize,1700,2100,1900,18-01-2024
26,Bharuch,Maize,1700,2100,1900,19-04-2024
27,Bharuch,Maize,1700,2100,1900,19-12-2024
28,Bharuch,Maize,1700,2100,1900,20-04-2024
29,Bharuch,Maize,1700,2100,1900,20-06-2024
30,Bharuch,Maize,1700,2100,1900,22-04-2024
31,Bharuch,Maize,1700,2100,1900,22-02-2024
32,Bharuch,Maize,1700,2100,1900,22-01-2024
33,Bharuch,Maize,1700,2100,1900,23-02-2024
34,Bharuch,Maize,1700,2100,1900,24-12-2024
35,Bharuch,Maize,1700,2100,1900,24-01-2024
36,Bharuch,Maize,1700,2100,1900,25-06-2024
37,Bharuch,Maize,1700,2100,1900,26-03-2024
38,Bharuch,Maize,1700,2100,1900,26-11-2024
39,Bharuch,Maize,1700,2100,1900,27-02-2024
40,Bharuch,Maize,1700,2100,1900,27-03-2024
41,Bharuch,Maize,1700,2100,1900,27-05-2024
42,Bharuch,Maize,1700,2100,1900,28-12-2024
43,Bharuch,Maize,1700,2100,1900,28-06-2024
44,Bharuch,Maize,1700,2100,1900,29-01-2024
45,Bharuch,Maize,1700,2100,1900,29-06-2024
