Sl no.,District Name,Commodity,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bhiwani,Maize,2250,2250,2250,09-08-2024
2,Bhiwani,Maize,2250,2250,2250,10-08-2024
3,Bhiwani,Maize,2250,2250,2250,11-08-2024
4,Bhiwani,Maize,2250,2250,2250,12-08-2024
5,Bhiwani,Maize,2300,2300,2300,01-08-2024
6,Bhiwani,Maize,2300,2300,2300,02-08-2024
7,Bhiwani,Maize,2300,2300,2300,02-07-2024
8,Bhiwani,Maize,2300,2300,2300,03-07-2024
9,Bhiwani,Maize,2300,2300,2300,04-08-2024
10,Bhiwani,Maize,2300,2300,2300,04-07-2024
11,Bhiwani,Maize,2300,2300,2300,04-06-2024
12,Bhiwani,Maize,2300,2300,2300,05-07-2024
13,Bhiwani,Maize,2300,2300,2300,05-06-2024
14,Bhiwani,Maize,2300,2300,2300,06-07-2024
15,Bhiwani,Maize,2300,2300,2300,07-07-2024
16,Bhiwani,Maize,2300,2300,2300,08-07-2024
17,Bhiwani,Maize,2300,2300,2300,09-07-2024
18,Bhiwani,Maize,2300,2300,2300,10-07-2024
19,Bhiwani,Maize,2300,2300,2300,11-07-2024
20,Bhiwani,Maize,2300,2300,2300,12-07-2024
21,Bhiwani,Maize,2300,2300,2300,13-06-2024
22,Bhiwani,Maize,2300,2300,2300,17-07-2024
23,Bhiwani,Maize,2300,2300,2300,21-08-2024
24,Bhiwani,Maize,2300,2300,2300,22-08-2024
25,Bhiwani,Maize,2300,2300,2300,24-08-2024
26,Bhiwani,Maize,2300,2300,2300,24-06-2024
27,Bhiwani,Maize,2300,2300,2300,25-06-2024
28,Bhiwani,Maize,2300,2300,2300,25-05-2024
29,Bhiwani,Maize,2300,2300,2300,26-08-2024
30,Bhiwani,Maize,2300,2300,2300,26-07-2024
31,Bhiwani,Maize,2300,2300,2300,26-06-2024
32,Bhiwani,Maize,2300,2300,2300,26-05-2024
33,Bhiwani,Maize,2300,2300,2300,27-08-2024
34,Bhiwani,Maize,2300,2300,2300,28-08-2024
35,Bhiwani,Maize,2300,2300,2300,28-06-2024
36,Bhiwani,Maize,2300,2300,2300,29-08-2024
37,Bhiwani,Maize,2300,2300,2300,29-06-2024
38,Bhiwani,Maize,2300,2300,2300,30-08-2024
39,Bhiwani,Maize,2300,2300,2300,30-07-2024
40,Bhiwani,Maize,2300,2300,2300,30-06-2024
41,Bhiwani,Maize,2300,2300,2300,31-07-2024
42,Bhiwani,Maize,2300,2300,2300,31-05-2024
43,Bhiwani,Maize,2300,2320,2320,03-08-2024
44,Bhiwani,Maize,2300,2340,2320,06-06-2024
45,Bhiwani,Maize,2300,2340,2320,12-05-2024
46,Bhiwani,Maize,2300,2340,2320,14-05-2024
47,Bhiwani,Maize,2300,2340,2320,17-05-2024
48,Bhiwani,Maize,2300,2340,2320,20-05-2024
49,Bhiwani,Maize,2300,2340,2320,23-08-2024
50,Bhiwani,Maize,2300,2340,2320,27-05-2024
51,Bhiwani,Maize,2300,2340,2320,29-07-2024
52,Bhiwani,Maize,2300,2345,2345,04-05-2024
53,Bhiwani,Maize,2300,2350,2350,16-08-2024
54,Bhiwani,Maize,2300,2380,2340,06-05-2024
55,Bhiwani,Maize,2300,2380,2340,10-05-2024
56,Bhiwani,Maize,2300,2400,2350,05-05-2024
57,Bhiwani,Maize,2300,2400,2350,07-05-2024
58,Bhiwani,Maize,2300,2400,2350,08-05-2024
59,Bhiwani,Maize,2300,2400,2350,09-05-2024
60,Bhiwani,Maize,2300,2400,2350,11-05-2024
61,Bhiwani,Maize,2300,2400,2350,14-06-2024
62,Bhiwani,Maize,2300,2400,2350,15-05-2024
63,Bhiwani,Maize,2300,2400,2350,16-05-2024
64,Bhiwani,Maize,2300,2400,2350,17-06-2024
65,Bhiwani,Maize,2300,2400,2350,18-06-2024
66,Bhiwani,Maize,2300,2400,2350,18-05-2024
67,Bhiwani,Maize,2300,2400,2350,22-05-2024
68,Bhiwani,Maize,2300,2400,2350,24-05-2024
69,Bhiwani,Maize,2320,2320,2320,05-08-2024
70,Bhiwani,Maize,2320,2320,2320,14-07-2024
71,Bhiwani,Maize,2320,2320,2320,24-07-2024
72,Bhiwani,Maize,2320,2320,2320,25-07-2024
73,Bhiwani,Maize,2320,2340,2330,21-05-2024
74,Bhiwani,Maize,2320,2360,2340,03-05-2024
75,Bhiwani,Maize,2340,2340,2340,13-07-2024
76,Bhiwani,Maize,2350,2350,2350,15-07-2024
77,Bhiwani,Maize,2350,2350,2350,30-05-2024
78,Bhiwani,Maize,2350,2400,2400,17-08-2024
79,Bhiwani,Maize,2400,2400,2400,13-08-2024
